i,x,y
0,7.0,90.0
1,7.2629,89.6036
2,7.2859,89.1985
3,7.3083,88.7976
4,7.33,88.3763
5,7.3511,87.9905
6,7.3716,87.5829
7,7.3912,87.1603
8,7.4102,86.7529
9,7.4283,86.3326
10,7.4456,85.9046
11,7.4621,85.5124
12,7.4776,85.1017
13,7.4924,84.7077
14,7.5062,84.296
15,7.519,83.8819
16,7.531,83.505
17,7.5419,83.1173
18,7.5519,82.6958
19,7.561,82.2564
20,7.569,81.8598
21,7.576,81.464
22,7.5821,81.0571
23,7.5871,80.6697
24,7.5911,80.268
25,7.5942,79.8611
26,7.5962,79.4611
27,7.5972,79.0535
28,7.5973,78.6662
29,7.5963,78.2618
30,7.5944,77.8752
31,7.5915,77.4747
32,7.5877,77.0761
33,7.583,76.66
34,7.5773,76.2583
35,7.5707,75.838
36,7.5633,75.4247
37,7.555,75.0323
38,7.5459,74.6143
39,7.5359,74.2292
40,7.5252,73.7924
41,7.5137,73.3741
42,7.5015,72.9822
43,7.4886,72.5599
44,7.475,72.1397
45,7.4608,71.7315
46,7.446,71.3292
47,7.4306,70.9082
48,7.4146,70.4869
49,7.3981,70.0903
50,7.3812,69.6808
51,7.3638,69.2979
52,7.3461,68.8956
53,7.3279,68.4985
54,7.3094,68.1183
55,7.2906,67.7137
56,7.2716,67.3125
57,7.2523,66.9246
58,7.2329,66.5376
59,7.2132,66.1264
60,7.1935,65.7467
61,7.1737,65.3344
62,7.1538,64.9487
63,7.134,64.5401
64,7.1141,64.107
65,7.0944,63.7245
66,7.0747,63.3225
67,7.0551,62.9469
68,7.0357,62.5554
69,7.0165,62.1444
70,6.9974,61.7395
71,6.9787,61.3334
72,6.9602,60.9191
73,6.942,60.5354
74,6.9242,60.1494
75,6.9067,59.7464
76,6.8896,59.3543
77,6.8729,58.9508
78,6.8567,58.5195
79,6.8409,58.138
80,6.8255,57.7392
81,6.8107,57.333
82,6.7963,56.9051
83,6.7825,56.5108
84,6.7692,56.0987
85,6.7565,55.6906
86,6.7443,55.2974
87,6.7327,54.8747
88,6.7217,54.4928
89,6.7113,54.0919
90,6.7015,53.7081
91,6.6923,53.2959
92,6.6838,52.9034
93,6.6758,52.5183
94,6.6684,52.1142
95,6.6617,51.7092
96,6.6556,51.3067
97,6.6501,50.9274
98,6.6452,50.544
99,6.6409,50.1362
100,6.6372,49.7396
101,6.6342,49.3228
102,6.6317,48.8994
103,6.6298,48.4947
104,6.6284,48.0892
105,6.6276,47.6851
106,6.6274,47.2999
107,6.6277,46.9405
108,6.6286,46.532
109,6.6299,46.1381
110,6.6318,45.7439
111,6.6341,45.3403
112,6.6369,44.9223
113,6.6401,44.51
114,6.6438,44.1006
115,6.6479,43.6932
116,6.6524,43.3091
117,6.6573,42.9269
118,6.6625,42.5396
119,6.668,42.1468
120,6.6739,41.7121
121,6.6801,41.3181
122,6.6866,40.9131
123,6.6933,40.503
124,6.7003,40.0853
125,6.7075,39.6743
126,6.715,39.2577
127,6.7226,38.8582
128,6.7303,38.4238
129,6.7383,38.0059
130,6.7463,37.6001
131,6.7545,37.2146
132,6.7628,36.7935
133,6.7711,36.3998
134,6.7795,35.9856
135,6.7879,35.6133
136,6.7964,35.2108
137,6.8049,34.829
138,6.8134,34.4389
139,6.8218,34.0228
140,6.8303,33.6435
141,6.8387,33.2646
142,6.847,32.8579
143,6.8553,32.454
144,6.8635,32.0509
145,6.8715,31.6647
146,6.8795,31.2655
147,6.8874,30.842
148,6.8952,30.4313
149,6.9028,30.0276
150,6.9104,29.645
151,6.9177,29.2288
152,6.925,28.8193
153,6.9321,28.4221
154,6.939,28.017
155,6.9458,27.6144
156,6.9524,27.1981
157,6.9589,26.7828
158,6.9652,26.3726
159,6.9713,25.9952
160,6.9773,25.5682
161,6.9832,25.1786
162,6.9888,24.7935
163,6.9944,24.3667
164,6.9997,23.9738
165,7.005,23.5839
166,7.01,23.1808
167,7.015,22.7787
168,7.0198,22.3612
169,7.0244,21.9652
170,7.029,21.5808
171,7.0334,21.1998
172,7.0377,20.8006
173,7.0419,20.4077
174,7.046,19.9969
175,7.0501,19.5938
176,7.054,19.198
177,7.0578,18.8164
178,7.0616,18.4405
179,7.0653,18.0053
180,7.069,17.577
181,7.0726,17.1556
182,7.0762,16.7603
183,7.0797,16.363
184,7.0832,15.9525
185,7.0867,15.5498
186,7.0902,15.1371
187,7.0936,14.7447
188,7.0971,14.3227
189,7.1006,13.9054
190,7.1041,13.5057
191,7.1075,13.1162
192,7.1111,12.7138
193,7.1146,12.3053
194,7.1182,11.9127
195,7.1218,11.5226
196,7.1254,11.1118
197,7.1291,10.7249
198,7.1328,10.3151
199,7.1366,9.8919
200,7.1404,9.5036
201,7.1442,9.1034
202,7.1481,8.7079
203,7.152,8.2944
204,7.156,7.9291
205,7.16,7.5493
206,7.1641,7.1531
207,7.1682,6.7685
208,7.1723,6.3745
209,7.1764,5.9577
210,7.1806,5.5588
211,7.1848,5.1864
212,7.189,4.7663
213,7.1931,4.3779
214,7.1973,3.9734
215,7.2015,3.5554
216,7.2056,3.1513
217,7.2098,2.7585
218,7.2139,2.3807
219,7.2179,1.974
220,7.4474,1.8634
221,7.7951,2.2258
222,8.1802,2.2296
223,8.5701,2.2333
224,8.9689,2.237
225,9.3622,2.2405
226,9.7381,2.2439
227,10.1303,2.2471
228,10.5181,2.2502
229,10.9188,2.2532
230,11.3296,2.2559
231,11.7509,2.2585
232,12.142,2.2609
233,12.5196,2.263
234,12.9252,2.265
235,13.3148,2.2666
236,13.6892,2.2681
237,14.0638,2.2692
238,14.4813,2.2701
239,14.8655,2.2707
240,15.2765,2.271
241,15.6788,2.271
242,16.0657,2.2706
243,16.4512,2.2699
244,16.8372,2.2689
245,17.212,2.2675
246,17.6144,2.2658
247,18.0176,2.2636
248,18.4082,2.2611
249,18.8099,2.2582
250,19.2022,2.2549
251,19.5845,2.2512
252,19.9722,2.2471
253,20.3752,2.2426
254,20.7863,2.2377
255,21.195,2.2324
256,21.5749,2.2266
257,21.9693,2.2204
258,22.3793,2.2139
259,22.7956,2.2068
260,23.1979,2.1994
261,23.5979,2.1916
262,24.0075,2.1833
263,24.3809,2.1746
264,24.7618,2.1656
265,25.1442,2.1561
266,25.5426,2.1462
267,25.9476,2.136
268,26.1771,2.3566
269,25.8856,2.7908
270,25.8969,3.1965
271,25.9085,3.5793
272,25.9205,3.9931
273,25.9328,4.3825
274,25.9454,4.7669
275,25.9582,5.1907
276,25.9713,5.5899
277,25.9847,5.9776
278,25.9983,6.3725
279,26.0121,6.7589
280,26.0261,7.1612
281,26.0403,7.5514
282,26.0546,7.971
283,26.069,8.3646
284,26.0835,8.7731
285,26.0981,9.1829
286,26.1128,9.5981
287,26.1275,10.035
288,26.1422,10.4276
289,26.1569,10.8247
290,26.1715,11.22
291,26.1861,11.6407
292,26.2006,12.0649
293,26.2149,12.4706
294,26.2291,12.8412
295,26.2432,13.2514
296,26.257,13.6442
297,26.2706,14.0275
298,26.284,14.4122
299,26.2971,14.788
300,26.3099,15.2071
301,26.3223,15.5933
302,26.3344,16.0286
303,26.3461,16.4093
304,26.3574,16.8036
305,26.3683,17.1936
306,26.3788,17.5999
307,26.3887,18.0014
308,26.3982,18.3778
309,26.4071,18.7689
310,26.4156,19.1725
311,26.4234,19.5801
312,26.4307,19.993
313,26.4374,20.3609
314,26.4434,20.7586
315,26.4489,21.1513
316,26.4536,21.5467
317,26.4578,21.9477
318,26.4612,22.3459
319,26.464,22.7413
320,26.4661,23.1699
321,26.4674,23.5808
322,26.4681,23.9597
323,26.468,24.3507
324,26.4672,24.77
325,26.4657,25.177
326,26.4634,25.5745
327,26.4604,25.9854
328,26.4566,26.3798
329,26.4521,26.7824
330,26.4469,27.2105
331,26.4409,27.6049
332,26.4342,27.9902
333,26.4268,28.3708
334,26.4187,28.7704
335,26.4098,29.1912
336,26.4003,29.6044
337,26.3901,30.0058
338,26.3792,30.4233
339,26.3676,30.8363
340,26.3554,31.2413
341,26.3426,31.6461
342,26.3291,32.0259
343,26.3151,32.4255
344,26.3005,32.8447
345,26.2854,33.2629
346,26.2697,33.6508
347,26.2536,34.0608
348,26.2369,34.4522
349,26.2198,34.8668
350,26.2023,35.2649
351,26.1844,35.6492
352,26.1661,36.0435
353,26.1475,36.4367
354,26.1286,36.8269
355,26.1094,37.2363
356,26.0899,37.646
357,26.0703,38.0394
358,26.0504,38.4518
359,26.0304,38.8264
360,26.0103,39.2184
361,25.9901,39.6234
362,25.9699,40.0314
363,25.9497,40.4253
364,25.9295,40.8437
365,25.9093,41.2405
366,25.8892,41.6428
367,25.8693,42.0393
368,25.8495,42.4365
369,25.8299,42.8116
370,25.8105,43.2119
371,25.7914,43.5998
372,25.7726,43.9977
