i,x,y
0,5.0,91.0
1,5.4,90.9714
2,5.8,90.9429
3,6.2,90.9143
4,6.6,90.8857
5,7.0,90.8571
6,7.4,90.8286
7,7.8,90.8
8,8.2,90.7714
9,8.6,90.7429
10,9.0,90.7143
11,9.4,90.6857
12,9.8,90.6571
13,10.2,90.6286
14,10.6,90.6
15,11.0,90.5714
16,11.4,90.5429
17,11.8,90.5143
18,12.2,90.4857
19,12.6,90.4571
20,13.0,90.4286
21,13.4,90.4
22,13.8,90.3714
23,14.2,90.3429
24,14.6,90.3143
25,15.0,90.2857
26,15.4,90.2571
27,15.8,90.2286
28,16.2,90.2
29,16.6,90.1714
30,17.0,90.1429
31,17.4,90.1143
32,17.8,90.0857
33,18.2,90.0571
34,18.6,90.0286
35,19.0,90.0
36,19.0,89.6053
37,19.0,89.2105
38,19.0,88.8158
39,19.0,88.4211
40,19.0,88.0263
41,19.0,87.6316
42,19.0,87.2368
43,19.0,86.8421
44,19.0,86.4474
45,19.0,86.0526
46,19.0,85.6579
47,19.0,85.2632
48,19.0,84.8684
49,19.0,84.4737
50,19.0,84.0789
51,19.0,83.6842
52,19.0,83.2895
53,19.0,82.8947
54,19.0,82.5
55,19.0,82.1053
56,19.0,81.7105
57,19.0,81.3158
58,19.0,80.9211
59,19.0,80.5263
60,19.0,80.1316
61,19.0,79.7368
62,19.0,79.3421
63,19.0,78.9474
64,19.0,78.5526
65,19.0,78.1579
66,19.0,77.7632
67,19.0,77.3684
68,19.0,76.9737
69,19.0,76.5789
70,19.0,76.1842
71,19.0,75.7895
72,19.0,75.3947
73,19.0,75.0
74,19.4,75.0
75,19.8,75.0
76,20.2,75.0
77,20.6,75.0
78,21.0,75.0
79,21.4,75.0
80,21.8,75.0
81,22.2,75.0
82,22.6,75.0
83,23.0,75.0
84,23.4,75.0
85,23.8,75.0
86,24.2,75.0
87,24.6,75.0
88,25.0,75.0
89,25.4,75.0
90,25.8,75.0
91,26.2,75.0
92,26.6,75.0
93,27.0,75.0
94,27.4,75.0
95,27.8,75.0
96,28.2,75.0
97,28.6,75.0
98,29.0,75.0
99,29.4,75.0
100,29.8,75.0
101,30.2,75.0
102,30.6,75.0
103,31.0,75.0
104,31.0,74.6053
105,31.0,74.2105
106,31.0,73.8158
107,31.0,73.4211
108,31.0,73.0263
109,31.0,72.6316
110,31.0,72.2368
111,31.0,71.8421
112,31.0,71.4474
113,31.0,71.0526
114,31.0,70.6579
115,31.0,70.2632
116,31.0,69.8684
117,31.0,69.4737
118,31.0,69.0789
119,31.0,68.6842
120,31.0,68.2895
121,31.0,67.8947
122,31.0,67.5
123,31.0,67.1053
124,31.0,66.7105
125,31.0,66.3158
126,31.0,65.9211
127,31.0,65.5263
128,31.0,65.1316
129,31.0,64.7368
130,31.0,64.3421
131,31.0,63.9474
132,31.0,63.5526
133,31.0,63.1579
134,31.0,62.7632
135,31.0,62.3684
136,31.0,61.9737
137,31.0,61.5789
138,31.0,61.1842
139,31.0,60.7895
140,31.0,60.3947
141,31.0,60.0
142,31.3929,60.0
143,31.7857,60.0
144,32.1786,60.0
145,32.5714,60.0
146,32.9643,60.0
147,33.3571,60.0
148,33.75,60.0
149,34.1429,60.0
150,34.5357,60.0
151,34.9286,60.0
152,35.3214,60.0
153,35.7143,60.0
154,36.1071,60.0
155,36.5,60.0
156,36.8929,60.0
157,37.2857,60.0
158,37.6786,60.0
159,38.0714,60.0
160,38.4643,60.0
161,38.8571,60.0
162,39.25,60.0
163,39.6429,60.0
164,40.0357,60.0
165,40.4286,60.0
166,40.8214,60.0
167,41.2143,60.0
168,41.6071,60.0
169,42.0,60.0
170,42.0,59.6053
171,42.0,59.2105
172,42.0,58.8158
173,42.0,58.4211
174,42.0,58.0263
175,42.0,57.6316
176,42.0,57.2368
177,42.0,56.8421
178,42.0,56.4474
179,42.0,56.0526
180,42.0,55.6579
181,42.0,55.2632
182,42.0,54.8684
183,42.0,54.4737
184,42.0,54.0789
185,42.0,53.6842
186,42.0,53.2895
187,42.0,52.8947
188,42.0,52.5
189,42.0,52.1053
190,42.0,51.7105
191,42.0,51.3158
192,42.0,50.9211
193,42.0,50.5263
194,42.0,50.1316
195,42.0,49.7368
196,42.0,49.3421
197,42.0,48.9474
198,42.0,48.5526
199,42.0,48.1579
200,42.0,47.7632
201,42.0,47.3684
202,42.0,46.9737
203,42.0,46.5789
204,42.0,46.1842
205,42.0,45.7895
206,42.0,45.3947
207,42.0,45.0
208,42.4,45.0
209,42.8,45.0
210,43.2,45.0
211,43.6,45.0
212,44.0,45.0
213,44.4,45.0
214,44.8,45.0
215,45.2,45.0
216,45.6,45.0
217,46.0,45.0
218,46.4,45.0
219,46.8,45.0
220,47.2,45.0
221,47.6,45.0
222,48.0,45.0
223,48.4,45.0
224,48.8,45.0
225,49.2,45.0
226,49.6,45.0
227,50.0,45.0
228,50.4,45.0
229,50.8,45.0
230,51.2,45.0
231,51.6,45.0
232,52.0,45.0
233,52.4,45.0
234,52.8,45.0
235,53.2,45.0
236,53.6,45.0
237,54.0,45.0
238,54.0,44.6
239,54.0,44.2
240,54.0,43.8
241,54.0,43.4
242,54.0,43.0
243,54.0,42.6
244,54.0,42.2
245,54.0,41.8
246,54.0,41.4
247,54.0,41.0
248,54.0,40.6
249,54.0,40.2
250,54.0,39.8
251,54.0,39.4
252,54.0,39.0
253,54.0,38.6
254,54.0,38.2
255,54.0,37.8
256,54.0,37.4
257,54.0,37.0
258,54.0,36.6
259,54.0,36.2
260,54.0,35.8
261,54.0,35.4
262,54.0,35.0
263,54.0,34.6
264,54.0,34.2
265,54.0,33.8
266,54.0,33.4
267,54.0,33.0
268,54.0,32.6
269,54.0,32.2
270,54.0,31.8
271,54.0,31.4
272,54.0,31.0
273,54.3929,31.0
274,54.7857,31.0
275,55.1786,31.0
276,55.5714,31.0
277,55.9643,31.0
278,56.3571,31.0
279,56.75,31.0
280,57.1429,31.0
281,57.5357,31.0
282,57.9286,31.0
283,58.3214,31.0
284,58.7143,31.0
285,59.1071,31.0
286,59.5,31.0
287,59.8929,31.0
288,60.2857,31.0
289,60.6786,31.0
290,61.0714,31.0
291,61.4643,31.0
292,61.8571,31.0
293,62.25,31.0
294,62.6429,31.0
295,63.0357,31.0
296,63.4286,31.0
297,63.8214,31.0
298,64.2143,31.0
299,64.6071,31.0
300,65.0,31.0
301,65.0,30.6053
302,65.0,30.2105
303,65.0,29.8158
304,65.0,29.4211
305,65.0,29.0263
306,65.0,28.6316
307,65.0,28.2368
308,65.0,27.8421
309,65.0,27.4474
310,65.0,27.0526
311,65.0,26.6579
312,65.0,26.2632
313,65.0,25.8684
314,65.0,25.4737
315,65.0,25.0789
316,65.0,24.6842
317,65.0,24.2895
318,65.0,23.8947
319,65.0,23.5
320,65.0,23.1053
321,65.0,22.7105
322,65.0,22.3158
323,65.0,21.9211
324,65.0,21.5263
325,65.0,21.1316
326,65.0,20.7368
327,65.0,20.3421
328,65.0,19.9474
329,65.0,19.5526
330,65.0,19.1579
331,65.0,18.7632
332,65.0,18.3684
333,65.0,17.9737
334,65.0,17.5789
335,65.0,17.1842
336,65.0,16.7895
337,65.0,16.3947
338,65.0,16.0
339,65.4,16.0
340,65.8,16.0
341,66.2,16.0
342,66.6,16.0
343,67.0,16.0
344,67.4,16.0
345,67.8,16.0
346,68.2,16.0
347,68.6,16.0
348,69.0,16.0
349,69.4,16.0
350,69.8,16.0
351,70.2,16.0
352,70.6,16.0
353,71.0,16.0
354,71.4,16.0
355,71.8,16.0
356,72.2,16.0
357,72.6,16.0
358,73.0,16.0
359,73.4,16.0
360,73.8,16.0
361,74.2,16.0
362,74.6,16.0
363,75.0,16.0
364,75.4,16.0
365,75.8,16.0
366,76.2,16.0
367,76.6,16.0
368,77.0,16.0
369,77.0,15.6
370,77.0,15.2
371,77.0,14.8
372,77.0,14.4
373,77.0,14.0
374,77.0,13.6
375,77.0,13.2
376,77.0,12.8
377,77.0,12.4
378,77.0,12.0
379,77.0,11.6
380,77.0,11.2
381,77.0,10.8
382,77.0,10.4
383,77.0,10.0
384,77.0,9.6
