i,x,y
0,5.0,91.0
1,5.4503,91.6869
2,5.8701,91.6644
3,6.2598,91.6388
4,6.6883,91.6049
5,7.0785,91.5683
6,7.4566,91.5272
7,7.8393,91.4805
8,8.2472,91.427
9,8.64,91.3697
10,9.0246,91.3086
11,9.4265,91.2421
12,9.8199,91.1726
13,10.2325,91.0983
14,10.6086,91.0239
15,11.0064,90.9456
16,11.4111,90.8651
17,11.8123,90.7836
18,12.2376,90.6997
19,12.613,90.6194
20,13.0082,90.5381
21,13.4214,90.4566
22,13.8298,90.3769
23,14.2348,90.2996
24,14.6407,90.2248
25,15.0179,90.155
26,15.4061,90.0878
27,15.7891,90.0247
28,16.1804,89.9651
29,16.5881,89.9087
30,16.9782,89.858
31,17.3512,89.8132
32,17.74,89.7719
33,18.1528,89.7337
34,18.5587,89.7006
35,18.7445,89.7906
36,18.6753,89.6186
37,18.6843,89.2756
38,18.6972,88.8808
39,18.7137,88.4704
40,18.7334,88.0842
41,18.7558,87.6896
42,18.7805,87.283
43,18.8071,86.8793
44,18.8351,86.4896
45,18.8639,86.1105
46,18.893,85.7233
47,18.922,85.3266
48,18.9502,84.9164
49,18.9771,84.5252
50,19.0024,84.1049
51,19.0255,83.711
52,19.046,83.309
53,19.0635,82.9374
54,19.0777,82.5313
55,19.0882,82.12
56,19.0948,81.7389
57,19.0973,81.3468
58,19.0955,80.9621
59,19.0895,80.5783
60,19.0791,80.1659
61,19.0644,79.7666
62,19.0455,79.3491
63,19.0225,78.9425
64,18.9958,78.5591
65,18.9655,78.161
66,18.932,77.7814
67,18.8956,77.3681
68,18.8569,76.965
69,18.8161,76.5593
70,18.7739,76.1614
71,18.7307,75.7721
72,18.687,75.3519
73,18.789,74.7073
74,19.4322,74.6006
75,19.8292,74.5589
76,20.2308,74.5189
77,20.6055,74.4813
78,20.9992,74.4464
79,21.4044,74.4148
80,21.7913,74.3868
81,22.2183,74.363
82,22.5985,74.3436
83,22.9787,74.329
84,23.3633,74.3195
85,23.7634,74.3151
86,24.1803,74.3161
87,24.583,74.3225
88,24.9626,74.3343
89,25.3599,74.3515
90,25.7648,74.374
91,26.1636,74.4016
92,26.5495,74.4341
93,26.9525,74.4711
94,27.3584,74.5124
95,27.7485,74.5574
96,28.1514,74.6059
97,28.565,74.6573
98,28.972,74.7111
99,29.3772,74.7667
100,29.8009,74.8237
101,30.2016,74.8814
102,30.6037,74.9392
103,31.0056,74.9898
104,31.0532,74.6092
105,31.1081,74.2202
106,31.161,73.839
107,31.2112,73.456
108,31.2585,73.0417
109,31.3022,72.6332
110,31.3421,72.238
111,31.3778,71.8328
112,31.4089,71.4671
113,31.4353,71.0853
114,31.4569,70.6849
115,31.4734,70.2965
116,31.4848,69.8959
117,31.4912,69.5097
118,31.4926,69.1296
119,31.4891,68.7211
120,31.481,68.3328
121,31.4685,67.9216
122,31.4519,67.545
123,31.4315,67.1535
124,31.4077,66.7747
125,31.3809,66.3839
126,31.3516,66.0127
127,31.3203,65.6304
128,31.2875,65.2185
129,31.2537,64.8253
130,31.2195,64.437
131,31.1852,64.0367
132,31.1515,63.6262
133,31.1189,63.2381
134,31.0878,62.8698
135,31.0587,62.473
136,31.032,62.0939
137,31.0081,61.7107
138,30.9873,61.3288
139,30.97,60.9044
140,30.9563,60.4981
141,30.9015,60.0231
142,31.3109,59.9406
143,31.7092,59.9389
144,32.1245,59.9412
145,32.5426,59.9475
146,32.9375,59.9578
147,33.3201,59.9718
148,33.7185,59.9895
149,34.1146,60.0104
150,34.5346,60.0344
151,34.9332,60.061
152,35.3257,60.0899
153,35.6991,60.1207
154,36.0984,60.1528
155,36.4778,60.1858
156,36.898,60.2193
157,37.2759,60.2527
158,37.6693,60.2856
159,38.0378,60.3174
160,38.4279,60.3476
161,38.8275,60.3758
162,39.2075,60.4015
163,39.5921,60.4243
164,40.0119,60.4439
165,40.4017,60.4598
166,40.8061,60.4719
167,41.2059,60.4797
168,41.5944,60.4831
169,42.3203,60.3615
170,42.4764,59.6361
171,42.466,59.2261
172,42.451,58.8486
173,42.4314,58.4528
174,42.4074,58.0437
175,42.3792,57.6574
176,42.347,57.2637
177,42.3111,56.8704
178,42.2718,56.4782
179,42.2295,56.0698
180,42.1847,55.6646
181,42.1377,55.252
182,42.0891,54.8484
183,42.0393,54.4509
184,41.9889,54.066
185,41.9384,53.6797
186,41.8883,53.263
187,41.8391,52.862
188,41.7913,52.4856
189,41.7455,52.072
190,41.702,51.6956
191,41.6613,51.2978
192,41.6238,50.9179
193,41.5898,50.5289
194,41.5598,50.156
195,41.5339,49.7502
196,41.5124,49.3509
197,41.4955,48.9427
198,41.4832,48.5416
199,41.4757,48.1834
200,41.4729,47.7967
201,41.4748,47.3929
202,41.4812,46.9738
203,41.4922,46.5876
204,41.5073,46.1622
205,41.5264,45.7814
206,41.5492,45.4137
207,41.6801,44.719
208,42.3801,44.6043
209,42.7793,44.6359
210,43.1773,44.6697
211,43.5702,44.7051
212,43.968,44.7417
213,44.3703,44.779
214,44.7813,44.8167
