i,x,y
0,5.0,91.0
1,5.4408,91.3056
2,5.8455,91.3016
3,6.2623,91.2925
4,6.6732,91.2795
5,7.0716,91.2631
6,7.4592,91.2432
7,7.8786,91.2171
8,8.2902,91.1877
9,8.701,91.1548
10,9.1057,91.1191
11,9.5187,91.0798
12,9.9124,91.0393
13,10.3155,90.9957
14,10.7448,90.9484
15,11.1571,90.9006
16,11.5607,90.8523
17,11.9891,90.8012
18,12.3795,90.7522
19,12.7798,90.7022
20,13.1859,90.6518
21,13.5719,90.603
22,13.988,90.5524
23,14.3895,90.5034
24,14.7812,90.4558
25,15.1795,90.4085
26,15.5794,90.3619
27,15.9733,90.3167
28,16.3765,90.2716
29,16.7604,90.2287
30,17.1579,90.1855
31,17.5571,90.1429
32,17.9554,90.1008
33,18.3717,90.0579
34,18.778,90.0159
35,19.1099,89.8651
36,18.9744,89.4334
37,18.9614,89.0453
38,18.948,88.6407
39,18.9342,88.2718
40,18.9199,87.8753
41,18.905,87.4888
42,18.8895,87.0767
43,18.8733,86.6896
44,18.8565,86.2606
45,18.8391,85.8343
46,18.8212,85.433
47,18.8029,85.037
48,18.7844,84.6268
49,18.7658,84.2469
50,18.7474,83.825
51,18.7293,83.4488
52,18.712,83.047
53,18.6955,82.6595
54,18.6803,82.2933
55,18.6666,81.9073
56,18.6547,81.4979
57,18.645,81.0987
58,18.6376,80.7065
59,18.6329,80.3173
60,18.631,79.9139
61,18.6324,79.5345
62,18.637,79.1423
63,18.6451,78.7529
64,18.6567,78.3797
65,18.6719,77.995
66,18.6908,77.5906
67,18.7132,77.2089
68,18.7392,76.8155
69,18.7684,76.4104
70,18.8008,76.0092
71,18.836,75.6004
72,18.8737,75.1863
73,19.0733,74.8064
74,19.6028,74.9555
75,20.0099,74.9986
76,20.416,75.0426
77,20.8264,75.0871
78,21.2275,75.1314
79,21.6321,75.175
80,22.0307,75.2175
81,22.4277,75.2583
82,22.8285,75.2969
83,23.2245,75.3327
84,23.6295,75.3653
85,24.0383,75.3943
86,24.4402,75.4192
87,24.8454,75.4398
88,25.2372,75.4557
89,25.6506,75.4666
90,26.0623,75.4724
91,26.4663,75.4731
92,26.8808,75.4684
93,27.2708,75.4586
94,27.667,75.4436
95,28.0766,75.4237
96,28.4884,75.3991
97,28.8989,75.3701
98,29.3062,75.3371
99,29.7231,75.3004
100,30.1224,75.2606
101,30.516,75.2182
102,30.9268,75.1737
103,31.3375,74.8464
104,31.0809,74.2613
105,31.0339,73.8844
106,30.9872,73.5046
107,30.9415,73.1137
108,30.8973,72.7029
109,30.8554,72.2953
110,30.8161,71.9017
111,30.78,71.4847
112,30.7476,71.0791
113,30.7192,70.6842
114,30.6953,70.2747
115,30.6759,69.8615
116,30.6615,69.4617
117,30.652,69.0509
118,30.6476,68.6859
119,30.6482,68.2893
120,30.6537,67.8856
121,30.664,67.4812
122,30.6788,67.1041
123,30.6978,66.7205
124,30.7206,66.3318
125,30.7469,65.9213
126,30.7762,65.5124
127,30.8079,65.1082
128,30.8415,64.7156
129,30.8764,64.3105
130,30.9121,63.9075
131,30.948,63.5071
132,30.9834,63.1099
133,31.0179,62.7112
134,31.0508,62.3389
135,31.0817,61.9565
136,31.11,61.5747
137,31.1354,61.1865
138,31.1574,60.8134
139,31.1757,60.422
140,31.19,60.0224
141,31.4055,59.8765
142,31.7658,60.2062
143,32.1763,60.2079
144,32.5753,60.2053
145,32.9678,60.1984
146,33.3683,60.1876
147,33.7608,60.1729
148,34.1509,60.1547
149,34.524,60.1334
150,34.942,60.1093
151,35.3308,60.0829
152,35.7037,60.0546
153,36.088,60.0251
154,36.4968,59.9947
155,36.8887,59.9642
156,37.2626,59.9339
157,37.6325,59.9046
158,37.9984,59.8766
159,38.4045,59.8505
160,38.7796,59.8268
161,39.1524,59.8059
162,39.5335,59.7883
163,39.8987,59.7741
164,40.2813,59.7638
165,40.6788,59.7575
166,41.0836,59.7553
167,41.4673,59.7574
168,41.8609,59.7638
169,42.0058,59.6743
170,41.789,59.3755
171,41.8075,58.981
172,41.8296,58.5796
173,41.855,58.1899
174,41.8832,57.782
175,41.914,57.3849
176,41.9468,56.9973
177,41.981,56.6179
178,42.0163,56.2515
179,42.0521,55.8683
180,42.0877,55.4709
181,42.1227,55.0849
182,42.1565,54.6972
183,42.1886,54.3251
184,42.2184,53.9441
185,42.2457,53.546
186,42.2698,53.1468
187,42.2904,52.7459
188,42.3072,52.3593
189,42.32,51.959
190,42.3286,51.554
191,42.3327,51.1634
192,42.3325,50.7542
193,42.3277,50.3577
194,42.3186,49.9687
195,42.3052,49.5843
196,42.2878,49.1887
197,42.2665,48.7784
198,42.2418,48.4041
199,42.214,48.0245
200,42.1835,47.6286
201,42.1507,47.2345
202,42.1162,46.8295
203,42.0804,46.4478
204,42.0438,46.0499
205,42.0071,45.6541
206,41.9706,45.2641
207,42.0439,44.8652
208,42.5587,44.9005
209,42.952,44.8679
210,43.3541,44.8376
211,43.7529,44.8098
212,44.1413,44.785
213,44.5401,44.7634
214,44.9243,44.7454
215,45.3235,44.7311
216,45.7174,44.7207
217,46.1098,44.7141
218,46.526,44.7115
219,46.9238,44.7127
220,47.3324,44.7177
221,47.7192,44.7264
222,48.1023,44.7384
223,48.5096,44.7535
224,48.8941,44.7714
225,49.2698,44.7918
226,49.6716,44.8143
227,50.0688,44.8384
228,50.4829,44.8638
229,50.8601,44.8901
230,51.2579,44.9167
231,51.6581,44.9433
232,52.0612,44.9695
233,52.4514,44.9949
234,52.8573,45.019
235,53.2554,45.0416
236,53.6444,45.0623
237,54.0738,45.0406
238,54.0972,44.582
239,54.111,44.1614
240,54.1221,43.749
241,54.1305,43.3579
242,54.1361,42.9665
243,54.1391,42.5585
244,54.1394,42.1643
245,54.1372,41.7573
246,54.1327,41.3571
247,54.126,40.9705
248,54.1174,40.574
249,54.1072,40.1616
250,54.0957,39.743
251,54.0831,39.3379
252,54.0698,38.9416
253,54.0561,38.5648
254,54.0423,38.1875
255,54.0288,37.7773
256,54.0158,37.3583
257,54.0036,36.9562
258,53.9925,36.5579
259,53.9828,36.1556
260,53.9745,35.775
261,53.968,35.3499
262,53.9632,34.9612
263,53.9602,34.5572
264,53.9592,34.157
265,53.96,33.7573
266,53.9626,33.3601
267,53.9669,32.9425
268,53.9729,32.5405
269,53.9802,32.12
270,53.9887,31.7263
271,53.9982,31.327
272,54.0612,30.9498
273,54.4707,31.0191
274,54.8759,31.0299
275,55.2584,31.0405
276,55.6431,31.0507
277,56.0174,31.0602
278,56.3979,31.0687
279,56.7903,31.0759
280,57.1747,31.0816
281,57.5551,31.0856
282,57.9418,31.0877
283,58.3253,31.0879
284,58.7336,31.0859
285,59.1365,31.0818
286,59.5372,31.0755
287,59.9293,31.0671
288,60.3038,31.0567
289,60.7141,31.0445
290,61.0932,31.0304
291,61.503,31.015
292,61.9179,30.9982
293,62.3035,30.9805
294,62.6926,30.9622
295,63.0847,30.9436
296,63.4721,30.9251
297,63.8353,30.907
298,64.2275,30.8897
299,64.61,30.8736
300,64.9193,30.8813
301,64.8464,30.5895
302,64.836,30.1874
303,64.828,29.8038
304,64.8228,29.4209
305,64.8205,29.0428
306,64.8213,28.6551
307,64.8254,28.2674
308,64.8328,27.8568
309,64.8435,27.4618
