i,x,y
0,5.0,91.0
1,5.2658,89.465
2,5.7064,89.4548
3,6.0687,89.461
4,6.4056,89.4791
5,6.8091,89.5019
6,7.2485,89.5309
7,7.6014,89.5738
8,7.9574,89.6232
9,8.3608,89.6748
10,8.7535,89.7316
11,9.1654,89.7903
12,9.6085,89.8486
13,9.9554,89.9144
14,10.412,89.9717
15,10.8504,90.0284
16,11.3057,90.0809
17,11.6967,90.1336
18,12.0994,90.1803
19,12.5895,90.2144
20,12.9993,90.2473
21,13.3863,90.274
22,13.8098,90.2898
23,14.2174,90.298
24,14.5887,90.2999
25,14.9524,90.2932
26,15.4485,90.2682
27,15.8669,90.24
28,16.2093,90.209
29,16.5897,90.1675
30,16.9897,90.1175
31,17.28,90.0692
32,17.6597,90.0091
33,18.082,89.9417
34,18.5016,89.8713
35,18.7918,89.92
36,18.7505,89.6163
37,18.7076,89.2415
38,18.6662,88.8372
39,18.6275,88.4115
40,18.5926,87.9917
41,18.5625,87.6453
42,18.5382,87.2607
43,18.5205,86.7998
44,18.5101,86.4192
45,18.5076,86.0672
46,18.5134,85.6324
47,18.5279,85.2187
48,18.551,84.8302
49,18.5828,84.4456
50,18.623,84.0221
51,18.6713,83.5688
52,18.7271,83.1682
53,18.7898,82.7199
54,18.8586,82.3513
55,18.9325,81.9299
56,19.0105,81.4971
57,19.0915,81.012
58,19.1744,80.6885
59,19.2579,80.335
60,19.3408,79.8698
61,19.422,79.448
62,19.5001,79.0426
63,19.5742,78.5859
64,19.643,78.1846
65,19.7056,77.8164
66,19.7612,77.394
67,19.809,76.9288
68,19.8485,76.5852
69,19.879,76.1835
70,19.9005,75.8116
71,19.9127,75.497
72,19.9156,75.1251
73,19.8386,75.4504
74,19.6494,75.8951
75,20.0053,75.8725
76,20.4121,75.8425
77,20.8002,75.806
78,21.2123,75.764
79,21.5908,75.7175
80,21.9985,75.6677
81,22.3566,75.6158
82,22.7572,75.5631
83,23.1053,75.5107
84,23.4655,75.4601
85,23.8576,75.4124
86,24.2353,75.3688
87,24.5538,75.3304
88,24.9779,75.2982
89,25.3905,75.2731
90,25.7462,75.2558
91,26.1805,75.2469
92,26.5905,75.2468
93,26.9702,75.2557
94,27.3799,75.2737
95,27.7791,75.3006
96,28.2094,75.3361
97,28.6314,75.3796
98,29.0385,75.4305
99,29.4504,75.4878
100,29.7924,75.5505
101,30.2723,75.6175
102,30.6319,75.6873
103,31.5183,75.5545
104,31.8301,74.6066
105,31.9,74.162
106,31.9669,73.7417
107,32.0291,73.3718
108,32.0851,72.9835
109,32.1336,72.5752
110,32.173,72.1494
111,32.2021,71.7272
112,32.2199,71.3715
113,32.2252,71.0422
114,32.2173,70.661
115,32.1956,70.3269
116,32.1596,69.9946
117,32.1092,69.561
118,32.0444,69.1821
119,31.9655,68.8216
120,31.8728,68.4912
121,31.7672,68.1005
122,31.6495,67.6741
123,31.5209,67.2835
124,31.3825,66.8399
125,31.236,66.4286
126,31.0828,66.0498
127,30.9246,65.6299
128,30.7634,65.1216
129,30.6009,64.7462
130,30.439,64.322
131,30.2797,63.9367
132,30.1249,63.5755
133,29.9762,63.1856
134,29.8355,62.8009
135,29.7044,62.4618
136,29.5844,62.16
137,29.4768,61.7895
138,29.3828,61.3593
139,29.3032,61.016
140,29.2388,60.6208
141,29.5504,58.8908
142,31.1594,58.1574
143,31.5998,58.1407
144,32.0002,58.1398
145,32.3898,58.1543
146,32.7642,58.1836
147,33.2009,58.2268
148,33.5418,58.2828
149,33.8609,58.3504
150,34.2516,58.4284
151,34.6297,58.5152
152,35.047,58.6093
153,35.451,58.7089
154,35.8167,58.8125
155,36.2006,58.9183
156,36.5639,59.0247
157,36.961,59.13
158,37.3495,59.2327
159,37.6856,59.3314
160,38.1123,59.4248
161,38.5473,59.5117
162,38.9627,59.591
163,39.2825,59.6621
164,39.6407,59.7243
165,40.0652,59.7772
166,40.3824,59.8207
167,40.7942,59.8546
168,41.2207,59.8794
169,41.6334,60.22
170,41.9032,60.0777
171,41.9036,59.6483
172,41.8977,59.2434
173,41.8864,58.8876
174,41.871,58.5204
175,41.8528,58.1171
176,41.8332,57.7334
177,41.8136,57.3738
178,41.7953,57.0383
179,41.7797,56.638
180,41.7681,56.2452
181,41.7618,55.8552
182,41.7619,55.44
183,41.7694,55.0933
184,41.7851,54.6893
185,41.8097,54.2879
186,41.8437,53.8799
187,41.8874,53.4434
188,41.9408,53.0242
189,42.0037,52.6062
190,42.0759,52.1787
191,42.1568,51.7892
192,42.2455,51.3789
193,42.3412,50.9546
194,42.4426,50.5384
195,42.5485,50.146
196,42.6575,49.6933
197,42.7679,49.2472
198,42.8782,48.8386
199,42.9866,48.4353
200,43.0915,48.046
201,43.1911,47.6949
202,43.2837,47.2843
203,43.3677,46.8746
204,43.4417,46.4511
205,43.5041,45.9913
206,43.5537,45.5619
207,42.9757,46.2704
208,42.269,46.6107
209,42.7348,46.6164
210,43.1469,46.6064
211,43.5511,46.5803
212,43.9209,46.5382
213,44.3514,46.4804
214,44.7174,46.4075
215,45.1473,46.3202
216,45.4514,46.2195
217,45.8269,46.1066
218,46.2397,45.983
219,46.5845,45.8502
220,46.994,45.71
221,47.3714,45.5642
222,47.7728,45.4147
223,48.1909,45.2636
224,48.5759,45.113
225,48.9583,44.9648
226,49.3568,44.821
227,49.8095,44.6836
228,50.2016,44.5543
229,50.5899,44.435
230,50.9354,44.3271
231,51.3644,44.232
232,51.7459,44.1508
233,52.1038,44.0844
234,52.5453,44.0336
235,52.9372,43.9988
236,53.2976,43.9801
237,53.0992,44.4549
238,52.9908,44.8389
239,53.0193,44.3571
240,53.0621,44.0041
241,53.1183,43.6068
242,53.1867,43.2132
243,53.2658,42.8435
244,53.3541,42.429
245,53.4499,42.0201
246,53.5514,41.6354
247,53.6567,41.2744
248,53.764,40.8734
249,53.8713,40.5393
250,53.9768,40.1227
251,54.0788,39.7151
252,54.1754,39.2763
253,54.2651,38.8723
254,54.3465,38.4484
255,54.4183,37.9958
256,54.4794,37.6441
257,54.5289,37.2775
258,54.5663,36.9046
259,54.591,36.5586
260,54.603,36.1393
261,54.6022,35.7165
262,54.5889,35.3859
263,54.5637,35.0069
264,54.5273,34.6082
265,54.4806,34.1393
266,54.4247,33.7691
267,54.3609,33.3632
268,54.2905,32.9538
269,54.215,32.5433
270,54.1361,32.128
271,54.0552,31.6931
272,53.7817,31.1854
273,54.0839,30.8945
274,54.4718,30.8177
275,54.8748,30.7454
276,55.2659,30.6789
277,55.6403,30.6196
278,56.0737,30.5684
279,56.4248,30.5264
280,56.829,30.4943
281,57.1993,30.4727
282,57.5003,30.4619
283,57.8204,30.4621
284,58.2904,30.4731
285,58.6687,30.4946
286,59.0515,30.5261
287,59.4286,30.567
288,59.7557,30.6162
289,60.1515,30.6727
290,60.5929,30.7353
291,60.9387,30.8027
292,61.2743,30.8734
293,61.6988,30.9458
294,62.2085,31.0185
295,62.6065,31.0899
296,63.02,31.1584
297,63.3981,31.2225
298,63.8256,31.2808
299,64.2352,31.3319
300,64.9884,31.5429
301,65.4081,30.9901
302,65.4313,30.625
303,65.4435,30.2673
304,65.4443,29.9162
305,65.4335,29.5198
306,65.4109,29.1197
307,65.3768,28.7512
308,65.3315,28.3598
309,65.2758,27.9733
310,65.2103,27.6055
311,65.1361,27.1554
312,65.0544,26.712
313,64.9665,26.3186
314,64.8739,25.9521
315,64.7781,25.5356
316,64.6809,25.1711
317,64.5839,24.8434
318,64.4888,24.4868
319,64.3973,24.0197
320,64.3112,23.599
321,64.232,23.1565
322,64.1612,22.7262
323,64.1002,22.4
324,64.0502,21.9641
325,64.0122,21.4514
326,63.9871,21.0758
327,63.9756,20.684
328,63.978,20.28
329,63.9946,19.8856
330,64.0254,19.5397
331,64.07,19.1206
332,64.128,18.739
333,64.1986,18.3003
334,64.281,17.9172
335,64.374,17.4744
336,64.4763,17.0096
337,64.5864,16.6268
338,64.6226,15.9549
339,65.2096,15.8237
340,65.6076,15.9475
341,65.978,16.0722
342,66.4061,16.196
343,66.7763,16.3172
344,67.1662,16.434
345,67.6298,16.5446
346,68.0706,16.6474
347,68.4992,16.741
348,68.928,16.824
349,69.3306,16.8953
350,69.8105,16.9539
351,70.1849,16.9991
352,70.5801,17.0304
353,70.9831,17.0473
354,71.4044,17.0498
355,71.7016,17.0381
356,72.0661,17.0126
357,72.5178,16.9736
358,72.8533,16.9222
359,73.2466,16.8592
360,73.63,16.7858
361,74.0492,16.7032
362,74.5639,16.613
363,74.9183,16.5165
364,75.2385,16.4155
365,75.6414,16.3115
366,76.0691,16.2062
367,76.5054,16.1013
368,76.9365,16.0612
369,76.899,15.6391
370,76.8046,15.2422
371,76.7166,14.8181
372,76.6361,14.4867
373,76.5644,14.1307
374,76.5021,13.7362
375,76.4501,13.3138
376,76.409,12.8487
377,76.3789,12.3578
378,76.3601,11.9271
379,76.3524,11.5562
380,76.3557,11.1422
381,76.3694,10.8421
382,76.393,10.4037
383,76.4256,9.9987
384,76.4663,9.6857
385,76.5142,9.3083
386,76.568,8.9274
387,76.6265,8.4631
388,76.6885,8.0707
389,76.7526,7.6669
390,76.8176,7.202
391,76.8821,6.7987
392,76.9449,6.4882
393,77.0048,6.1847
394,77.0608,5.7766
395,77.1118,5.3458
396,77.1571,4.9385
397,77.1959,4.4549
398,77.2277,4.0634
399,77.252,3.6219
400,77.2688,3.2237
401,77.2778,2.8195
402,77.2793,2.4149
403,77.0,2.0
