i,x,y
0,5.0,91.0
1,5.4039,90.8263
2,5.8029,90.81
3,6.1926,90.7964
4,6.6031,90.783
5,7.0106,90.771
6,7.4166,90.7599
7,7.8186,90.7493
8,8.2027,90.7399
9,8.6107,90.7282
10,9.0228,90.7152
11,9.4226,90.7017
12,9.8091,90.6874
13,10.2077,90.6702
14,10.6132,90.6502
15,11.0148,90.628
16,11.4201,90.6028
17,11.8262,90.5748
18,12.2354,90.5438
19,12.6348,90.5107
20,13.0261,90.4755
21,13.4144,90.4381
22,13.82,90.3971
23,14.2228,90.3543
24,14.6149,90.3106
25,15.0031,90.2658
26,15.3927,90.22
27,15.779,90.1738
28,16.1785,90.1267
29,16.5743,90.0801
30,16.9858,90.0332
31,17.3882,89.9881
32,17.7801,89.9455
33,18.1868,89.9037
34,18.6019,89.8638
35,18.8877,89.8687
36,18.8236,89.5817
37,18.8221,89.1709
38,18.8239,88.7689
39,18.8291,88.3673
40,18.8377,87.9576
41,18.8496,87.57
42,18.8648,87.1703
43,18.8831,86.7738
44,18.9042,86.3742
45,18.9278,85.9772
46,18.9535,85.5822
47,18.9811,85.1791
48,19.01,84.7857
49,19.0398,84.3978
50,19.0699,83.989
51,19.0999,83.5923
52,19.1293,83.1921
53,19.1575,82.803
54,19.184,82.4028
55,19.2084,82.0002
56,19.2303,81.6117
57,19.2491,81.2137
58,19.2645,80.8194
59,19.2764,80.4303
60,19.2843,80.0214
61,19.2881,79.6236
62,19.2877,79.2201
63,19.2831,78.8421
64,19.2743,78.4496
65,19.2614,78.0495
66,19.2446,77.658
67,19.2241,77.267
68,19.2003,76.8715
69,19.1734,76.4698
70,19.1439,76.0714
71,19.1123,75.6773
72,19.0791,75.2791
73,19.1183,74.9462
74,19.5065,75.0099
75,19.9166,74.9751
76,20.3036,74.9408
77,20.7002,74.9076
78,21.0963,74.876
79,21.4817,74.8466
80,21.8693,74.8198
81,22.2706,74.7961
82,22.6729,74.7757
83,23.0642,74.759
84,23.4617,74.7462
85,23.8461,74.7375
86,24.2266,74.733
87,24.6302,74.7327
88,25.0316,74.7366
89,25.4328,74.7446
90,25.8371,74.7564
91,26.2378,74.7718
92,26.635,74.7906
93,27.033,74.8122
94,27.4309,74.8364
95,27.8287,74.8626
96,28.2354,74.8904
97,28.6245,74.9193
98,29.0278,74.9486
99,29.4232,74.978
100,29.81,75.0068
101,30.2171,75.0347
102,30.6267,75.0609
103,31.0759,75.0449
104,31.1072,74.5872
105,31.1264,74.2011
106,31.1425,73.7969
107,31.1554,73.3972
108,31.1648,72.9973
109,31.1707,72.604
110,31.1729,72.2111
111,31.1715,71.8163
112,31.1667,71.4261
113,31.1585,71.0411
114,31.1471,70.6388
115,31.133,70.2426
116,31.1163,69.8508
117,31.0976,69.4641
118,31.0771,69.067
119,31.0554,68.6707
120,31.0329,68.2835
121,31.01,67.8884
122,30.9874,67.4814
123,30.9654,67.0908
124,30.9445,66.6911
125,30.9251,66.3007
126,30.9077,65.9073
127,30.8926,65.4995
128,30.8802,65.1061
129,30.8706,64.7222
130,30.8641,64.3351
131,30.8608,63.9401
132,30.8607,63.5486
133,30.864,63.1499
134,30.8706,62.7585
135,30.8802,62.3575
136,30.8928,61.9593
137,30.9081,61.5673
138,30.9258,61.1693
139,30.9454,60.7794
140,30.9668,60.3822
141,31.006,59.9788
142,31.4116,60.0126
143,31.8094,60.0363
144,32.2004,60.0597
145,32.5982,60.0825
146,32.9995,60.1042
147,33.3757,60.1243
148,33.7632,60.1424
149,34.1478,60.1582
150,34.532,60.1713
151,34.9271,60.1814
152,35.3179,60.1882
153,35.7001,60.1917
154,36.091,60.1917
155,36.4741,60.1881
156,36.8612,60.181
157,37.2598,60.1705
158,37.6564,60.1568
159,38.0517,60.14
160,38.4489,60.1204
161,38.8409,60.0984
162,39.2451,60.0743
163,39.6419,60.0487
164,40.0413,60.0218
165,40.4392,59.9943
166,40.8445,59.9666
167,41.2276,59.9392
168,41.629,59.9125
169,41.9417,59.8986
170,41.8636,59.5717
171,41.8423,59.1728
172,41.8235,58.7741
173,41.8076,58.3737
174,41.7949,57.9849
175,41.7858,57.6037
176,41.7802,57.2024
177,41.7784,56.8097
178,41.7804,56.4231
179,41.7862,56.0308
180,41.7956,55.6293
181,41.8085,55.2346
182,41.8247,54.8367
183,41.8439,54.441
184,41.8657,54.0544
185,41.8897,53.6501
186,41.9155,53.2642
187,41.9427,52.8678
188,41.9708,52.4698
189,41.9991,52.0667
190,42.0273,51.6773
191,42.0548,51.2786
192,42.0811,50.8983
193,42.1058,50.5016
194,42.1283,50.1166
195,42.1484,49.7305
196,42.1655,49.3305
197,42.1795,48.9395
198,42.19,48.5469
199,42.1969,48.1552
200,42.2001,47.7655
201,42.1995,47.382
202,42.1952,46.9894
203,42.1871,46.5889
204,42.1756,46.1881
205,42.1608,45.7947
206,42.143,45.3996
207,42.0823,45.0909
208,42.4029,45.0998
209,42.7921,45.0752
210,43.19,45.0493
211,43.5875,45.0225
212,43.9901,44.9953
213,44.3936,44.9683
214,44.8003,44.942
215,45.1908,44.9169
216,45.596,44.8933
217,45.9913,44.8719
218,46.3969,44.853
219,46.7856,44.837
220,47.1962,44.8241
221,47.5906,44.8146
222,47.9751,44.8088
223,48.3755,44.8067
224,48.7676,44.8083
225,49.1636,44.8137
226,49.5546,44.8228
227,49.9555,44.8354
