i,x,y
0,5.0,91.0
1,5.3967,90.6412
2,5.8065,90.6091
3,6.1947,90.5808
4,6.5826,90.5549
5,6.9801,90.5304
6,7.3805,90.5077
7,7.7904,90.4864
8,8.1727,90.469
9,8.5532,90.4534
10,8.974,90.4365
11,9.3873,90.4215
12,9.7817,90.4091
13,10.1713,90.3981
14,10.5911,90.3858
15,11.004,90.3747
16,11.3976,90.3654
17,11.8203,90.3543
18,12.2033,90.3462
19,12.6112,90.3363
20,12.9887,90.3283
21,13.3675,90.3198
22,13.783,90.3083
23,14.1905,90.2967
24,14.5896,90.285
25,14.9948,90.2721
26,15.4011,90.2582
27,15.8414,90.2411
28,16.227,90.227
29,16.6304,90.2107
30,17.0377,90.1932
31,17.4422,90.1751
32,17.8448,90.1564
33,18.2442,90.137
34,18.6414,90.1172
35,19.0967,90.0421
36,19.1065,89.5639
37,19.1133,89.1698
38,19.1197,88.7963
39,19.1258,88.4258
40,19.1317,88.009
41,19.1373,87.6446
42,19.1427,87.2333
43,19.1481,86.8267
44,19.1533,86.4483
45,19.1585,86.0817
46,19.1636,85.6841
47,19.1686,85.3167
48,19.1734,84.8925
49,19.1781,84.5005
50,19.1824,84.0921
51,19.1865,83.687
52,19.1902,83.2659
53,19.1933,82.8561
54,19.1958,82.4591
55,19.1976,82.0744
56,19.1985,81.6928
57,19.1985,81.3305
58,19.1975,80.946
59,19.1952,80.5309
60,19.1918,80.1408
61,19.1869,79.7452
62,19.1807,79.3436
63,19.1731,78.9276
64,19.164,78.5485
65,19.1534,78.1674
66,19.1413,77.7689
67,19.1279,77.3695
68,19.113,76.9807
69,19.0969,76.5835
70,19.0797,76.1901
71,19.0615,75.7682
72,19.0424,75.3716
73,19.0405,74.9918
74,19.4482,75.0024
75,19.8795,74.982
76,20.2856,74.9615
77,20.6652,74.9413
78,21.0727,74.9216
79,21.4663,74.9026
80,21.8691,74.8846
81,22.279,74.8678
82,22.6786,74.8525
83,23.078,74.8389
84,23.4787,74.8271
85,23.9117,74.8173
86,24.3199,74.8098
87,24.7297,74.8045
88,25.099,74.8017
89,25.5073,74.8013
90,25.9058,74.8033
91,26.3241,74.8078
92,26.7023,74.8147
93,27.1063,74.8238
94,27.4919,74.835
95,27.8742,74.8483
96,28.2979,74.8633
97,28.7089,74.8798
98,29.143,74.8976
99,29.5524,74.9163
100,29.9484,74.9357
101,30.3431,74.9555
102,30.7322,74.9752
103,31.0826,74.9109
104,31.0134,74.4582
105,31.0311,74.1087
106,31.0475,73.7275
107,31.0624,73.3114
108,31.0753,72.9052
109,31.0861,72.5434
110,31.0946,72.1407
111,31.1005,71.7303
112,31.1038,71.328
113,31.1043,70.9571
114,31.1021,70.547
115,31.0971,70.1218
116,31.0893,69.739
117,31.0789,69.3303
118,31.066,68.9714
119,31.0508,68.5785
120,31.0336,68.1371
121,31.0146,67.7346
122,30.9941,67.35
123,30.9725,66.9716
124,30.9502,66.5869
125,30.9274,66.1661
126,30.9048,65.7728
127,30.8826,65.395
128,30.8613,64.9925
129,30.8412,64.5975
130,30.8228,64.1854
131,30.8065,63.7861
132,30.7926,63.3762
133,30.7814,62.9731
134,30.7731,62.5759
135,30.7681,62.2043
136,30.7665,61.8152
137,30.7685,61.4166
138,30.774,61.0131
139,30.7832,60.6244
140,30.796,60.2409
141,30.9817,59.7523
142,31.5585,59.832
143,31.9336,59.8549
144,32.326,59.8806
145,32.7043,59.9089
146,33.1025,59.9395
147,33.4823,59.9719
148,33.8706,60.0057
149,34.2836,60.0404
150,34.69,60.0757
151,35.0525,60.1109
152,35.4252,60.1457
153,35.8309,60.1795
154,36.1929,60.2118
155,36.5763,60.2421
156,36.9777,60.2701
157,37.3717,60.2954
158,37.7776,60.3175
159,38.1359,60.3362
160,38.5272,60.3511
161,38.9252,60.3621
162,39.2881,60.3691
163,39.69,60.3718
164,40.0698,60.3704
165,40.4775,60.3648
166,40.8859,60.3551
167,41.2877,60.3415
168,41.6961,60.3242
169,42.2545,60.1744
170,42.2796,59.5366
171,42.2531,59.1528
172,42.2242,58.7688
173,42.1934,58.3474
174,42.1612,57.9443
175,42.1281,57.576
176,42.0946,57.1734
177,42.061,56.795
178,42.028,56.3706
179,41.996,55.9916
180,41.9655,55.596
181,41.9368,55.1915
182,41.9103,54.8021
183,41.8863,54.3872
184,41.8652,53.9835
185,41.8471,53.5697
186,41.8323,53.2011
187,41.8207,52.8179
188,41.8125,52.3978
189,41.8077,51.9962
190,41.806,51.629
191,41.8075,51.2325
192,41.8119,50.8452
193,41.8188,50.4602
194,41.8281,50.0484
195,41.8394,49.6451
196,41.8523,49.2578
197,41.8663,48.858
198,41.881,48.4667
199,41.8961,48.1051
200,41.9109,47.7105
201,41.9252,47.3104
202,41.9384,46.8694
203,41.9502,46.516
204,41.9601,46.113
205,41.9679,45.736
206,41.9733,45.3356
207,42.0429,44.9238
208,42.4903,44.9757
209,42.888,44.9725
210,43.297,44.9662
211,43.6883,44.957
212,44.0913,44.9448
213,44.4926,44.9299
214,44.8932,44.9124
215,45.3118,44.8926
216,45.6816,44.8709
217,46.0639,44.8477
218,46.4647,44.8235
219,46.8828,44.7987
220,47.2809,44.7738
221,47.6977,44.7495
222,48.0832,44.7263
223,48.4819,44.7047
224,48.8683,44.6853
225,49.2649,44.6687
226,49.6753,44.6553
227,50.0645,44.6457
228,50.4558,44.6404
229,50.836,44.6396
230,51.2684,44.6437
231,51.6809,44.653
232,52.0753,44.6676
233,52.5152,44.6877
234,52.9262,44.7132
235,53.3107,44.744
236,53.7019,44.78
237,53.9435,44.8033
238,53.8664,44.5056
239,53.9161,44.1345
240,53.9694,43.7365
241,54.0257,43.3581
242,54.0844,42.9677
243,54.1449,42.5692
244,54.2063,42.1654
245,54.2679,41.7503
246,54.329,41.3449
247,54.3885,40.9543
248,54.4459,40.5339
249,54.5002,40.1618
250,54.5507,39.7517
251,54.5966,39.3256
252,54.6373,38.9367
253,54.6721,38.5632
254,54.7005,38.1454
255,54.722,37.7457
256,54.7362,37.3457
257,54.7428,36.9236
258,54.7416,36.5155
259,54.7326,36.1289
260,54.7157,35.7499
261,54.6911,35.3655
262,54.659,34.9667
263,54.6197,34.5463
264,54.5737,34.1518
265,54.5215,33.7533
266,54.4637,33.3415
267,54.401,32.9227
268,54.3341,32.5347
269,54.2639,32.1475
270,54.1913,31.7479
271,54.1171,31.359
272,54.0661,30.9929
273,54.481,30.9675
274,54.8721,30.894
275,55.2705,30.8225
276,55.6654,30.7539
277,56.033,30.689
278,56.439,30.6284
279,56.8236,30.573
280,57.2052,30.5232
281,57.6066,30.4796
282,57.9974,30.4425
283,58.3955,30.4124
284,58.7784,30.3893
285,59.1659,30.3734
286,59.5663,30.3647
287,59.9401,30.363
288,60.3127,30.3681
289,60.6931,30.3798
290,61.094,30.3976
291,61.4298,30.421
292,61.839,30.4494
293,62.2243,30.4823
294,62.6169,30.5189
295,62.9916,30.5585
296,63.4033,30.6005
297,63.8165,30.6439
298,64.2051,30.6881
299,64.6029,30.7323
300,64.8251,30.858
301,64.8179,30.601
302,64.858,30.1832
303,64.8955,29.7887
304,64.9298,29.413
305,64.9606,29.0579
306,64.9875,28.6617
307,65.0103,28.2886
308,65.0288,27.895
309,65.0429,27.5075
310,65.0527,27.1293
311,65.0583,26.7511
312,65.0599,26.3456
313,65.0578,25.953
314,65.0525,25.5445
315,65.0443,25.1393
316,65.0338,24.7407
317,65.0215,24.3399
318,65.0082,23.9151
319,64.9943,23.5196
320,64.9806,23.1522
321,64.9677,22.7642
322,64.9563,22.3621
323,64.947,21.9927
324,64.9403,21.5952
325,64.9368,21.2125
326,64.937,20.795
327,64.9412,20.4057
328,64.9497,20.0013
329,64.9629,19.598
330,64.9808,19.162
331,65.0035,18.8098
332,65.0308,18.4233
333,65.0626,18.0415
334,65.0987,17.6503
335,65.1385,17.2795
336,65.1818,16.8722
337,65.2279,16.4898
338,65.1263,16.2632
339,65.2995,16.3257
340,65.6854,16.3761
341,66.1021,16.4263
342,66.4929,16.4754
343,66.898,16.5227
344,67.2996,16.5673
345,67.7074,16.6082
346,68.0995,16.6446
347,68.4891,16.6757
348,68.9073,16.7008
349,69.3229,16.7192
350,69.7066,16.7303
351,70.1144,16.7336
352,70.5319,16.7287
353,70.9118,16.7153
354,71.2979,16.6933
355,71.7056,16.6625
356,72.1213,16.6232
357,72.5377,16.5755
358,72.9546,16.5197
359,73.3634,16.4564
360,73.7903,16.3862
361,74.1772,16.3097
362,74.5728,16.2277
363,74.9392,16.1413
364,75.3578,16.0514
365,75.7469,15.959
366,76.1213,15.8652
367,76.5217,15.7713
368,76.7266,15.8185
369,76.5875,15.6485
370,76.5,15.2554
371,76.4169,14.8484
372,76.3394,14.4304
373,76.2683,14.0284
374,76.2047,13.6344
375,76.1494,13.2209
376,76.103,12.8387
377,76.0663,12.4534
378,76.0396,12.0613
379,76.0233,11.6425
380,76.0176,11.2231
381,76.0225,10.8189
382,76.038,10.427
383,76.0638,10.0221
384,76.0994,9.6153
385,76.1445,9.22
386,76.1982,8.799
387,76.26,8.3953
388,76.3288,7.9998
389,76.4037,7.5792
