i,x,y
0,5.0,91.0
1,5.4123,91.2853
2,5.8227,91.2009
3,6.2217,91.1146
4,6.6372,91.0249
5,7.045,90.9343
6,7.4553,90.8425
7,7.8693,90.7501
8,8.2708,90.659
9,8.6882,90.5678
10,9.0918,90.4792
11,9.4788,90.394
12,9.8603,90.3122
13,10.2474,90.2334
14,10.6485,90.1576
15,11.019,90.0884
16,11.4393,90.0204
17,11.8282,89.9599
18,12.2229,89.9043
19,12.625,89.8538
20,13.0063,89.8105
21,13.3796,89.7734
22,13.7671,89.7409
23,14.171,89.7128
24,14.5887,89.6889
25,14.9984,89.6706
26,15.3861,89.6584
27,15.7855,89.6496
28,16.1678,89.6457
29,16.5374,89.6459
30,16.9466,89.646
31,17.3479,89.6486
32,17.779,89.6506
33,18.1695,89.6564
34,18.5648,89.6621
35,18.7433,89.7847
36,18.6983,89.6216
37,18.7297,89.2279
38,18.7592,88.8411
39,18.7865,88.4662
40,18.8112,88.1044
41,18.833,87.6895
42,18.8517,87.2999
43,18.867,86.8835
44,18.8789,86.4484
45,18.8874,86.0743
46,18.8925,85.6743
47,18.8943,85.2858
48,18.893,84.8739
49,18.8889,84.4619
50,18.8822,84.0743
51,18.8734,83.6875
52,18.8627,83.298
53,18.8506,82.8848
54,18.8376,82.4999
55,18.8241,82.1114
56,18.8105,81.695
57,18.7973,81.2716
58,18.7851,80.8731
59,18.7741,80.4847
60,18.7648,80.0993
61,18.7575,79.7231
62,18.7526,79.3171
63,18.7504,78.928
64,18.7509,78.5311
65,18.7544,78.1521
66,18.761,77.7335
67,18.7707,77.3572
68,18.7834,76.9491
69,18.7991,76.5521
70,18.8175,76.1623
71,18.8385,75.7358
72,18.8618,75.3461
73,18.9661,74.8748
74,19.4562,74.914
75,19.8544,74.9422
76,20.2799,74.9712
77,20.6815,75.0007
78,21.0745,75.0302
79,21.4779,75.0592
80,21.8846,75.0873
81,22.2924,75.1143
82,22.6902,75.1396
83,23.0766,75.1629
84,23.4751,75.184
85,23.8704,75.2026
86,24.2636,75.2185
87,24.6808,75.2316
88,25.0872,75.2417
89,25.4811,75.2489
90,25.881,75.2533
91,26.2659,75.2548
92,26.6566,75.2536
93,27.0686,75.25
94,27.4698,75.2443
95,27.882,75.2367
96,28.2936,75.2276
97,28.6845,75.2173
98,29.0896,75.2064
99,29.4602,75.1951
100,29.8731,75.1839
101,30.2582,75.1732
102,30.6494,75.1635
103,31.1713,75.0488
104,31.1484,74.5178
105,31.1437,74.1074
106,31.1414,73.7382
107,31.1415,73.3447
108,31.1444,72.9512
109,31.1501,72.5483
110,31.1588,72.1509
111,31.1702,71.7279
112,31.1845,71.3239
113,31.2014,70.9158
114,31.2208,70.5125
115,31.2423,70.1167
116,31.2657,69.7339
117,31.2905,69.3306
118,31.3163,68.941
119,31.3427,68.5625
120,31.3691,68.1579
121,31.395,67.7807
122,31.4199,67.3812
123,31.4432,66.9786
124,31.4644,66.5928
125,31.483,66.2047
126,31.4985,65.8035
127,31.5105,65.3938
128,31.5184,65.0197
129,31.522,64.6341
130,31.5209,64.2582
131,31.515,63.8551
132,31.504,63.4744
133,31.4878,63.0496
134,31.4665,62.6495
135,31.4401,62.2483
136,31.4087,61.8622
137,31.3726,61.4725
138,31.3321,61.088
139,31.2875,60.6897
140,31.2392,60.2951
141,31.1944,60.0709
142,31.4753,60.1338
143,31.8695,60.0778
144,32.2575,60.0203
145,32.6465,59.9621
146,32.9984,59.9038
147,33.3821,59.8461
148,33.7803,59.7895
149,34.161,59.7348
150,34.56,59.6826
151,34.977,59.6334
152,35.3812,59.5878
153,35.7822,59.5462
154,36.1227,59.5091
155,36.5154,59.4768
156,36.9192,59.4495
157,37.3032,59.4276
158,37.6974,59.411
159,38.1065,59.3999
160,38.4904,59.3942
161,38.869,59.3938
162,39.2469,59.3985
163,39.651,59.4081
164,40.0328,59.4222
165,40.4248,59.4404
166,40.8197,59.4624
167,41.2096,59.4877
168,41.5802,59.5157
169,41.6376,59.7206
170,41.578,59.6496
171,41.6111,59.2322
172,41.6448,58.8693
173,41.6786,58.4584
174,41.7119,58.0315
175,41.7444,57.6314
176,41.7756,57.2329
177,41.805,56.8531
178,41.8324,56.4424
179,41.8575,56.0489
180,41.88,55.6824
181,41.8999,55.2768
182,41.9171,54.9081
183,41.9314,54.5231
184,41.943,54.1276
185,41.952,53.745
186,41.9585,53.3392
187,41.9627,52.9321
188,41.9649,52.5472
189,41.9655,52.1566
190,41.9646,51.777
191,41.9627,51.3823
192,41.9602,50.9932
193,41.9574,50.6208
194,41.9548,50.2495
195,41.9525,49.8433
196,41.9511,49.4436
197,41.9509,49.0169
198,41.9521,48.5998
199,41.955,48.225
200,41.9597,47.8428
201,41.9665,47.4767
202,41.9754,47.0925
203,41.9865,46.6937
204,41.9997,46.2975
205,42.0151,45.9102
206,42.0323,45.5308
207,41.9228,45.1484
208,42.2406,45.072
209,42.6282,45.0938
210,43.0486,45.1165
211,43.4419,45.1398
212,43.8299,45.1632
213,44.2468,45.1865
214,44.6627,45.209
215,45.07,45.2305
216,45.4748,45.2504
217,45.8632,45.2685
218,46.2687,45.2843
219,46.6661,45.2974
220,47.0802,45.3076
221,47.4579,45.3147
222,47.8555,45.3182
223,48.2483,45.3183
224,48.6477,45.3146
225,49.0424,45.3073
226,49.4308,45.2963
227,49.8487,45.2818
228,50.2461,45.2639
229,50.6183,45.2428
230,51.0081,45.2189
231,51.4271,45.1925
232,51.8313,45.164
233,52.2222,45.1338
234,52.6526,45.1024
235,53.0536,45.0703
236,53.4659,45.0381
237,53.9186,45.0902
238,53.9753,44.7372
239,53.9458,44.3509
240,53.9183,43.9448
241,53.8932,43.5478
242,53.871,43.1619
243,53.8521,42.7719
244,53.8367,42.3725
245,53.8253,41.9734
246,53.8181,41.5643
247,53.8151,41.1772
248,53.8165,40.7791
249,53.8222,40.3705
250,53.8322,39.9533
251,53.8464,39.566
252,53.8645,39.1471
253,53.8862,38.735
254,53.9111,38.3441
255,53.939,37.9448
256,53.9692,37.5248
257,54.0013,37.1241
258,54.0348,36.7198
259,54.0689,36.3148
260,54.1033,35.9287
261,54.1372,35.5325
262,54.1701,35.122
263,54.2013,34.6941
264,54.2304,34.279
265,54.2568,33.913
