i,x,y
0,35.0,1.0
1,35.2671,1.2981
2,35.5342,1.5963
3,35.8012,1.8944
4,36.0683,2.1925
5,36.3354,2.4907
6,36.6025,2.7888
7,36.8696,3.087
8,37.1366,3.3851
9,37.4037,3.6832
10,37.6708,3.9814
11,37.9379,4.2795
12,38.205,4.5776
13,38.472,4.8758
14,38.7391,5.1739
15,39.0062,5.472
16,39.2733,5.7702
17,39.5404,6.0683
18,39.8075,6.3665
19,40.0745,6.6646
20,40.3416,6.9627
21,40.6087,7.2609
22,40.8758,7.559
23,41.1429,7.8571
24,41.4099,8.1553
25,41.677,8.4534
26,41.9441,8.7516
27,42.2112,9.0497
28,42.4783,9.3478
29,42.7453,9.646
30,43.0124,9.9441
31,43.2795,10.2422
32,43.5466,10.5404
33,43.8137,10.8385
34,44.0807,11.1366
35,44.3478,11.4348
36,44.6149,11.7329
37,44.882,12.0311
38,45.1491,12.3292
39,45.4161,12.6273
40,45.6832,12.9255
41,45.9503,13.2236
42,46.2174,13.5217
43,46.4845,13.8199
44,46.7516,14.118
45,47.0186,14.4161
46,47.2857,14.7143
47,47.5528,15.0124
48,47.8199,15.3106
49,48.087,15.6087
50,48.354,15.9068
51,48.6211,16.205
52,48.8882,16.5031
53,49.1553,16.8012
54,49.4224,17.0994
55,49.6894,17.3975
56,49.9565,17.6957
57,50.2236,17.9938
58,50.4907,18.2919
59,50.7578,18.5901
60,51.0248,18.8882
61,51.2919,19.1863
62,51.559,19.4845
63,51.8261,19.7826
64,52.0932,20.0807
65,52.3602,20.3789
66,52.6273,20.677
67,52.8944,20.9752
68,53.1615,21.2733
69,53.4286,21.5714
70,53.6957,21.8696
71,53.9627,22.1677
72,54.2298,22.4658
73,54.4969,22.764
74,54.764,23.0621
75,55.0311,23.3602
76,55.2981,23.6584
77,55.5652,23.9565
78,55.8323,24.2547
79,56.0994,24.5528
80,56.3665,24.8509
81,56.6335,25.1491
82,56.9006,25.4472
83,57.1677,25.7453
84,57.4348,26.0435
85,57.7019,26.3416
86,57.9689,26.6398
87,58.236,26.9379
88,58.5031,27.236
89,58.7702,27.5342
90,59.0373,27.8323
91,59.3043,28.1304
92,59.5714,28.4286
93,59.8385,28.7267
94,60.1056,29.0248
95,60.3727,29.323
96,60.6398,29.6211
97,60.9068,29.9193
98,61.1739,30.2174
99,61.441,30.5155
100,61.7081,30.8137
101,61.9752,31.1118
102,62.2422,31.4099
103,62.5093,31.7081
104,62.7764,32.0062
105,63.0435,32.3043
106,63.3106,32.6025
107,63.5776,32.9006
108,63.8447,33.1988
109,64.1118,33.4969
110,64.3789,33.795
111,64.646,34.0932
112,64.913,34.3913
113,65.1801,34.6894
114,65.4472,34.9876
115,65.7143,35.2857
116,65.9814,35.5839
117,66.2484,35.882
118,66.5155,36.1801
119,66.7826,36.4783
120,67.0497,36.7764
121,67.3168,37.0745
122,67.5839,37.3727
123,67.8509,37.6708
124,68.118,37.9689
125,68.3851,38.2671
126,68.6522,38.5652
127,68.9193,38.8634
128,69.1863,39.1615
129,69.4534,39.4596
130,69.7205,39.7578
131,69.9876,40.0559
132,70.2547,40.354
133,70.5217,40.6522
134,70.7888,40.9503
135,71.0559,41.2484
136,71.323,41.5466
137,71.5901,41.8447
138,71.8571,42.1429
139,72.1242,42.441
140,72.3913,42.7391
141,72.6584,43.0373
142,72.9255,43.3354
143,73.1925,43.6335
144,73.4596,43.9317
145,73.7267,44.2298
146,73.9938,44.528
147,74.2609,44.8261
148,74.528,45.1242
149,74.795,45.4224
150,75.0621,45.7205
151,75.3292,46.0186
152,75.5963,46.3168
153,75.8634,46.6149
154,76.1304,46.913
155,76.3975,47.2112
156,76.6646,47.5093
157,76.9317,47.8075
158,77.1988,48.1056
159,77.4658,48.4037
160,77.7329,48.7019
161,78.0,49.0
162,78.2143,48.6607
163,78.4286,48.3214
164,78.6429,47.9821
165,78.8571,47.6429
166,79.0714,47.3036
167,79.2857,46.9643
168,79.5,46.625
169,79.7143,46.2857
170,79.9286,45.9464
171,80.1429,45.6071
172,80.3571,45.2679
173,80.5714,44.9286
174,80.7857,44.5893
175,81.0,44.25
176,81.2143,43.9107
177,81.4286,43.5714
178,81.6429,43.2321
179,81.8571,42.8929
180,82.0714,42.5536
181,82.2857,42.2143
182,82.5,41.875
183,82.7143,41.5357
184,82.9286,41.1964
185,83.1429,40.8571
186,83.3571,40.5179
187,83.5714,40.1786
188,83.7857,39.8393
189,84.0,39.5
190,84.2143,39.1607
191,84.4286,38.8214
192,84.6429,38.4821
193,84.8571,38.1429
194,85.0714,37.8036
195,85.2857,37.4643
196,85.5,37.125
197,85.7143,36.7857
198,85.9286,36.4464
199,86.1429,36.1071
200,86.3571,35.7679
201,86.5714,35.4286
202,86.7857,35.0893
203,87.0,34.75
204,87.2143,34.4107
205,87.4286,34.0714
206,87.6429,33.7321
207,87.8571,33.3929
208,88.0714,33.0536
209,88.2857,32.7143
210,88.5,32.375
211,88.7143,32.0357
212,88.9286,31.6964
213,89.1429,31.3571
214,89.3571,31.0179
215,89.5714,30.6786
216,89.7857,30.3393
217,90.0,30.0
218,90.4,30.0286
219,90.8,30.0571
220,91.2,30.0857
221,91.6,30.1143
