i,x,y
0,35.0,1.0
1,35.1785,1.3656
2,35.4317,1.6861
3,35.6998,2.0203
4,35.9531,2.3343
5,36.2025,2.64
6,36.4676,2.9591
7,36.7308,3.2716
8,36.9727,3.5557
9,37.2364,3.8592
10,37.4928,4.1496
11,37.7717,4.4602
12,38.0501,4.765
13,38.3401,5.0777
14,38.6015,5.3535
15,38.8794,5.6429
16,39.1565,5.9267
17,39.4367,6.2094
18,39.7244,6.4964
19,40.0055,6.7721
20,40.2932,7.0517
21,40.5817,7.329
22,40.8691,7.6023
23,41.1739,7.8928
24,41.473,8.1753
25,41.769,8.4528
26,42.0492,8.7121
27,42.3474,8.9911
28,42.6352,9.2589
29,42.9298,9.5351
30,43.2143,9.8013
31,43.4991,10.0699
32,43.7862,10.3433
33,44.0799,10.6269
34,44.3739,10.9143
35,44.6563,11.1924
36,44.9268,11.4614
37,45.2277,11.7689
38,45.4995,12.0487
39,45.7733,12.3358
40,46.0339,12.6136
41,46.3017,12.9049
42,46.5796,13.2131
43,46.854,13.5231
44,47.1243,13.8342
45,47.375,14.1291
46,47.6204,14.4237
47,47.8864,14.7468
48,48.1572,15.0804
49,48.3952,15.3824
50,48.6614,15.7206
51,48.9053,16.0382
52,49.1426,16.3524
53,49.3884,16.6796
54,49.6374,17.0135
55,49.8903,17.3542
56,50.1232,17.6747
57,50.3523,17.9925
58,50.5908,18.3217
59,50.8491,18.6733
60,51.0827,18.9973
61,51.3176,19.3218
62,51.5594,19.6527
63,51.8203,20.003
64,52.0782,20.3476
65,52.3278,20.6798
66,52.5525,20.9808
67,52.7935,21.296
68,53.0341,21.6065
69,53.2772,21.9149
70,53.5292,22.2283
71,53.7896,22.5456
72,54.0403,22.8464
73,54.3133,23.1664
74,54.5746,23.4673
75,54.8423,23.7692
76,55.0991,24.053
77,55.3653,24.3413
78,55.6386,24.6315
79,55.9168,24.9215
80,56.2022,25.2138
81,56.4804,25.4929
82,56.7601,25.7687
83,57.062,26.0646
84,57.3483,26.3388
85,57.6355,26.6104
86,57.9445,26.903
87,58.2459,27.1843
88,58.5232,27.4365
89,58.8426,27.7342
90,59.127,27.9916
91,59.4376,28.2779
92,59.7227,28.5359
93,60.0364,28.8266
94,60.3317,29.0982
95,60.6294,29.3743
96,60.9117,29.6359
97,61.1923,29.8986
98,61.4948,30.1893
99,61.7948,30.4815
100,62.0764,30.7577
101,62.357,31.0376
102,62.6454,31.3317
103,62.9021,31.5961
104,63.177,31.8866
105,63.4344,32.1637
106,63.7064,32.4635
107,63.9492,32.737
108,64.2032,33.0293
109,64.4541,33.3245
110,64.6902,33.6096
111,64.9296,33.9043
112,65.1981,34.2374
113,65.4479,34.5553
114,65.6879,34.8675
115,65.9087,35.1631
116,66.1463,35.4821
117,66.3877,35.8092
118,66.6338,36.1452
119,66.8818,36.4862
120,67.1152,36.8133
121,67.3351,37.127
122,67.5753,37.4646
123,67.8078,37.7941
124,68.0485,38.1326
125,68.2971,38.4792
126,68.5367,38.8143
127,68.7735,39.1443
128,68.9979,39.4577
129,69.2385,39.7861
130,69.4821,40.1139
131,69.7269,40.4389
132,69.9766,40.7644
133,70.2266,41.0851
134,70.4563,41.3774
135,70.7043,41.6841
136,70.9533,41.9858
137,71.2224,42.3032
138,71.4798,42.601
139,71.7287,42.8824
140,71.9919,43.1729
141,72.2678,43.4709
142,72.5396,43.7574
143,72.8409,44.0703
144,73.1282,44.3611
145,73.4157,44.646
146,73.7005,44.922
147,74.0048,45.2145
148,74.2953,45.4864
149,74.5944,45.7635
150,74.8921,46.0349
151,75.1897,46.3027
152,75.4814,46.561
153,75.7801,46.825
154,76.0772,47.0854
155,76.3885,47.3607
156,76.6998,47.6358
157,76.9991,47.8978
158,77.2958,48.1578
159,77.5791,48.4047
160,77.8751,48.668
161,78.0526,48.8235
162,78.0681,48.4954
163,78.2484,48.1391
164,78.4473,47.7591
165,78.6424,47.3916
166,78.8323,47.039
167,79.0232,46.6921
168,79.219,46.3454
169,79.4208,45.997
170,79.6395,45.6303
171,79.8416,45.2983
172,80.0599,44.9494
173,80.2733,44.6167
174,80.5009,44.2701
175,80.7207,43.9441
176,80.9494,43.6123
177,81.1681,43.3041
178,81.4041,42.9761
179,81.6582,42.6262
180,81.8871,42.3229
181,82.1248,42.0114
182,82.3698,41.6938
183,82.6073,41.3925
184,82.8626,41.0668
185,83.1107,40.7557
186,83.364,40.4386
187,83.6221,40.1153
188,83.8649,39.8169
189,84.1146,39.5074
190,84.3686,39.19
191,84.6091,38.892
192,84.8634,38.5694
193,85.0918,38.2844
194,85.33,37.9796
195,85.5817,37.6484
196,85.8217,37.3302
197,86.0585,37.0105
198,86.2929,36.6879
199,86.5287,36.3557
200,86.7734,36.0017
201,86.993,35.6792
202,87.2208,35.3354
203,87.4285,35.0148
204,87.6467,34.6688
205,87.8548,34.3298
206,88.0578,33.9903
207,88.2692,33.6289
208,88.4697,33.2764
209,88.6704,32.9152
210,88.8717,32.5454
211,89.0672,32.1775
212,89.2469,31.8275
213,89.43,31.466
214,89.5837,31.1454
215,89.7575,30.788
216,89.9295,30.4292
217,90.0588,30.1064
218,90.4071,30.1012
219,90.7935,30.0782
220,91.2123,30.0569
221,91.6229,30.0349
222,92.0438,30.014
223,92.4433,29.9924
224,92.8587,29.9731
225,93.2312,29.9525
226,93.6453,29.937
227,94.0315,29.922
228,94.4205,29.9101
229,94.8279,29.9027
230,95.2397,29.8992
231,95.6457,29.899
232,96.0368,29.902
233,96.4601,29.9115
234,96.8461,29.9228
235,97.2461,29.9397
236,97.6648,29.9627
237,98.0745,29.9897
238,98.4845,30.0215
239,98.9018,30.0585
240,99.311,30.0995
241,99.7141,30.1446
242,100.1137,30.1938
243,100.5183,30.2474
244,100.9288,30.3052
245,101.3004,30.3639
246,101.6708,30.4257
247,102.0621,30.492
248,102.4625,30.5614
249,102.8703,30.6335
250,103.2612,30.7062
251,103.6795,30.7821
252,104.1487,30.9412
253,104.115,31.4475
254,104.0808,31.8518
255,104.0468,32.248
256,104.0137,32.6429
257,103.9822,33.0451
258,103.9528,33.4591
259,103.9251,33.8568
260,103.9004,34.2708
261,103.8782,34.6751
262,103.859,35.0682
263,103.8424,35.4369
264,103.8303,35.8279
265,103.8222,36.2161
266,103.818,36.6
267,103.8185,36.991
268,103.8234,37.3836
269,103.8334,37.7978
270,103.8475,38.1957
271,103.8669,38.6182
272,103.8899,39.0169
273,103.9174,39.4234
274,103.9479,39.7921
275,103.9832,40.1857
276,104.0226,40.5894
277,104.0645,40.963
278,104.111,41.3804
279,104.1597,41.7746
280,104.2109,42.171
281,104.2646,42.5753
282,104.32,42.9779
283,104.3772,43.3975
284,104.434,43.771
285,104.4917,44.1591
286,104.5499,44.5599
287,104.6072,44.9456
288,104.6647,45.3614
289,104.7204,45.7556
290,104.774,46.1405
291,104.8261,46.5367
292,104.8753,46.9191
293,104.9224,47.322
294,104.9667,47.7301
295,105.0073,48.1298
296,105.0436,48.5111
297,105.0764,48.8993
298,105.1053,49.2947
299,105.1305,49.7059
300,105.1514,50.1184
301,105.1674,50.5152
302,105.1788,50.907
