i,x,y
0,35.0,1.0
1,35.3526,1.1963
2,35.6123,1.4742
3,35.8839,1.7699
4,36.1581,2.0728
5,36.416,2.362
6,36.6763,2.6582
7,36.9437,2.9665
8,37.2021,3.269
9,37.4564,3.5708
10,37.711,3.8765
11,37.963,4.1829
12,38.2371,4.5169
13,38.4736,4.8117
14,38.7334,5.1349
15,38.9742,5.4387
16,39.2147,5.7438
17,39.4664,6.0623
18,39.7214,6.385
19,39.975,6.7064
20,40.2334,7.0327
21,40.4839,7.3493
22,40.7296,7.6592
23,40.9836,7.9766
24,41.238,8.2922
25,41.5029,8.6167
26,41.764,8.934
27,42.0308,9.2542
28,42.2764,9.5469
29,42.5323,9.8472
30,42.7999,10.1561
31,43.0792,10.4734
32,43.3482,10.7745
33,43.6262,11.081
34,43.9105,11.3894
35,44.1947,11.6928
36,44.4677,11.9788
37,44.7449,12.2647
38,45.0319,12.5568
39,45.3053,12.8292
40,45.6053,13.1271
41,45.8921,13.4061
42,46.1916,13.6957
43,46.4714,13.96
44,46.7535,14.2237
45,47.0467,14.4974
46,47.3245,14.7519
47,47.633,15.039
48,47.9198,15.3007
49,48.2229,15.5801
50,48.5327,15.867
51,48.8297,16.14
52,49.1281,16.4155
53,49.4183,16.6835
54,49.7115,16.9568
55,50.0032,17.2309
56,50.2896,17.5022
57,50.5561,17.7547
58,50.8359,18.026
59,51.1227,18.3093
60,51.4271,18.617
61,51.6987,18.8929
62,51.9798,19.1847
63,52.2515,19.4715
64,52.5218,19.7622
65,52.7878,20.0538
66,53.0671,20.3661
67,53.3309,20.6669
68,53.5906,20.969
69,53.842,21.2674
70,54.088,21.5654
71,54.3378,21.873
72,54.586,22.1838
73,54.8378,22.5036
74,55.0783,22.8153
75,55.2948,23.1043
76,55.5233,23.4104
77,55.7738,23.7444
78,55.9949,24.0485
79,56.2343,24.3752
80,56.4624,24.6913
81,56.7168,25.038
82,56.9477,25.3592
83,57.1733,25.6747
84,57.3964,25.9872
85,57.639,26.3207
86,57.8752,26.6456
87,58.1339,26.9938
88,58.357,27.3
89,58.6096,27.6362
90,58.8717,27.98
91,59.1057,28.2886
92,59.3364,28.5896
93,59.5885,28.9103
94,59.853,29.2403
95,60.094,29.5392
96,60.3629,29.8643
97,60.6224,30.1737
98,60.8857,30.4823
99,61.1488,30.7853
100,61.4126,31.084
101,61.6764,31.3776
102,61.9577,31.6857
103,62.2402,31.9903
104,62.5127,32.279
105,62.7861,32.5644
106,63.0705,32.8581
107,63.3459,33.1379
108,63.6268,33.4205
109,63.9231,33.7173
110,64.1984,33.988
111,64.4721,34.2548
112,64.7513,34.5263
113,65.0283,34.794
114,65.3189,35.0761
115,65.6104,35.359
116,65.8971,35.6368
117,66.1878,35.9199
118,66.4748,36.1999
119,66.7715,36.4923
120,67.0497,36.7662
121,67.3416,37.0576
122,67.6417,37.361
123,67.9297,37.654
124,68.2095,37.9412
125,68.488,38.2305
126,68.7582,38.5145
127,69.0268,38.8006
128,69.2875,39.0821
129,69.5548,39.375
130,69.8278,39.6786
131,70.0855,39.9691
132,70.3295,40.2486
133,70.6003,40.5618
134,70.8512,40.8567
135,71.1039,41.1572
136,71.3336,41.4353
137,71.601,41.7587
138,71.8463,42.06
139,72.1,42.3732
140,72.3425,42.6759
141,72.5888,42.9843
142,72.8403,43.2998
143,73.091,43.6151
