i,x,y
0,35.0,1.0
1,34.8684,1.6555
2,35.1666,1.8956
3,35.486,2.1564
4,35.8036,2.4124
5,36.1182,2.6629
6,36.4645,2.9471
7,36.8011,3.2194
8,37.0657,3.4106
9,37.3899,3.6682
10,37.7493,3.9656
11,38.0965,4.2503
12,38.3992,4.4868
13,38.7597,4.7897
14,39.0458,5.0121
15,39.3994,5.3129
16,39.7184,5.5784
17,40.0237,5.8326
18,40.3219,6.0832
19,40.6166,6.3346
20,40.9485,6.6327
21,41.2289,6.8787
22,41.5303,7.1541
23,41.8611,7.4683
24,42.0966,7.6825
25,42.3464,7.9193
26,42.6484,8.2213
27,42.9392,8.5175
28,43.2081,8.7965
29,43.4779,9.0836
30,43.7465,9.3766
31,44.0375,9.7018
32,44.3045,10.0074
33,44.5761,10.3253
34,44.8063,10.6039
35,45.0663,10.9225
36,45.3122,11.2323
37,45.5593,11.5497
38,45.7997,11.8659
39,46.0611,12.2114
40,46.3022,12.54
41,46.5327,12.862
42,46.7466,13.1703
43,46.956,13.4781
44,47.1696,13.7947
45,47.4158,14.1515
46,47.6215,14.4661
47,47.8125,14.7672
48,48.0344,15.1049
49,48.2756,15.4661
50,48.4851,15.7931
51,48.7255,16.1553
52,48.9304,16.4782
53,49.1321,16.7974
54,49.4268,17.2196
55,49.6736,17.5871
56,49.8438,17.8675
57,50.058,18.1947
58,50.3185,18.5712
59,50.5602,18.9235
60,50.7717,19.2387
61,51.0233,19.5949
62,51.2254,19.8914
63,51.4321,20.1886
64,51.6832,20.5306
65,51.9327,20.8654
66,52.2003,21.2152
67,52.4301,21.5171
68,52.6809,21.8366
69,52.9192,22.1362
70,53.1498,22.4211
71,53.4125,22.7356
72,53.6702,23.0383
73,53.9193,23.3252
74,54.2322,23.677
75,54.5178,23.9921
76,54.8059,24.3041
77,55.0788,24.5931
78,55.373,24.9
79,55.6574,25.1904
80,55.9284,25.4605
81,56.2006,25.7267
82,56.4985,26.0168
83,56.7987,26.3049
84,57.0613,26.5469
85,57.3489,26.8128
86,57.6754,27.1186
87,57.9353,27.347
88,58.273,27.6594
89,58.5483,27.9
90,58.8048,28.1176
91,59.1187,28.3978
92,59.4514,28.6981
93,59.7949,29.0097
94,60.0952,29.273
95,60.43,29.5751
96,60.7325,29.8418
97,61.0365,30.1113
98,61.3437,30.3859
99,61.6573,30.6695
100,61.9224,30.9014
101,62.1911,31.1399
102,62.5029,31.4296
103,62.7901,31.6951
104,63.0827,31.9703
105,63.3622,32.2348
106,63.6504,32.5132
107,63.902,32.7551
108,64.2008,33.0543
109,64.5262,33.3879
110,64.7797,33.6462
111,65.0096,33.883
112,65.2715,34.1608
113,65.5432,34.4545
114,65.8148,34.7532
115,66.0736,35.0426
116,66.3438,35.3498
117,66.6325,35.6828
118,66.8614,35.9537
119,67.1007,36.2408
120,67.3439,36.5369
121,67.6203,36.8743
122,67.862,37.1771
123,68.1125,37.4934
124,68.3441,37.7923
125,68.6234,38.1478
126,68.8939,38.4963
127,69.1193,38.7971
128,69.329,39.0825
129,69.6041,39.4431
130,69.814,39.7323
131,70.0271,40.0262
132,70.249,40.3308
133,70.4853,40.652
134,70.6931,40.9412
135,70.9042,41.2338
136,71.1764,41.5938
137,71.4034,41.9023
138,71.6171,42.1944
139,71.8954,42.5568
140,72.1185,42.8552
141,72.3715,43.1846
142,72.5895,43.472
143,72.8541,43.8082
144,73.1093,44.1305
145,73.3116,44.39
146,73.5867,44.7269
147,73.8556,45.0525
148,74.1018,45.3486
149,74.3578,45.6509
150,74.6351,45.9725
151,74.8764,46.2489
152,75.1347,46.5395
153,75.3785,46.8091
154,75.6574,47.1128
155,75.9129,47.3854
156,76.2202,47.7108
157,76.4957,47.996
158,76.8178,48.3282
159,77.0799,48.5888
160,77.3405,48.8432
161,77.8613,49.3725
162,78.4017,48.9804
163,78.5725,48.6485
164,78.7435,48.3117
165,78.9189,47.9633
166,79.1076,47.5898
167,79.2743,47.2474
168,79.4666,46.8612
169,79.6608,46.4688
170,79.8154,46.1367
171,79.9728,45.7979
172,80.1301,45.4577
173,80.3027,45.0918
174,80.5023,44.6823
175,80.6992,44.2768
176,80.8713,43.9105
177,81.0385,43.5524
178,81.2109,43.1871
179,81.3829,42.8237
180,81.5543,42.4629
181,81.7401,42.0817
182,81.9227,41.708
183,82.1243,41.3071
184,82.3144,40.9278
185,82.4958,40.5659
186,82.6957,40.1788
187,82.8671,39.841
188,83.0809,39.4409
189,83.2747,39.0771
190,83.4874,38.6884
191,83.6702,38.3524
192,83.8695,37.9957
193,84.0638,37.6526
194,84.237,37.3484
195,84.4046,37.0593
196,84.6068,36.721
197,84.7926,36.4148
198,84.9938,36.0901
199,85.2295,35.7167
200,85.4397,35.3896
201,85.6408,35.0828
202,85.8765,34.727
203,86.1242,34.3578
204,86.3443,34.0379
205,86.5676,33.7181
206,86.8245,33.3505
207,87.0757,32.9969
208,87.3207,32.6578
209,87.5753,32.3081
210,87.8053,32.0016
211,88.0436,31.6861
212,88.2864,31.3672
213,88.5175,31.0704
214,88.7728,30.7385
215,89.0303,30.4061
216,89.2828,30.084
217,89.7431,29.5488
218,90.3638,29.5501
219,90.7159,29.6203
220,91.1987,29.7006
221,91.5886,29.7748
222,92.0316,29.8534
223,92.493,29.9336
224,92.8506,30.0066
225,93.248,30.0824
226,93.6714,30.16
227,94.0862,30.2368
228,94.496,30.3129
229,94.8431,30.384
230,95.1152,30.4492
231,95.5682,30.5267
232,95.9978,30.6017
233,96.3895,30.6732
234,96.842,30.748
235,97.2729,30.8203
236,97.6989,30.8912
237,98.1019,30.9592
238,98.4585,31.0228
239,98.8408,31.087
240,99.2441,31.1514
241,99.6523,31.2149
242,100.0897,31.2791
243,100.4963,31.3398
244,100.8487,31.3953
245,101.2725,31.4545
246,101.6603,31.5097
247,102.0639,31.5647
248,102.4755,31.619
249,102.9157,31.6739
250,103.3446,31.7267
251,103.7077,31.7734
252,103.4981,31.6485
253,103.1881,31.5703
254,103.1844,31.9812
255,103.1812,32.3663
256,103.1806,32.795
257,103.1801,33.187
258,103.1805,33.5687
259,103.1833,33.9915
260,103.1862,34.3758
261,103.1898,34.7503
262,103.1956,35.1535
263,103.2028,35.5672
264,103.2086,35.9
265,103.2168,36.2727
266,103.2249,36.6043
267,103.2368,37.019
268,103.2505,37.4545
269,103.2656,37.8968
270,103.2796,38.2676
271,103.2964,38.6912
272,103.3139,39.0959
273,103.3313,39.4612
274,103.3522,39.8968
275,103.3733,40.3007
276,103.3935,40.6332
277,103.4152,40.9752
278,103.4406,41.3878
279,103.4668,41.7857
280,103.4954,42.216
281,103.5225,42.5554
282,103.5533,42.9668
283,103.5873,43.4355
284,103.6183,43.7633
285,103.6526,44.1492
286,103.6885,44.5407
287,103.7265,44.9549
288,103.7652,45.3412
289,103.8055,45.7369
290,103.849,46.1834
291,103.8923,46.5831
292,103.9371,46.9853
293,103.985,47.4387
294,104.0318,47.8203
295,104.0805,48.2199
296,104.1298,48.6009
297,104.1822,49.0406
298,104.2356,49.4757
299,104.2888,49.8714
300,104.3429,50.2655
301,104.3975,50.6459
302,104.4528,51.0252
303,104.5086,51.398
304,104.5667,51.8195
305,104.6232,52.1794
306,104.682,52.5952
307,104.7405,52.995
308,104.7984,53.3692
309,104.8557,53.726
310,104.9148,54.1407
311,104.9739,54.5614
312,105.0303,54.9085
313,105.09,55.3728
314,105.1458,55.7355
315,105.2025,56.1494
316,105.2587,56.5766
317,105.3127,56.9656
318,105.3663,57.3764
319,105.4192,57.8076
320,105.472,58.2764
321,105.5215,58.6903
322,105.5686,59.0824
323,105.6128,59.435
324,105.6567,59.8369
325,105.6977,60.2082
326,105.7362,60.5663
327,105.7769,61.0539
328,105.8115,61.4234
329,105.8436,61.7824
330,105.6368,62.6184
331,104.8069,63.0498
332,104.3805,63.2512
333,104.0116,63.4249
334,103.6479,63.5937
335,103.3375,63.7366
336,103.0477,63.868
337,102.7142,64.016
338,102.365,64.1683
339,101.9707,64.338
340,101.6427,64.4763
341,101.3166,64.6115
342,100.9177,64.7763
343,100.5604,64.9209
344,100.1782,65.0744
345,99.8077,65.2208
346,99.4573,65.3568
347,99.0576,65.5126
348,98.6769,65.6588
349,98.3054,65.7996
350,97.9706,65.9232
351,97.6547,66.0375
352,97.2887,66.1729
353,96.9111,66.3127
354,96.5089,66.4628
355,96.1215,66.6061
356,95.7436,66.745
357,95.3595,66.8866
358,94.9929,67.0208
359,94.6068,67.1637
360,94.2154,67.3095
361,93.8821,67.4305
362,93.5468,67.5531
363,93.2111,67.6767
364,92.8297,67.8213
365,92.4304,67.9749
366,92.0862,68.1056
367,91.6939,68.2586
368,91.3375,68.3973
369,90.9512,68.5505
370,90.5393,68.7164
371,90.1795,68.861
372,89.8432,68.9969
373,89.4915,69.1411
374,88.9368,69.3154
375,88.5609,68.8506
376,88.3725,68.4983
377,88.171,68.125
378,87.9632,67.7427
379,87.7585,67.3686
380,87.5579,67.0042
381,87.3518,66.6317
382,87.162,66.2909
383,86.9406,65.8941
384,86.755,65.5638
385,86.5667,65.2296
386,86.3568,64.8568
387,86.1594,64.507
388,85.947,64.13
389,85.7553,63.7905
390,85.5779,63.4763
391,85.3797,63.1231
392,85.1922,62.7881
393,84.9794,62.4053
394,84.7635,62.0147
