i,x,y
0,35.0,1.0
1,35.125,1.4229
2,35.3814,1.7323
3,35.6364,2.0386
4,35.8894,2.3408
5,36.1443,2.6434
6,36.4077,2.9536
7,36.6816,3.2737
8,36.9438,3.5786
9,37.2065,3.8822
10,37.4722,4.1869
11,37.7319,4.483
12,38.0004,4.7869
13,38.263,5.0821
14,38.5363,5.3872
15,38.7961,5.6753
16,39.0678,5.9747
17,39.3437,6.2771
18,39.6229,6.5813
19,39.8953,6.8761
20,40.1724,7.1746
21,40.441,7.4621
22,40.7204,7.7603
23,40.9929,8.0494
24,41.2587,8.3299
25,41.5366,8.6228
26,41.8017,8.9005
27,42.0778,9.1899
28,42.3597,9.4849
29,42.6346,9.7718
30,42.912,10.061
31,43.19,10.3508
32,43.467,10.6393
33,43.7509,10.9357
34,44.0276,11.2242
35,44.3099,11.5193
36,44.583,11.8047
37,44.8561,12.0907
38,45.1283,12.3764
39,45.3964,12.6583
40,45.669,12.9462
41,45.9438,13.2377
42,46.2173,13.5287
43,46.4926,13.8229
44,46.7712,14.1222
45,47.0435,14.4156
46,47.316,14.7107
47,47.5871,15.0056
48,47.8551,15.2983
49,48.126,15.5957
50,48.3936,15.8909
51,48.6628,16.1892
52,48.9329,16.4899
53,49.1969,16.7851
54,49.4653,17.0865
55,49.7286,17.3834
56,49.994,17.6838
57,50.2592,17.9851
58,50.5152,18.2771
59,50.7759,18.5753
60,51.0414,18.8795
61,51.3079,19.1856
62,51.5665,19.4835
63,51.83,19.7873
64,52.1,20.0987
65,52.366,20.4059
66,52.631,20.7121
67,52.9058,21.0292
68,53.1637,21.3273
69,53.4249,21.6288
70,53.6897,21.934
71,53.954,22.2381
72,54.2215,22.5452
73,54.4914,22.8542
74,54.7614,23.1625
75,55.0342,23.4731
76,55.3021,23.7772
77,55.5719,24.0823
78,55.8399,24.3842
79,56.1115,24.6889
80,56.37,24.9777
81,56.6395,25.2776
82,56.902,25.5682
83,57.1736,25.8676
84,57.4352,26.1546
85,57.7053,26.4495
86,57.9725,26.7398
87,58.2386,27.0276
88,58.5096,27.3196
89,58.7825,27.6125
90,59.0484,27.8962
91,59.3178,28.1827
92,59.5941,28.4759
93,59.8647,28.7617
94,60.1434,29.0556
95,60.4246,29.3515
96,60.6933,29.6329
97,60.9795,29.933
98,61.2619,30.2286
99,61.5361,30.5147
100,61.8157,30.8066
101,62.0972,31.1005
102,62.3743,31.3896
103,62.6591,31.6875
104,62.9333,31.9739
105,63.213,32.2669
106,63.4851,32.5521
107,63.749,32.8287
108,64.028,33.1232
109,64.3053,33.4168
110,64.5853,33.7145
111,64.8561,34.0031
112,65.1306,34.2971
113,65.4,34.587
114,65.6701,34.8791
115,65.9514,35.1853
116,66.2128,35.4709
117,66.4883,35.774
118,66.7606,36.0754
119,67.0235,36.368
120,67.2894,36.6657
121,67.5556,36.9657
122,67.8231,37.269
123,68.0807,37.5631
124,68.3384,37.859
125,68.6044,38.166
126,68.8579,38.4608
127,69.1127,38.7588
128,69.3644,39.0548
129,69.6261,39.3636
130,69.8824,39.6678
131,70.1385,39.973
132,70.3906,40.2751
133,70.6391,40.5743
134,70.8977,40.8857
135,71.1564,41.1981
136,71.4092,41.5046
137,71.6705,41.8212
138,71.9315,42.138
139,72.1803,42.4414
140,72.43,42.746
141,72.6822,43.0533
142,72.9464,43.3738
143,73.195,43.6767
144,73.4436,43.9791
145,73.6952,44.2842
146,73.9479,44.5899
147,74.2147,44.9104
148,74.4623,45.2084
149,74.7215,45.5183
150,74.982,45.8284
151,75.239,46.1332
152,75.502,46.4433
153,75.7569,46.7427
154,76.0075,47.0358
155,76.2568,47.3257
156,76.5163,47.6253
157,76.7801,47.9278
158,77.0443,48.229
159,77.304,48.5233
160,77.5716,48.8246
161,78.0053,49.2028
162,78.3813,48.7741
163,78.5925,48.436
164,78.8036,48.0959
165,79.0173,47.7494
166,79.2318,47.3996
167,79.4358,47.0646
168,79.6463,46.7174
169,79.8558,46.3698
170,80.0618,46.0262
171,80.2704,45.6771
172,80.471,45.3393
173,80.6733,44.9975
174,80.8764,44.6534
175,81.081,44.3061
176,81.2837,43.9611
177,81.4874,43.6141
178,81.6847,43.2768
179,81.8827,42.9381
180,82.0817,42.5981
181,82.2886,42.2457
182,82.4951,41.8943
183,82.6943,41.5549
184,82.8912,41.22
185,83.0978,40.8707
186,83.3048,40.5216
187,83.5124,40.1728
188,83.721,39.8238
189,83.9271,39.4803
190,84.1331,39.1384
191,84.3426,38.7925
192,84.5438,38.4617
