i,x,y
0,35.0,1.0
1,35.7432,0.9001
2,36.0473,1.1927
3,36.3232,1.4576
4,36.6146,1.7438
5,36.8918,2.0184
6,37.1782,2.3082
7,37.4578,2.5952
8,37.7366,2.8866
9,38.0069,3.1739
10,38.2759,3.4651
11,38.5326,3.7483
12,38.7963,4.0449
13,39.054,4.3406
14,39.3066,4.6362
15,39.5695,4.9488
16,39.8271,5.2609
17,40.0885,5.5826
18,40.3503,5.9097
19,40.6028,6.2314
20,40.8492,6.5507
21,41.098,6.877
22,41.3517,7.2125
23,41.601,7.5468
24,41.8226,7.8531
25,42.0533,8.1722
26,42.2876,8.4976
27,42.5227,8.8256
28,42.7422,9.1374
29,42.9582,9.4462
30,43.1849,9.7672
31,43.4149,10.0916
32,43.6535,10.4251
33,43.8931,10.7586
34,44.1436,11.1027
35,44.3773,11.426
36,44.6195,11.7564
37,44.8591,12.081
38,45.1037,12.4081
39,45.3441,12.7269
40,45.586,13.0436
41,45.8226,13.3504
42,46.0795,13.6754
43,46.3288,13.9874
44,46.5727,14.2888
45,46.8309,14.6014
46,47.0865,14.9063
47,47.3408,15.2049
48,47.5887,15.4915
49,47.8623,15.8021
50,48.1185,16.0886
51,48.3863,16.3835
52,48.6507,16.6704
53,48.94,16.9809
54,49.2279,17.2861
55,49.5222,17.5949
56,49.7907,17.8716
57,50.0662,18.1532
58,50.3365,18.4266
59,50.6037,18.6945
60,50.8909,18.983
61,51.1821,19.2746
62,51.4609,19.5516
63,51.7205,19.8068
64,52.0088,20.094
65,52.2967,20.3814
66,52.6019,20.6889
67,52.867,20.9529
68,53.1486,21.2372
69,53.4183,21.5103
70,53.7089,21.8092
71,53.9849,22.0947
72,54.2746,22.3987
73,54.539,22.6778
74,54.811,22.9691
75,55.0816,23.2628
76,55.3351,23.5415
77,55.6217,23.8613
78,55.9018,24.1782
79,56.1774,24.4946
80,56.4504,24.8125
81,56.6998,25.1084
82,56.955,25.4152
83,57.217,25.7338
84,57.4495,26.0236
85,57.6924,26.3289
86,57.9627,26.6685
87,58.2151,26.9914
88,58.4773,27.3287
89,58.7083,27.6338
90,58.9471,27.9501
91,59.2012,28.2857
92,59.4475,28.6143
93,59.7,28.9511
94,59.9523,29.2886
95,60.2159,29.6393
96,60.466,29.9748
97,60.7095,30.3025
98,60.9599,30.6371
99,61.1925,30.9505
100,61.439,31.2776
101,61.7127,31.6329
102,61.9577,31.9536
103,62.2015,32.27
104,62.4439,32.5815
105,62.7004,32.905
106,62.9417,33.2077
107,63.198,33.5227
108,63.442,33.8195
109,63.7096,34.138
110,63.9703,34.4438
111,64.2127,34.7242
112,64.4664,35.0119
113,64.7365,35.3128
114,65.0112,35.6137
115,65.2901,35.914
116,65.5407,36.1775
117,65.8208,36.4691
118,66.1035,36.7586
119,66.3784,37.0347
120,66.6767,37.3325
121,66.9622,37.6117
122,67.2547,37.895
123,67.5381,38.1643
124,67.8414,38.4526
125,68.126,38.7171
126,68.4374,39.009
127,68.7578,39.3089
128,69.0597,39.5865
129,69.3575,39.8582
130,69.6335,40.1047
131,69.9255,40.3687
132,70.2351,40.6523
133,70.5349,40.9256
134,70.8204,41.1838
135,71.1256,41.4652
136,71.4104,41.7258
137,71.7111,42.0061
138,72.0291,42.3081
139,72.3135,42.5755
140,72.5864,42.8333
141,72.8703,43.1066
142,73.1458,43.3743
143,73.444,43.6711
144,73.7364,43.9655
145,74.0156,44.2492
146,74.2997,44.5427
147,74.5579,44.8117
148,74.825,45.0951
149,75.0973,45.3884
150,75.374,45.6911
151,75.6532,46.0006
152,75.9136,46.2934
153,76.1757,46.5919
154,76.432,46.8876
155,76.7031,47.2033
