i,x,y
0,2.0,16.0
1,2.4328,15.7768
2,2.8324,15.7374
3,3.2501,15.6983
4,3.634,15.6598
5,4.0305,15.6221
6,4.4257,15.5855
7,4.816,15.5503
8,5.2019,15.5168
9,5.6219,15.4853
10,6.0322,15.4559
11,6.4416,15.429
12,6.8298,15.4047
13,7.2223,15.3832
14,7.6185,15.3648
15,8.0317,15.3496
16,8.4174,15.3377
17,8.8293,15.3293
18,9.2335,15.3244
19,9.6353,15.3232
20,10.0312,15.3256
21,10.4422,15.3317
22,10.8307,15.3415
23,11.2346,15.355
24,11.6215,15.3721
25,11.9941,15.3928
26,12.3964,15.4168
27,12.7989,15.4442
28,13.1948,15.4748
29,13.6085,15.5083
30,14.0115,15.5446
31,14.3913,15.5836
32,14.7811,15.6249
33,15.1828,15.6683
34,15.5707,15.7136
35,15.9566,15.7605
36,16.3303,15.8087
37,16.7422,15.858
38,17.1541,15.908
39,17.5628,15.9584
40,17.9557,16.0089
41,18.3646,16.0593
42,18.7269,16.1092
43,19.1276,16.1583
44,19.5463,16.2063
45,19.9669,16.253
46,20.3538,16.2981
47,20.7346,16.3412
48,21.1367,16.3822
49,21.5332,16.4208
50,21.955,16.4569
51,22.3612,16.4901
52,22.7627,16.5203
53,23.1874,16.5475
54,23.6002,16.5713
55,24.012,16.5917
56,24.3986,16.6087
57,24.8015,16.6221
58,25.2092,16.632
59,25.6138,16.6382
60,26.0035,16.6408
61,26.3987,16.6398
62,26.7798,16.6354
63,27.1706,16.6275
64,27.5529,16.6162
65,27.9388,16.6018
66,28.3237,16.5842
67,28.7105,16.5638
68,29.1012,16.5406
69,29.5032,16.515
70,29.8947,16.487
71,30.3133,16.457
72,30.7126,16.4251
73,31.0807,16.3917
74,31.4722,16.3569
75,31.8754,16.3212
76,32.283,16.2846
77,32.6696,16.2476
78,33.0524,16.2103
79,33.4634,16.1732
80,33.8449,16.1363
81,34.2504,16.1001
82,34.6533,16.0648
83,35.0684,16.0305
84,35.4715,15.9977
85,35.8818,15.9664
86,36.275,15.937
87,36.6895,15.9095
88,37.1067,15.8843
89,37.5231,15.8614
90,37.8302,15.945
91,37.8233,15.6842
92,37.8083,15.2717
93,37.7961,14.8692
94,37.7868,14.4681
95,37.7805,14.0427
96,37.7771,13.6491
97,37.7766,13.2494
98,37.7791,12.8601
99,37.7844,12.4354
100,37.7925,12.0542
101,37.8033,11.6576
102,37.8167,11.2529
103,37.8326,10.8276
104,37.8508,10.435
105,37.8712,10.0373
106,37.8935,9.6291
107,37.9177,9.2384
108,37.9434,8.8159
109,37.9705,8.4221
110,37.9987,8.0279
111,38.0279,7.6296
112,38.0577,7.2531
113,38.088,6.8395
114,38.1185,6.4361
115,38.149,6.0466
116,38.1791,5.6393
117,38.2088,5.2293
118,38.2377,4.8239
119,38.2656,4.4229
120,38.2924,4.0247
121,38.3178,3.6368
122,38.3416,3.2308
123,38.3637,2.841
124,38.3838,2.4626
125,38.4019,2.0228
126,38.4178,1.6483
127,38.4314,1.2565
128,38.4425,0.8869
129,38.4512,0.4805
130,38.2669,0.3796
131,38.3394,0.461
132,38.7315,0.462
133,39.1331,0.4604
134,39.5387,0.4563
135,39.9222,0.4496
136,40.2827,0.4404
137,40.6844,0.4289
138,41.0735,0.415
139,41.4741,0.399
140,41.8737,0.3809
141,42.2432,0.3609
142,42.6382,0.3392
143,43.0573,0.3158
144,43.4657,0.2911
145,43.8713,0.2651
146,44.2854,0.2381
147,44.7134,0.2103
148,45.1251,0.1818
149,45.5199,0.1529
150,45.9047,0.1239
151,46.2914,0.0948
152,46.6958,0.0659
153,47.1079,0.0375
154,47.5192,0.0097
155,47.9038,-0.0174
156,48.2948,-0.0434
157,48.6693,-0.0683
158,49.0806,-0.0919
159,49.4671,-0.114
160,49.8958,-0.1346
161,50.3268,-0.1533
162,50.7314,-0.1703
163,51.1475,-0.1854
164,51.5496,-0.1984
165,51.9344,-0.2094
166,52.326,-0.2183
167,52.7203,-0.2252
168,53.1568,-0.2299
169,53.5471,-0.2325
170,53.9595,-0.2331
171,54.3741,-0.2316
172,54.7686,-0.2282
173,55.1635,-0.223
174,55.5692,-0.2159
175,55.9795,-0.2073
176,56.3948,-0.1971
177,56.7774,-0.1855
178,57.154,-0.1727
179,57.5439,-0.1588
180,57.9462,-0.144
181,58.3298,-0.1284
182,58.7434,-0.1123
183,59.1351,-0.0959
184,59.5318,-0.0792
185,59.9404,-0.0626
186,60.3543,-0.0462
187,60.7506,-0.0301
188,61.1717,-0.0147
189,61.5963,0.0
190,61.9939,0.0138
191,62.3965,0.0266
192,62.8122,0.038
193,63.2315,0.0481
194,63.6331,0.0567
195,64.0401,0.0636
196,64.4384,0.0688
197,64.8547,0.0722
198,65.2443,0.0737
199,65.6444,0.0731
200,66.0409,0.0706
201,66.4238,0.0661
202,66.8352,-0.0799
