i,x,y
0,2.0,16.0
1,2.382,16.4204
2,2.7948,16.4507
3,3.2188,16.4778
4,3.6111,16.5018
5,4.0134,16.5225
6,4.4052,16.5397
7,4.7935,16.5535
8,5.1951,16.5638
9,5.5875,16.5706
10,5.97,16.5739
11,6.3724,16.5737
12,6.7689,16.57
13,7.1595,16.563
14,7.5502,16.5528
15,7.9272,16.5394
16,8.3302,16.5231
17,8.7364,16.504
18,9.1459,16.4822
19,9.5364,16.4579
20,9.9365,16.4315
21,10.3276,16.4029
22,10.7093,16.3726
23,11.1061,16.3407
24,11.5043,16.3075
25,11.9149,16.2732
26,12.3065,16.2381
27,12.7148,16.2023
28,13.1159,16.1662
29,13.502,16.13
30,13.9295,16.094
31,14.3149,16.0582
32,14.7055,16.0231
33,15.1248,15.9887
34,15.523,15.9553
35,15.889,15.923
36,16.2898,15.8921
37,16.7067,15.8626
38,17.1029,15.8348
39,17.4866,15.8087
40,17.8756,15.7844
41,18.2674,15.7621
42,18.6481,15.7418
43,19.0456,15.7235
44,19.4501,15.7073
45,19.8659,15.6933
46,20.2726,15.6813
47,20.6628,15.6714
48,21.0319,15.6636
49,21.4176,15.6578
50,21.8239,15.654
51,22.2298,15.6521
52,22.6222,15.652
53,23.0331,15.6536
54,23.4233,15.6569
55,23.829,15.6616
56,24.238,15.6678
57,24.6428,15.6752
58,25.0431,15.6839
59,25.4472,15.6935
60,25.8255,15.7041
61,26.2374,15.7155
62,26.6252,15.7275
63,27.0311,15.7401
64,27.4137,15.7531
65,27.7967,15.7665
66,28.2208,15.78
67,28.6251,15.7937
68,29.0359,15.8075
69,29.4184,15.8212
70,29.8374,15.8348
71,30.254,15.8482
72,30.6623,15.8615
73,31.0825,15.8744
74,31.4861,15.887
75,31.8971,15.8993
76,32.2886,15.9113
77,32.6827,15.923
78,33.0901,15.9342
79,33.5046,15.9452
80,33.9348,15.9559
81,34.3559,15.9662
82,34.7558,15.9763
83,35.1712,15.9862
84,35.55,15.9959
85,35.9588,16.0054
86,36.3516,16.0149
87,36.7649,16.0243
88,37.1679,16.0337
89,37.5864,16.0431
90,38.0141,16.0603
91,38.0622,15.6177
92,38.0719,15.2223
93,38.0819,14.8302
94,38.092,14.4412
95,38.1023,14.0452
96,38.1128,13.6318
97,38.1235,13.2558
98,38.1345,12.8517
99,38.1456,12.4332
100,38.157,12.0356
101,38.1684,11.6474
102,38.1799,11.2545
103,38.1915,10.8428
104,38.2031,10.4313
105,38.2145,10.0668
106,38.2258,9.6665
107,38.2368,9.2657
108,38.2475,8.8606
109,38.2578,8.4491
110,38.2675,8.0529
111,38.2766,7.6389
112,38.285,7.244
113,38.2924,6.8446
114,38.299,6.4429
115,38.3044,6.0737
116,38.3087,5.6807
117,38.3117,5.2897
118,38.3133,4.8629
119,38.3135,4.4513
120,38.3121,4.0462
121,38.309,3.6348
122,38.3043,3.2667
123,38.2979,2.8605
124,38.2896,2.4672
125,38.2795,2.0818
126,38.2676,1.6759
127,38.2539,1.2854
128,38.2383,0.8921
129,38.2209,0.4982
130,38.083,0.2019
131,38.318,0.1808
132,38.729,0.1583
133,39.1288,0.1342
134,39.5358,0.1087
135,39.9288,0.0819
136,40.3421,0.0538
137,40.74,0.0247
138,41.1498,-0.0053
139,41.5616,-0.036
140,41.9691,-0.0672
141,42.3793,-0.0988
142,42.7845,-0.1306
143,43.1872,-0.1623
144,43.6067,-0.1937
145,44.0325,-0.2246
146,44.4205,-0.2549
147,44.8335,-0.2842
148,45.2509,-0.3124
149,45.6675,-0.3392
150,46.0827,-0.3645
151,46.4946,-0.3881
152,46.8852,-0.4097
153,47.2817,-0.4291
154,47.6995,-0.4463
155,48.101,-0.4611
156,48.5023,-0.4732
157,48.9144,-0.4826
158,49.3125,-0.4892
159,49.6984,-0.4929
160,50.0816,-0.4936
161,50.4696,-0.4913
162,50.8722,-0.4859
163,51.3029,-0.4775
164,51.7291,-0.466
165,52.1222,-0.4515
166,52.5374,-0.434
167,52.9456,-0.4138
168,53.3617,-0.3907
169,53.7616,-0.365
170,54.1533,-0.3369
171,54.5572,-0.3064
172,54.9503,-0.2738
173,55.3683,-0.2392
174,55.7593,-0.2029
175,56.1661,-0.1652
176,56.592,-0.1262
177,57.0044,-0.0862
178,57.4083,-0.0455
179,57.8166,-0.0043
180,58.2122,0.037
181,58.6241,0.0782
182,59.0309,0.1191
183,59.4211,0.1593
184,59.8091,0.1986
185,60.2094,0.2367
186,60.5956,0.2734
187,61.001,0.3083
188,61.3791,0.3413
189,61.7941,0.3721
190,62.1974,0.4006
191,62.6142,0.4265
192,63.0122,0.4496
193,63.4347,0.4698
194,63.8409,0.487
195,64.2238,0.501
196,64.6308,0.5118
197,65.0357,0.5193
198,65.4295,0.5234
199,65.8208,0.5242
200,66.2097,0.5216
201,66.5931,0.5157
202,66.6419,0.3582
203,66.5058,0.406
204,66.5213,0.8182
205,66.5398,1.2074
206,66.561,1.6103
207,66.585,2.0149
208,66.6114,2.3936
209,66.6401,2.7788
210,66.6708,3.1906
211,66.7034,3.5667
212,66.7376,3.9589
213,66.7731,4.3444
214,66.8097,4.7306
215,66.8471,5.1209
216,66.8851,5.5303
217,66.9234,5.9433
218,66.9616,6.3287
219,66.9997,6.7102
220,67.0372,7.1011
221,67.0739,7.4965
222,67.1096,7.8906
223,67.1441,8.2836
224,67.177,8.68
225,67.2083,9.11
226,67.2378,9.5169
227,67.2651,9.9179
228,67.2902,10.309
229,67.313,10.6877
230,67.3333,11.0931
231,67.351,11.4895
232,67.3661,11.8921
233,67.3784,12.2889
234,67.388,12.6869
235,67.3949,13.0752
236,67.3989,13.4509
237,67.4003,13.8195
