i,x,y
0,2.0,16.0
1,2.4038,15.5686
2,2.82,15.5013
3,3.1752,15.4351
4,3.5596,15.3702
5,3.978,15.307
6,4.3519,15.2456
7,4.7919,15.1864
8,5.2574,15.1296
9,5.6488,15.0753
10,6.033,15.0238
11,6.4501,14.9754
12,6.846,14.9301
13,7.2576,14.8882
14,7.6769,14.8499
15,8.1219,14.8153
16,8.4784,14.7846
17,8.8872,14.7578
18,9.312,14.7351
19,9.7465,14.7166
20,10.167,14.7023
21,10.5681,14.6923
22,11.0014,14.6866
23,11.4347,14.6854
24,11.8623,14.6884
25,12.3246,14.6959
26,12.7145,14.7076
27,13.1522,14.7237
28,13.5937,14.7439
29,13.9894,14.7684
30,14.4512,14.7968
31,14.8166,14.8292
32,15.273,14.8654
33,15.6639,14.9052
34,15.9881,14.9486
35,16.3717,14.9954
36,16.7543,15.0453
37,17.1086,15.0981
38,17.5385,15.1538
39,17.896,15.212
40,18.2489,15.2726
41,18.6313,15.3353
42,19.0358,15.3999
43,19.4168,15.4661
44,19.7502,15.5337
45,20.1727,15.6025
46,20.5868,15.6722
47,20.9941,15.7426
48,21.4089,15.8133
49,21.7737,15.8842
50,22.1666,15.9549
51,22.5905,16.0253
52,22.9519,16.0951
53,23.3376,16.1641
54,23.7241,16.2319
55,24.1454,16.2985
56,24.572,16.3635
57,24.9702,16.4268
58,25.4041,16.4881
59,25.8014,16.5473
60,26.2354,16.6041
61,26.6419,16.6584
62,27.031,16.7101
63,27.3798,16.759
64,27.7674,16.8049
65,28.1804,16.8477
66,28.554,16.8874
67,28.9231,16.9237
68,29.2737,16.9568
69,29.693,16.9864
70,30.0304,17.0125
71,30.4129,17.0351
72,30.8216,17.0542
73,31.1588,17.0697
74,31.6008,17.0817
75,31.9568,17.0902
76,32.4008,17.0953
77,32.7673,17.0968
78,33.1073,17.0951
79,33.4773,17.09
80,33.9397,17.0817
81,34.2965,17.0703
82,34.7091,17.056
83,35.0972,17.0387
84,35.4944,17.0187
85,35.8515,16.9961
86,36.2478,16.971
87,36.6496,16.9437
88,37.0873,16.9141
89,37.4818,16.8827
