i,x,y
0,2.0,16.0
1,2.3992,16.2008
2,2.7937,16.1978
3,3.1832,16.1931
4,3.5818,16.1868
5,3.9741,16.1789
6,4.3743,16.1694
7,4.7683,16.1584
8,5.1759,16.1459
9,5.5663,16.1322
10,5.9656,16.1172
11,6.3698,16.1011
12,6.7764,16.0841
13,7.1744,16.0661
14,7.5769,16.0475
15,7.9659,16.0284
16,8.369,16.0088
17,8.7698,15.9891
18,9.171,15.9692
19,9.559,15.9495
20,9.9622,15.93
21,10.3674,15.911
22,10.7631,15.8925
23,11.1612,15.8748
24,11.5476,15.858
25,11.9468,15.8422
26,12.3373,15.8275
27,12.7416,15.8142
28,13.1517,15.8022
29,13.5518,15.7918
30,13.9547,15.7829
31,14.3588,15.7757
32,14.7427,15.7701
33,15.1341,15.7663
34,15.5401,15.7643
35,15.9373,15.764
36,16.3436,15.7656
37,16.7503,15.7688
38,17.1539,15.7738
39,17.5592,15.7804
40,17.9679,15.7886
41,18.3714,15.7983
42,18.7752,15.8093
43,19.1801,15.8217
44,19.583,15.8352
45,19.9773,15.8498
46,20.3842,15.8653
47,20.772,15.8815
48,21.1666,15.8983
49,21.5727,15.9155
50,21.9669,15.9329
51,22.3715,15.9505
52,22.782,15.968
53,23.1661,15.9853
54,23.5769,16.0021
55,23.9845,16.0184
56,24.3941,16.034
57,24.7909,16.0487
58,25.1934,16.0624
59,25.5873,16.075
60,25.993,16.0864
61,26.4045,16.0964
62,26.7911,16.105
63,27.1843,16.1121
64,27.5845,16.1175
65,27.9903,16.1214
66,28.3853,16.1236
67,28.7835,16.1242
68,29.1859,16.123
69,29.5833,16.1203
70,29.9689,16.1159
71,30.3666,16.1099
72,30.7656,16.1025
73,31.1658,16.0936
74,31.5673,16.0834
75,31.9749,16.072
76,32.3738,16.0594
77,32.7735,16.0459
78,33.1754,16.0316
79,33.5788,16.0166
80,33.9662,16.0011
81,34.369,15.9852
82,34.7771,15.9691
83,35.1917,15.953
84,35.5977,15.937
85,35.9961,15.9213
86,36.3887,15.9061
87,36.7779,15.8916
88,37.1778,15.8778
89,37.5797,15.865
90,37.8865,15.9061
91,37.8428,15.6181
92,37.8336,15.2092
93,37.8259,14.8162
94,37.8197,14.429
95,37.8151,14.0364
96,37.8123,13.646
97,37.8112,13.243
98,37.8118,12.8447
99,37.8142,12.4446
100,37.8185,12.0571
101,37.8245,11.6484
102,37.8322,11.252
103,37.8417,10.8584
104,37.8528,10.4569
105,37.8654,10.0718
106,37.8795,9.6714
107,37.8949,9.2828
108,37.9115,8.878
109,37.9292,8.4722
110,37.9479,8.0561
111,37.9673,7.6591
112,37.9874,7.2472
113,38.0079,6.8459
114,38.0286,6.4399
115,38.0495,6.0386
116,38.0703,5.6422
117,38.0909,5.2429
118,38.1109,4.8377
119,38.1304,4.4358
120,38.1491,4.0325
121,38.1669,3.6431
122,38.1836,3.2469
123,38.199,2.855
124,38.213,2.4576
125,38.2256,2.0648
126,38.2365,1.6722
127,38.2458,1.2746
128,38.2532,0.8776
129,38.2588,0.4676
130,38.1362,0.2347
131,38.3307,0.2644
132,38.7426,0.2642
133,39.1533,0.2622
134,39.5568,0.2582
135,39.9619,0.2524
136,40.3637,0.2447
137,40.7436,0.2354
138,41.1533,0.2244
139,41.5445,0.2118
140,41.9413,0.1978
141,42.3523,0.1825
142,42.7479,0.166
143,43.1394,0.1486
144,43.5578,0.1303
145,43.9691,0.1113
146,44.3507,0.0918
147,44.75,0.072
148,45.158,0.052
149,45.5834,0.0321
150,45.9915,0.0124
151,46.3799,-0.0069
152,46.785,-0.0257
153,47.1789,-0.0437
154,47.5955,-0.0608
155,48.0007,-0.0769
156,48.4002,-0.0917
157,48.8125,-0.1053
158,49.22,-0.1174
159,49.6296,-0.128
160,50.0226,-0.137
161,50.4353,-0.1443
162,50.8321,-0.1498
163,51.2384,-0.1535
164,51.6469,-0.1555
165,52.0566,-0.1556
166,52.4558,-0.1539
167,52.8671,-0.1504
168,53.2721,-0.1452
169,53.6665,-0.1384
170,54.0615,-0.13
171,54.462,-0.1201
172,54.8679,-0.1088
173,55.2647,-0.0963
174,55.6629,-0.0827
175,56.0838,-0.0681
176,56.4943,-0.0528
177,56.9003,-0.0367
178,57.3011,-0.0202
179,57.7034,-0.0035
180,58.1172,0.0135
181,58.5146,0.0303
182,58.9315,0.0469
183,59.33,0.0631
184,59.7397,0.0787
185,60.158,0.0936
186,60.5633,0.1075
187,60.9543,0.1203
188,61.3673,0.132
189,61.7746,0.1423
190,62.1795,0.1511
191,62.6003,0.1584
192,63.0064,0.164
193,63.4203,0.1678
194,63.8218,0.1699
195,64.2312,0.1702
196,64.6356,0.1686
197,65.0499,0.1651
198,65.4545,0.1598
199,65.8528,0.1527
200,66.2468,0.1439
201,66.6575,0.1333
202,66.9508,0.1218
203,66.8926,0.4457
204,66.9077,0.8424
205,66.9241,1.2389
206,66.9417,1.646
207,66.9602,2.0374
208,66.9796,2.4314
209,66.9996,2.8294
210,67.0202,3.226
211,67.041,3.629
212,67.062,4.0265
213,67.0829,4.4168
214,67.1035,4.8126
215,67.1237,5.2096
216,67.1433,5.5999
217,67.1621,6.0051
218,67.18,6.398
219,67.1967,6.7973
220,67.2121,7.2079
221,67.2261,7.6106
222,67.2386,8.0116
223,67.2494,8.4131
224,67.2584,8.8139
225,67.2656,9.2226
226,67.2709,9.6151
227,67.2742,10.004
228,67.2755,10.4072
229,67.2748,10.8195
230,67.272,11.2142
231,67.2673,11.6079
232,67.2607,11.9992
233,67.2521,12.4025
234,67.2417,12.8016
235,67.2296,13.207
236,67.2159,13.6066
237,67.2006,14.0007
238,67.184,14.4006
239,67.1662,14.8118
240,67.1473,15.206
241,67.1275,15.604
242,67.107,15.9954
243,67.0859,16.3945
244,67.0645,16.792
245,67.0429,17.1962
246,67.0213,17.5863
247,67.0,17.9895
248,66.979,18.3795
249,66.9586,18.7815
250,66.939,19.1815
251,66.9202,19.5789
252,66.9026,19.9786
253,66.8862,20.3795
254,66.8711,20.7759
255,66.8576,21.1677
256,66.8456,21.5747
257,66.8353,21.9874
258,66.8268,22.39
259,66.8202,22.7852
260,66.8154,23.1744
261,66.8125,23.5771
262,66.8115,23.9697
263,66.8124,24.368
264,66.8152,24.7787
265,66.8198,25.1788
266,66.8262,25.5811
267,66.8342,25.9943
268,66.8439,26.3817
269,66.855,26.7807
270,66.8674,27.1829
271,66.8811,27.5799
272,66.8958,27.9753
273,66.9114,28.368
274,66.9278,28.7638
275,66.9447,29.1604
276,66.962,29.5599
277,66.9795,29.9638
278,66.997,30.3669
279,67.0143,30.7552
280,67.0313,31.1494
281,67.0477,31.5519
282,67.0814,32.0086
283,66.6531,32.0784
284,66.2523,32.0922
285,65.8525,32.1049
286,65.4466,32.1162
287,65.0444,32.1261
288,64.639,32.1345
289,64.2425,32.1412
290,63.8451,32.1462
291,63.4395,32.1495
292,63.0344,32.1509
293,62.6321,32.1504
294,62.22,32.1481
295,61.8151,32.1439
296,61.4072,32.1379
297,60.9995,32.1301
298,60.5923,32.1206
299,60.1783,32.1095
300,59.7924,32.0968
301,59.3884,32.0826
302,58.9989,32.0672
303,58.5944,32.0506
304,58.1895,32.033
305,57.8022,32.0145
306,57.3944,31.9953
307,56.9771,31.9756
308,56.5656,31.9555
309,56.1571,31.9353
310,55.7509,31.9152
311,55.3645,31.8953
312,54.9715,31.8757
313,54.576,31.8568
314,54.1766,31.8387
315,53.7734,31.8215
316,53.3736,31.8054
317,52.9819,31.7906
318,52.5686,31.7771
319,52.1698,31.7653
320,51.7664,31.755
321,51.3564,31.7466
322,50.9472,31.74
323,50.5388,31.7353
324,50.1309,31.7325
325,49.7069,31.7318
326,49.3027,31.7331
327,48.8975,31.7364
328,48.4919,31.7417
329,48.0788,31.7489
330,47.6769,31.7581
331,47.283,31.769
332,46.877,31.7818
333,46.477,31.7961
334,46.0789,31.812
335,45.6739,31.8292
336,45.2802,31.8477
337,44.8696,31.8672
338,44.4693,31.8877
339,44.0644,31.9089
340,43.6609,31.9306
341,43.2576,31.9527
342,42.8534,31.975
343,42.4563,31.9973
344,42.0436,32.0194
345,41.6414,32.041
346,41.2398,32.0621
347,40.8419,32.0825
348,40.4426,32.1019
349,40.0294,32.1202
350,39.621,32.1373
351,39.2185,32.153
352,38.8174,32.1672
353,38.4129,32.1798
354,37.8687,32.1383
355,37.8002,31.5986
356,37.793,31.2052
357,37.7876,30.7963
358,37.7842,30.3827
359,37.7828,29.9882
360,37.7832,29.5885
361,37.7856,29.1833
362,37.7899,28.7993
363,37.7959,28.3996
364,37.8037,27.9853
365,37.8131,27.5848
366,37.824,27.182
367,37.8363,26.785
368,37.8499,26.3918
369,37.8647,25.9853
370,37.8803,25.5779
371,37.8968,25.1763
372,37.9139,24.7649
373,37.9315,24.3586
374,37.9493,23.9439
375,37.9672,23.5509
376,37.985,23.1448
377,38.0025,22.7458
378,38.0195,22.3449
379,38.036,21.9456
380,38.0516,21.5415
381,38.0662,21.1464
382,38.0798,20.7464
383,38.0921,20.3464
384,38.103,19.9329
385,38.1125,19.5326
386,38.1203,19.1388
387,38.1266,18.7312
388,38.131,18.3339
389,38.1337,17.931
390,38.1346,17.5162
391,38.1337,17.123
392,38.131,16.7373
393,38.1265,16.3365
394,38.1278,16.042
395,38.4578,16.1122
396,38.8568,16.1027
397,39.2434,16.0916
398,39.6398,16.079
399,40.0266,16.0652
400,40.4039,16.0502
401,40.7965,16.0341
402,41.1967,16.0172
403,41.5864,15.9996
404,41.9919,15.9815
405,42.3887,15.9629
406,42.7851,15.9442
407,43.1851,15.9255
408,43.5923,15.907
409,43.9979,15.8888
410,44.4103,15.8712
411,44.8068,15.8542
412,45.199,15.8382
413,45.6048,15.8232
414,46.0045,15.8094
415,46.4072,15.7969
416,46.8093,15.786
417,47.2287,15.7765
418,47.6141,15.7688
419,48.0103,15.7628
420,48.4094,15.7587
421,48.809,15.7564
422,49.2018,15.7561
423,49.5949,15.7577
424,49.9822,15.7613
425,50.3784,15.7668
426,50.7622,15.7741
427,51.1646,15.7834
428,51.5625,15.7943
429,51.9544,15.807
430,52.3428,15.8212
431,52.7357,15.8369
432,53.1281,15.8539
433,53.5134,15.8722
434,53.9152,15.8914
435,54.3064,15.9116
436,54.6951,15.9324
437,55.0985,15.9538
438,55.4848,15.9756
439,55.8689,15.9975
440,56.2651,16.0194
441,56.6698,16.0411
442,57.0807,16.0625
443,57.4758,16.0832
444,57.8654,16.1033
445,58.2747,16.1224
446,58.6803,16.1405
447,59.0836,16.1574
448,59.4761,16.1729
449,59.8633,16.187
450,60.2631,16.1995
451,60.6544,16.2103
452,61.052,16.2194
453,61.4604,16.2267
454,61.8588,16.2321
455,62.2436,16.2356
456,62.645,16.2372
457,63.0402,16.2368
458,63.4399,16.2347
459,63.8296,16.2306
460,64.2384,16.2248
461,64.6373,16.2173
462,65.0206,16.2081
463,65.4052,16.1975
464,65.811,16.1854
465,66.2221,16.172
466,66.6284,16.1575
467,67.0313,16.142
468,67.4322,16.1257
469,67.8437,16.1087
470,68.2486,16.0913
471,68.6505,16.0735
472,69.0608,16.0555
473,69.459,16.0376
474,69.8541,16.0199
475,70.2578,16.0026
476,70.6483,15.9858
477,71.0484,15.9697
478,71.4416,15.9545
479,71.8291,15.9403
480,72.2172,15.9272
481,72.6137,15.9154
482,73.0152,15.905
483,73.4067,15.8961
484,73.8113,15.8887
485,74.2105,15.8829
486,74.6032,15.8788
487,74.9975,15.8765
488,75.402,15.8758
489,75.7917,15.8769
490,76.1937,15.8796
491,76.598,15.8841
492,77.0,16.0
