i,x,y
0,2.0,16.0
1,2.4002,15.8624
2,2.8144,15.8814
3,3.2385,15.9025
4,3.64,15.9259
5,4.0574,15.9514
6,4.4878,15.979
7,4.8687,16.0084
8,5.2657,16.0397
9,5.6563,16.0726
10,6.0575,16.1069
11,6.4645,16.1424
12,6.8717,16.1789
13,7.2595,16.2162
14,7.6825,16.254
15,8.0766,16.292
16,8.4505,16.33
17,8.8301,16.3676
18,9.2105,16.4047
19,9.6232,16.4408
20,10.0209,16.4759
21,10.4275,16.5094
22,10.8241,16.5413
23,11.2276,16.5712
24,11.6356,16.5989
25,12.0386,16.6242
26,12.4048,16.6469
27,12.7681,16.6667
28,13.1585,16.6835
29,13.5861,16.6971
30,14.0153,16.7075
31,14.4033,16.7144
32,14.8426,16.718
33,15.2218,16.718
34,15.6339,16.7146
35,16.0459,16.7077
36,16.4395,16.6973
37,16.8258,16.6835
38,17.2408,16.6664
39,17.6585,16.6462
40,18.04,16.6229
41,18.422,16.5968
42,18.8425,16.568
43,19.2599,16.5367
44,19.6737,16.5031
45,20.0455,16.4675
46,20.4353,16.4302
47,20.8499,16.3913
48,21.2528,16.3512
49,21.6869,16.3102
50,22.0757,16.2684
51,22.485,16.2263
52,22.887,16.184
53,23.3017,16.1418
54,23.7065,16.1
55,24.0909,16.0588
56,24.4717,16.0185
57,24.8739,15.9794
58,25.264,15.9415
59,25.6471,15.9052
60,26.0454,15.8705
61,26.4768,15.8376
62,26.8763,15.8068
63,27.3026,15.778
64,27.7144,15.7513
65,28.1086,15.7269
66,28.5118,15.7048
67,28.8897,15.685
68,29.2644,15.6674
69,29.6716,15.6521
70,30.0525,15.6391
71,30.4646,15.6282
72,30.8418,15.6194
73,31.224,15.6125
74,31.6168,15.6076
75,32.0306,15.6043
76,32.4389,15.6027
77,32.8144,15.6025
78,33.2158,15.6036
79,33.6119,15.6058
80,34.0154,15.609
81,34.4173,15.613
82,34.793,15.6176
83,35.1995,15.6227
84,35.571,15.6281
85,35.9908,15.6336
86,36.424,15.6392
87,36.8421,15.6446
88,37.2015,15.6498
89,37.5905,15.6547
90,37.7526,15.7653
91,37.6631,15.614
92,37.6664,15.2268
93,37.6691,14.8398
94,37.6712,14.4563
95,37.6726,14.0387
96,37.6734,13.6334
97,37.6735,13.2305
98,37.673,12.8287
99,37.672,12.41
100,37.6705,12.0025
101,37.6687,11.5946
102,37.6666,11.2177
103,37.6643,10.8106
104,37.6619,10.4175
105,37.6596,10.044
106,37.6575,9.6606
107,37.6557,9.2426
108,37.6544,8.8526
109,37.6538,8.4128
110,37.6538,8.0263
111,37.6548,7.6203
112,37.6568,7.2271
113,37.66,6.8409
114,37.6644,6.4186
115,37.6702,5.9987
116,37.6775,5.6007
117,37.6863,5.2032
118,37.6968,4.8147
119,37.709,4.3767
120,37.7229,3.9538
121,37.7385,3.5719
122,37.7559,3.1446
123,37.775,2.7843
124,37.7959,2.4045
125,37.8184,2.0003
126,37.8425,1.6021
127,37.8681,1.1975
128,37.8952,0.8238
129,37.9236,0.4482
130,37.9231,0.0103
131,38.3289,-0.0162
132,38.7251,0.0153
133,39.108,0.0475
134,39.4982,0.0803
135,39.8971,0.1134
136,40.3377,0.1467
137,40.7246,0.18
138,41.0985,0.2132
139,41.4909,0.2459
140,41.9128,0.278
141,42.3123,0.3093
142,42.7328,0.3397
143,43.1366,0.3689
144,43.5039,0.3968
145,43.8998,0.4232
146,44.3018,0.448
147,44.7167,0.471
148,45.1019,0.492
149,45.4619,0.5111
150,45.8459,0.5281
151,46.2501,0.5428
152,46.6712,0.5554
153,47.0714,0.5656
154,47.4835,0.5734
155,47.8835,0.579
156,48.2666,0.5822
157,48.6564,0.583
158,49.0778,0.5816
159,49.4897,0.578
160,49.8716,0.5722
161,50.2462,0.5643
162,50.6484,0.5545
163,51.0261,0.5428
164,51.4266,0.5293
165,51.8366,0.5141
166,52.234,0.4975
167,52.6284,0.4795
168,53.0195,0.4602
169,53.4128,0.4399
170,53.8433,0.4186
171,54.26,0.3966
172,54.6704,0.3739
173,55.0544,0.3507
174,55.4706,0.3271
175,55.8747,0.3034
176,56.2891,0.2795
177,56.7,0.2556
178,57.1021,0.2318
179,57.5371,0.2083
180,57.9122,0.185
181,58.3223,0.1622
182,58.7256,0.1398
183,59.1053,0.1179
184,59.518,0.0965
185,59.9097,0.0758
186,60.3019,0.0556
187,60.7334,0.0361
188,61.1719,0.0173
189,61.5698,-0.001
190,61.9769,-0.0187
191,62.3954,-0.0357
192,62.7627,-0.0522
193,63.1346,-0.0683
194,63.5345,-0.0838
195,63.9272,-0.0989
196,64.3162,-0.1136
197,64.7302,-0.128
198,65.1173,-0.1421
199,65.5372,-0.156
200,65.9397,-0.1697
201,66.3318,-0.1833
202,66.9345,-0.3423
203,67.2101,0.092
204,67.2234,0.4585
205,67.2368,0.8617
206,67.2501,1.2702
207,67.2634,1.6727
208,67.2768,2.0759
209,67.2901,2.4748
210,67.3034,2.8732
211,67.3166,3.2944
212,67.3298,3.6997
213,67.3428,4.1212
214,67.3556,4.5501
215,67.3682,4.9573
216,67.3804,5.3419
217,67.3923,5.7197
218,67.4037,6.1477
219,67.4145,6.5508
220,67.4247,6.9663
221,67.4341,7.3807
222,67.4427,7.7912
223,67.4504,8.1886
224,67.457,8.5769
225,67.4626,9.0005
226,67.4669,9.4047
227,67.47,9.8445
228,67.4717,10.2414
229,67.472,10.6271
230,67.4709,11.0135
231,67.4681,11.4041
