i,x,y
0,2.0,16.0
1,2.4121,16.0682
2,2.7793,16.0921
3,3.1809,16.1158
4,3.5789,16.139
5,3.9815,16.1615
6,4.383,16.183
7,4.7627,16.2033
8,5.1765,16.2222
9,5.5792,16.2394
10,5.9721,16.2548
11,6.3744,16.2682
12,6.7721,16.2794
13,7.1784,16.2882
14,7.5839,16.2946
15,7.9707,16.2984
16,8.3625,16.2995
17,8.7963,16.2979
18,9.2047,16.2936
19,9.6145,16.2865
20,10.0411,16.2766
21,10.4364,16.2641
22,10.8327,16.249
23,11.2561,16.2314
24,11.6428,16.2114
25,12.0435,16.1892
26,12.44,16.165
27,12.8315,16.1389
28,13.213,16.1112
29,13.5802,16.0822
30,14.0012,16.052
31,14.408,16.0209
32,14.7861,15.9893
33,15.1808,15.9574
34,15.5674,15.9254
35,15.9749,15.8938
36,16.3766,15.8627
37,16.7835,15.8325
38,17.1925,15.8034
39,17.597,15.7758
40,18.0013,15.7499
41,18.4237,15.7259
42,18.8322,15.704
43,19.2144,15.6846
44,19.6151,15.6677
45,19.9954,15.6536
46,20.3988,15.6424
47,20.7801,15.6342
48,21.1676,15.6291
49,21.5641,15.6272
50,21.9644,15.6284
51,22.3629,15.6329
52,22.7709,15.6406
53,23.1727,15.6513
54,23.5704,15.6651
55,23.9641,15.6818
56,24.3547,15.7013
57,24.7253,15.7234
58,25.1236,15.748
59,25.5164,15.7747
60,25.9103,15.8034
61,26.2694,15.8339
62,26.6705,15.8658
63,27.0963,15.8989
64,27.4973,15.9329
65,27.9222,15.9675
66,28.3347,16.0023
67,28.7301,16.0372
68,29.1389,16.0717
69,29.5501,16.1056
70,29.9384,16.1385
71,30.3195,16.1703
72,30.6874,16.2006
73,31.0826,16.2292
74,31.4895,16.2557
75,31.88,16.2801
76,32.2697,16.3021
77,32.6745,16.3215
78,33.0606,16.3381
79,33.4422,16.3519
80,33.8338,16.3628
81,34.2116,16.3706
82,34.6013,16.3752
83,34.997,16.3768
84,35.4063,16.3753
85,35.7937,16.3707
86,36.2156,16.3632
87,36.6083,16.3527
88,36.986,16.3394
89,37.3848,16.3235
90,38.0607,16.3708
91,38.2844,15.8058
92,38.2616,15.4288
93,38.2369,15.0282
94,38.2105,14.6103
95,38.1827,14.2087
96,38.1538,13.812
97,38.1239,13.4089
98,38.0934,13.0433
99,38.0626,12.6498
100,38.0316,12.2525
101,38.0008,11.8435
102,37.9703,11.4464
103,37.9406,11.0483
104,37.9117,10.6419
105,37.884,10.2557
106,37.8575,9.87
107,37.8326,9.4467
108,37.8094,9.0427
109,37.7881,8.642
110,37.7688,8.2473
111,37.7516,7.8406
112,37.7366,7.4271
113,37.7239,6.9963
114,37.7135,6.5736
115,37.7055,6.1627
116,37.7,5.7503
117,37.6967,5.3507
118,37.6959,4.9632
119,37.6973,4.5616
120,37.7009,4.1476
121,37.7067,3.744
122,37.7145,3.3563
123,37.7242,2.947
124,37.7356,2.548
125,37.7487,2.1453
126,37.7633,1.7383
127,37.7791,1.3282
128,37.7961,0.9265
129,37.8141,0.5234
130,37.7898,-0.0267
131,38.2849,-0.1477
132,38.6719,-0.1278
133,39.0739,-0.1077
134,39.4852,-0.0875
135,39.8938,-0.0672
136,40.3175,-0.0472
137,40.7071,-0.0275
138,41.097,-0.0083
139,41.494,0.0103
140,41.9027,0.0283
141,42.315,0.0454
142,42.7423,0.0617
143,43.1567,0.077
144,43.5648,0.0913
145,43.9908,0.1046
146,44.3649,0.1167
147,44.7708,0.1278
148,45.1886,0.1378
149,45.5777,0.1466
150,45.9868,0.1544
151,46.3751,0.161
152,46.7459,0.1667
153,47.1476,0.1713
154,47.544,0.1749
155,47.9465,0.1777
156,48.345,0.1795
157,48.7617,0.1806
158,49.1305,0.1809
159,49.567,0.1805
160,49.9718,0.1795
161,50.3998,0.1779
162,50.7855,0.1758
163,51.1865,0.1732
164,51.6121,0.1702
165,52.022,0.1667
166,52.3864,0.1629
167,52.778,0.1588
168,53.164,0.1544
169,53.5556,0.1496
170,53.9676,0.1446
171,54.3938,0.1393
172,54.8031,0.1337
173,55.2214,0.1278
174,55.6246,0.1216
175,56.0296,0.115
176,56.4343,0.1082
177,56.8624,0.1009
178,57.2473,0.0932
179,57.6439,0.0851
180,58.0603,0.0766
181,58.4842,0.0675
182,58.9017,0.058
183,59.3252,0.0479
184,59.7192,0.0373
185,60.139,0.0262
186,60.5419,0.0145
187,60.954,0.0022
188,61.3425,-0.0105
189,61.7713,-0.0238
190,62.1817,-0.0376
191,62.584,-0.0519
192,62.9526,-0.0665
193,63.3431,-0.0814
194,63.7279,-0.0967
195,64.1292,-0.112
196,64.5345,-0.1275
197,64.9419,-0.143
198,65.3343,-0.1583
199,65.7456,-0.1734
200,66.1483,-0.1882
201,66.5353,-0.2024
202,67.0877,-0.2173
203,67.2288,0.3184
204,67.2407,0.6993
205,67.2515,1.087
206,67.2611,1.4928
207,67.2694,1.8948
208,67.2762,2.2879
209,67.2814,2.7028
210,67.2849,3.0828
211,67.2865,3.4863
212,67.2862,3.8872
213,67.2839,4.2721
214,67.2794,4.6538
215,67.2729,5.0635
216,67.2641,5.4609
217,67.2531,5.8574
218,67.24,6.252
219,67.2246,6.6527
220,67.2071,7.0663
221,67.1875,7.4446
222,67.1659,7.8422
223,67.1423,8.2492
224,67.1171,8.6435
225,67.0902,9.0418
226,67.0618,9.431
227,67.0322,9.8312
228,67.0014,10.2338
229,66.9699,10.6374
230,66.9377,11.0204
231,66.9051,11.4097
232,66.8725,11.7944
233,66.84,12.1749
234,66.8079,12.5794
235,66.7765,12.9474
236,66.7461,13.3587
237,66.7169,13.7299
238,66.6893,14.12
239,66.6635,14.53
240,66.6397,14.9251
241,66.6183,15.329
242,66.5993,15.7364
243,66.5832,16.137
244,66.5699,16.5357
245,66.5598,16.9383
246,66.5529,17.3285
247,66.5494,17.7607
248,66.5494,18.1696
249,66.553,18.591
250,66.5602,18.9981
251,66.5709,19.3862
252,66.5852,19.7933
253,66.6031,20.201
254,66.6244,20.601
255,66.6489,21.0081
256,66.6767,21.4046
257,66.7074,21.824
258,66.7409,22.2202
259,66.777,22.6101
260,66.8153,22.9974
261,66.8556,23.4031
262,66.8976,23.7749
263,66.941,24.1586
264,66.9853,24.5329
265,67.0303,24.944
266,67.0757,25.3566
267,67.1209,25.7283
268,67.1657,26.1172
269,67.2096,26.5249
270,67.2523,26.9201
271,67.2935,27.3097
272,67.3327,27.707
273,67.3696,28.1079
274,67.404,28.5085
275,67.4354,28.9272
276,67.4636,29.3247
277,67.4884,29.733
278,67.5094,30.1475
279,67.5266,30.5517
280,67.5396,30.9611
281,67.5485,31.3507
282,67.5574,32.2259
283,66.8307,32.5532
284,66.4287,32.549
285,66.0155,32.5403
286,65.5953,32.5273
287,65.1965,32.51
288,64.7839,32.4886
289,64.4207,32.4632
290,64.0409,32.434
291,63.6323,32.4012
292,63.2117,32.3651
293,62.8206,32.326
294,62.4355,32.2841
295,62.0393,32.2399
296,61.6315,32.1936
297,61.227,32.1457
298,60.8449,32.0965
299,60.4289,32.0465
300,60.0423,31.9961
301,59.6332,31.9456
302,59.2265,31.8955
303,58.8278,31.8462
304,58.4537,31.798
305,58.0418,31.7515
