i,x,y
0,0.0,56.0
1,0.4,56.0
2,0.8,56.0
3,1.2,56.0
4,1.6,56.0
5,2.0,56.0
6,2.4,56.0
7,2.8,56.0
8,3.2,56.0
9,3.6,56.0
10,4.0,56.0
11,4.4,56.0
12,4.8,56.0
13,5.2,56.0
14,5.6,56.0
15,6.0,56.0
16,6.4,56.0
17,6.8,56.0
18,7.2,56.0
19,7.6,56.0
20,8.0,56.0
21,8.4,56.0
22,8.8,56.0
23,9.2,56.0
24,9.6,56.0
25,10.0,56.0
26,10.4,56.0
27,10.8,56.0
28,11.2,56.0
29,11.6,56.0
30,12.0,56.0
31,12.4,56.0
32,12.8,56.0
33,13.2,56.0
34,13.6,56.0
35,14.0,56.0
36,14.4,56.0
37,14.8,56.0
38,15.2,56.0
39,15.6,56.0
40,16.0,56.0
41,16.4,56.0
42,16.8,56.0
43,17.2,56.0
44,17.6,56.0
45,18.0,56.0
46,18.4,56.0
47,18.8,56.0
48,19.2,56.0
49,19.6,56.0
50,20.0,56.0
51,20.4,56.0
52,20.8,56.0
53,21.2,56.0
54,21.6,56.0
55,22.0,56.0
56,22.4,56.0
57,22.8,56.0
58,23.2,56.0
59,23.6,56.0
60,24.0,56.0
61,24.4,56.0
62,24.8,56.0
63,25.2,56.0
64,25.6,56.0
65,26.0,56.0
66,26.4,56.0
67,26.8,56.0
68,27.2,56.0
69,27.6,56.0
70,28.0,56.0
71,28.4,56.0
72,28.8,56.0
73,29.2,56.0
74,29.6,56.0
75,30.0,56.0
76,30.4,56.0
77,30.8,56.0
78,31.2,56.0
79,31.6,56.0
80,32.0,56.0
81,32.4,56.0
82,32.8,56.0
83,33.2,56.0
84,33.6,56.0
85,34.0,56.0
86,34.4,56.0
87,34.8,56.0
88,35.2,56.0
89,35.6,56.0
90,36.0,56.0
91,36.4,56.0
92,36.8,56.0
93,37.2,56.0
94,37.6,56.0
95,38.0,56.0
96,38.4,56.0
97,38.8,56.0
98,39.2,56.0
99,39.6,56.0
100,40.0,56.0
101,40.4,56.0
102,40.8,56.0
103,41.2,56.0
104,41.6,56.0
105,42.0,56.0
106,42.4,56.0
107,42.8,56.0
108,43.2,56.0
109,43.6,56.0
110,44.0,56.0
111,44.4,56.0
112,44.8,56.0
113,45.2,56.0
114,45.6,56.0
115,46.0,56.0
116,46.4,56.0
117,46.8,56.0
118,47.2,56.0
119,47.6,56.0
120,48.0,56.0
121,48.4,56.0
122,48.8,56.0
123,49.2,56.0
124,49.6,56.0
125,50.0,56.0
126,50.4,56.0
127,50.8,56.0
128,51.2,56.0
129,51.6,56.0
130,52.0,56.0
131,52.4,56.0
132,52.8,56.0
133,53.2,56.0
134,53.6,56.0
135,54.0,56.0
136,54.4,56.0
137,54.8,56.0
138,55.2,56.0
139,55.6,56.0
140,56.0,56.0
141,56.4,56.0
142,56.8,56.0
143,57.2,56.0
144,57.6,56.0
145,58.0,56.0
146,58.4,56.0
147,58.8,56.0
148,59.2,56.0
149,59.6,56.0
150,60.0,56.0
151,60.0,55.6
152,60.0,55.2
153,60.0,54.8
154,60.0,54.4
155,60.0,54.0
156,60.0,53.6
157,60.0,53.2
158,60.0,52.8
159,60.0,52.4
160,60.0,52.0
161,60.0,51.6
162,60.0,51.2
163,60.0,50.8
164,60.0,50.4
165,60.0,50.0
166,60.0,49.6
167,60.0,49.2
168,60.0,48.8
169,60.0,48.4
170,60.0,48.0
171,60.0,47.6
172,60.0,47.2
173,60.0,46.8
174,60.0,46.4
175,60.0,46.0
176,60.0,45.6
177,60.0,45.2
178,60.0,44.8
179,60.0,44.4
180,60.0,44.0
181,60.0,43.6
182,60.0,43.2
183,60.0,42.8
184,60.0,42.4
185,60.0,42.0
186,60.0,41.6
187,60.0,41.2
188,60.0,40.8
189,60.0,40.4
190,60.0,40.0
191,60.0,39.6
192,60.0,39.2
193,60.0,38.8
194,60.0,38.4
195,60.0,38.0
196,60.0,37.6
197,60.0,37.2
198,60.0,36.8
199,60.0,36.4
200,60.0,36.0
201,60.0,35.6
202,60.0,35.2
203,60.0,34.8
204,60.0,34.4
205,60.0,34.0
206,60.0,33.6
207,60.0,33.2
208,60.0,32.8
209,60.0,32.4
210,60.0,32.0
211,60.0,31.6
212,60.0,31.2
213,60.0,30.8
214,60.0,30.4
215,60.0,30.0
216,60.0,29.6
217,60.0,29.2
218,60.0,28.8
219,60.0,28.4
220,60.0,28.0
221,60.0,27.6
222,60.0,27.2
223,60.0,26.8
224,60.0,26.4
225,60.0,26.0
226,60.0,25.6
227,60.0,25.2
228,60.0,24.8
229,60.0,24.4
230,60.0,24.0
231,60.0,23.6
232,60.0,23.2
233,60.0,22.8
234,60.0,22.4
235,60.0,22.0
236,60.0,21.6
237,60.0,21.2
238,60.0,20.8
239,60.0,20.4
240,60.0,20.0
241,60.0,19.6
242,60.0,19.2
243,60.0,18.8
244,60.0,18.4
245,60.0,18.0
246,60.0,17.6
247,60.0,17.2
248,60.0,16.8
249,60.0,16.4
250,60.0,16.0
251,60.0,15.6
252,60.0,15.2
253,60.0,14.8
254,60.0,14.4
255,60.0,14.0
256,60.0,13.6
257,60.0,13.2
258,60.0,12.8
259,60.0,12.4
260,60.0,12.0
261,60.0,11.6
262,60.0,11.2
263,60.0,10.8
264,60.0,10.4
265,60.0,10.0
266,60.0,9.6
267,60.0,9.2
268,60.0,8.8
269,60.0,8.4
270,60.0,8.0
271,60.0,7.6
272,60.0,7.2
273,60.0,6.8
274,60.0,6.4
275,60.0,6.0
276,60.0,5.6
277,60.0,5.2
278,60.0,4.8
279,60.0,4.4
280,60.0,4.0
281,60.0,3.6
282,60.0,3.2
283,60.0,2.8
284,60.0,2.4
285,60.0,2.0
286,60.0,1.6
287,60.0,1.2
288,60.0,0.8
289,60.0,0.4
290,60.0,0.0
291,59.6,0.0
292,59.2,0.0
293,58.8,0.0
294,58.4,0.0
295,58.0,0.0
296,57.6,0.0
297,57.2,0.0
298,56.8,0.0
299,56.4,0.0
300,56.0,0.0
301,55.6,0.0
302,55.2,0.0
303,54.8,0.0
304,54.4,0.0
305,54.0,0.0
306,53.6,0.0
307,53.2,0.0
308,52.8,0.0
309,52.4,0.0
310,52.0,0.0
311,51.6,0.0
312,51.2,0.0
313,50.8,0.0
314,50.4,0.0
315,50.0,0.0
316,49.6,0.0
317,49.2,0.0
318,48.8,0.0
319,48.4,0.0
320,48.0,0.0
321,47.6,0.0
322,47.2,0.0
323,46.8,0.0
324,46.4,0.0
325,46.0,0.0
326,45.6,0.0
327,45.2,0.0
328,44.8,0.0
329,44.4,0.0
330,44.0,0.0
331,43.6,0.0
332,43.2,0.0
333,42.8,0.0
334,42.4,0.0
335,42.0,0.0
336,41.6,0.0
337,41.2,0.0
338,40.8,0.0
339,40.4,0.0
340,40.0,0.0
341,39.6,0.0
342,39.2,0.0
343,38.8,0.0
344,38.4,0.0
345,38.0,0.0
346,37.6,0.0
347,37.2,0.0
348,36.8,0.0
349,36.4,0.0
350,36.0,0.0
351,35.6,0.0
352,35.2,0.0
353,34.8,0.0
354,34.4,0.0
355,34.0,0.0
356,33.6,0.0
357,33.2,0.0
358,32.8,0.0
359,32.4,0.0
360,32.0,0.0
361,31.6,0.0
362,31.2,0.0
363,30.8,0.0
364,30.4,0.0
365,30.0,0.0
366,30.0,0.3971
367,30.0,0.7941
368,30.0,1.1912
369,30.0,1.5882
370,30.0,1.9853
371,30.0,2.3824
372,30.0,2.7794
373,30.0,3.1765
374,30.0,3.5735
375,30.0,3.9706
376,30.0,4.3676
377,30.0,4.7647
378,30.0,5.1618
379,30.0,5.5588
380,30.0,5.9559
381,30.0,6.3529
382,30.0,6.75
383,30.0,7.1471
384,30.0,7.5441
385,30.0,7.9412
386,30.0,8.3382
387,30.0,8.7353
388,30.0,9.1324
389,30.0,9.5294
390,30.0,9.9265
391,30.0,10.3235
392,30.0,10.7206
393,30.0,11.1176
394,30.0,11.5147
395,30.0,11.9118
396,30.0,12.3088
397,30.0,12.7059
398,30.0,13.1029
399,30.0,13.5
400,30.0,13.8971
401,30.0,14.2941
402,30.0,14.6912
403,30.0,15.0882
404,30.0,15.4853
405,30.0,15.8824
406,30.0,16.2794
407,30.0,16.6765
408,30.0,17.0735
409,30.0,17.4706
410,30.0,17.8676
411,30.0,18.2647
412,30.0,18.6618
413,30.0,19.0588
414,30.0,19.4559
415,30.0,19.8529
416,30.0,20.25
417,30.0,20.6471
418,30.0,21.0441
419,30.0,21.4412
420,30.0,21.8382
421,30.0,22.2353
422,30.0,22.6324
423,30.0,23.0294
424,30.0,23.4265
425,30.0,23.8235
426,30.0,24.2206
427,30.0,24.6176
428,30.0,25.0147
429,30.0,25.4118
430,30.0,25.8088
431,30.0,26.2059
432,30.0,26.6029
433,30.0,27.0
434,30.4,27.0
435,30.8,27.0
436,31.2,27.0
437,31.6,27.0
438,32.0,27.0
439,32.4,27.0
440,32.8,27.0
441,33.2,27.0
442,33.6,27.0
443,34.0,27.0
444,34.4,27.0
445,34.8,27.0
446,35.2,27.0
447,35.6,27.0
448,36.0,27.0
449,36.4,27.0
450,36.8,27.0
451,37.2,27.0
452,37.6,27.0
453,38.0,27.0
454,38.4,27.0
455,38.8,27.0
456,39.2,27.0
457,39.6,27.0
