i,x,y
0,0.0,56.0
1,0.4124,56.1454
2,0.8291,56.1739
3,1.2284,56.202
4,1.6478,56.2297
5,2.0481,56.2567
6,2.4617,56.2832
7,2.8524,56.309
8,3.2447,56.3339
9,3.6348,56.358
10,4.0357,56.3812
11,4.4233,56.4033
12,4.8236,56.4244
13,5.2286,56.4443
14,5.6291,56.463
15,6.0275,56.4805
16,6.4444,56.4967
17,6.8007,56.5115
18,7.2013,56.5249
19,7.5852,56.5369
20,7.9715,56.5474
21,8.3826,56.5565
22,8.8118,56.564
23,9.2142,56.5699
24,9.6062,56.5744
25,10.0045,56.5772
26,10.4096,56.5785
27,10.8072,56.5782
28,11.2139,56.5764
29,11.6266,56.573
30,12.0277,56.5681
31,12.4347,56.5617
32,12.8162,56.5538
33,13.2034,56.5445
34,13.5933,56.5337
35,13.9856,56.5216
36,14.3639,56.5081
37,14.7958,56.4934
38,15.2006,56.4774
39,15.6007,56.4603
40,16.0085,56.442
41,16.4247,56.4227
42,16.8072,56.4024
43,17.2016,56.3812
44,17.6063,56.3592
45,18.0049,56.3364
46,18.42,56.3129
47,18.8452,56.2888
48,19.2399,56.2642
49,19.6398,56.2391
50,20.0208,56.2137
51,20.4112,56.188
52,20.7974,56.1622
53,21.1713,56.1362
54,21.592,56.1102
55,21.9907,56.0843
56,22.3849,56.0585
57,22.7943,56.033
58,23.219,56.0078
59,23.6073,55.9831
60,24.0112,55.9587
61,24.3777,55.935
62,24.7902,55.9119
63,25.1921,55.8895
64,25.5897,55.8679
65,25.9988,55.8471
66,26.4006,55.8273
67,26.8106,55.8084
68,27.2233,55.7905
69,27.6372,55.7738
70,28.0276,55.7581
71,28.423,55.7437
72,28.8277,55.7304
73,29.2488,55.7185
74,29.6648,55.7078
75,30.0944,55.6984
76,30.5003,55.6903
77,30.917,55.6837
78,31.324,55.6784
79,31.7101,55.6744
80,32.1007,55.6719
81,32.502,55.6707
82,32.8745,55.671
83,33.2944,55.6726
84,33.7128,55.6755
85,34.1188,55.6798
86,34.5391,55.6854
87,34.9244,55.6923
88,35.3258,55.7004
89,35.7405,55.7097
90,36.1317,55.7203
91,36.5364,55.7319
92,36.9306,55.7446
93,37.3465,55.7584
94,37.7088,55.7731
95,38.12,55.7888
96,38.4963,55.8053
97,38.8952,55.8226
98,39.29,55.8406
99,39.6691,55.8593
100,40.0858,55.8786
101,40.4858,55.8984
102,40.9026,55.9186
103,41.2796,55.9392
104,41.6853,55.9601
105,42.0642,55.9813
106,42.4692,56.0025
107,42.8424,56.0238
108,43.2434,56.0452
109,43.6515,56.0664
110,44.0432,56.0875
111,44.4164,56.1083
112,44.8344,56.1288
113,45.2277,56.149
114,45.6263,56.1687
115,46.0458,56.1879
116,46.4369,56.2065
117,46.8567,56.2245
118,47.2387,56.2417
119,47.6258,56.2582
120,48.0229,56.2739
121,48.4271,56.2887
122,48.8098,56.3026
123,49.2137,56.3156
124,49.5934,56.3275
125,50.0085,56.3384
126,50.4194,56.3482
127,50.8259,56.3569
128,51.2024,56.3645
129,51.6162,56.3709
130,52.0046,56.3761
131,52.4001,56.3802
132,52.7934,56.3831
133,53.1907,56.3847
134,53.5888,56.3852
135,53.9795,56.3844
136,54.3747,56.3825
137,54.7727,56.3794
138,55.1605,56.3751
139,55.5534,56.3696
140,55.9324,56.3631
141,56.3496,56.3554
142,56.7505,56.3466
143,57.1377,56.3369
144,57.5514,56.3261
145,57.9533,56.3143
146,58.3704,56.3016
147,58.7604,56.288
148,59.1451,56.2736
149,59.5424,56.2585
150,60.1206,56.2224
151,60.2259,55.6738
152,60.2087,55.2795
153,60.191,54.8828
154,60.1727,54.4849
155,60.1539,54.0855
156,60.1348,53.6726
157,60.1154,53.2658
158,60.0957,52.8715
159,60.0758,52.4722
160,60.0557,52.0781
161,60.0356,51.6655
162,60.0154,51.2755
163,59.9953,50.8643
164,59.9753,50.465
165,59.9555,50.0546
166,59.9359,49.6289
167,59.9165,49.206
168,59.8975,48.8295
169,59.8788,48.422
170,59.8606,48.0243
171,59.8429,47.629
172,59.8257,47.2409
173,59.809,46.8575
174,59.7929,46.4313
175,59.7775,46.0547
176,59.7628,45.6554
177,59.7488,45.2466
178,59.7355,44.8642
179,59.723,44.4592
180,59.7113,44.0689
181,59.7004,43.6793
182,59.6903,43.2881
183,59.6811,42.889
184,59.6727,42.4742
185,59.6651,42.1048
186,59.6584,41.6831
187,59.6526,41.306
188,59.6477,40.9043
189,59.6435,40.492
190,59.6403,40.1179
191,59.6378,39.7258
192,59.6362,39.3423
193,59.6354,38.9428
194,59.6354,38.5127
195,59.6361,38.1149
196,59.6375,37.7111
197,59.6397,37.2998
198,59.6425,36.9047
199,59.646,36.5026
200,59.6501,36.1125
201,59.6548,35.7177
202,59.66,35.3037
203,59.6657,34.9163
204,59.6719,34.5368
205,59.6785,34.132
206,59.6855,33.7344
207,59.6929,33.3667
208,59.7006,32.9706
209,59.7085,32.5985
210,59.7166,32.1918
211,59.725,31.802
212,59.7335,31.4319
213,59.7421,31.044
214,59.7507,30.6459
215,59.7594,30.2424
216,59.7681,29.8295
217,59.7767,29.4377
218,59.7852,29.0384
219,59.7936,28.6555
220,59.8019,28.2601
221,59.8099,27.8589
222,59.8178,27.4475
223,59.8254,27.0437
224,59.8328,26.6274
225,59.8398,26.2404
226,59.8466,25.8256
227,59.853,25.4363
228,59.8591,25.0476
229,59.8649,24.6406
230,59.8702,24.2475
231,59.8752,23.8486
232,59.8798,23.431
233,59.884,23.0351
234,59.8878,22.6529
235,59.8912,22.2631
236,59.8942,21.836
237,59.8969,21.4252
238,59.8991,21.0466
239,59.901,20.6388
240,59.9025,20.2291
241,59.9037,19.8137
242,59.9045,19.4235
243,59.905,19.0285
244,59.9053,18.5949
245,59.9052,18.2013
246,59.9049,17.8232
247,59.9044,17.4117
248,59.9037,17.0044
249,59.9027,16.5928
250,59.9017,16.2072
251,59.9005,15.8309
252,59.8992,15.425
253,59.8978,15.0155
254,59.8964,14.6005
255,59.895,14.1964
256,59.8935,13.8308
257,59.8922,13.4249
258,59.8909,12.9832
259,59.8897,12.5619
260,59.8887,12.1833
261,59.8878,11.7709
262,59.8871,11.3549
263,59.8866,10.9592
264,59.8863,10.5573
265,59.8863,10.1607
266,59.8866,9.7491
267,59.8871,9.3437
268,59.888,8.9465
269,59.8892,8.56
270,59.8908,8.158
271,59.8928,7.78
272,59.8951,7.3838
273,59.8978,6.9539
274,59.9009,6.5921
275,59.9044,6.1999
276,59.9083,5.8089
277,59.9126,5.3949
278,59.9173,4.9745
279,59.9224,4.5982
280,59.9278,4.199
281,59.9337,3.7907
282,59.94,3.3925
283,59.9466,2.9989
284,59.9535,2.6175
285,59.9608,2.2333
286,59.9684,1.8388
287,59.9763,1.4241
288,59.9844,1.0496
289,59.9928,0.661
290,60.1986,0.1966
291,59.884,-0.0102
292,59.4823,-0.0192
293,59.0826,-0.0283
294,58.6906,-0.0375
295,58.2861,-0.0468
296,57.9049,-0.0562
297,57.5086,-0.0655
298,57.1009,-0.0748
299,56.7073,-0.084
300,56.3143,-0.0932
301,55.9275,-0.1022
302,55.5081,-0.111
303,55.1053,-0.1197
304,54.6875,-0.1281
305,54.3009,-0.1362
306,53.8873,-0.1441
307,53.4811,-0.1516
308,53.0593,-0.1587
309,52.671,-0.1655
310,52.2751,-0.1718
311,51.8833,-0.1776
312,51.4886,-0.183
313,51.0893,-0.1879
314,50.6744,-0.1923
315,50.2613,-0.1961
316,49.8776,-0.1994
317,49.5011,-0.2021
318,49.1322,-0.2042
319,48.7406,-0.2057
320,48.3545,-0.2066
321,47.9696,-0.2068
322,47.5667,-0.2065
323,47.1697,-0.2055
324,46.7679,-0.204
325,46.3727,-0.2018
326,45.9685,-0.199
327,45.5694,-0.1956
328,45.1747,-0.1916
329,44.7654,-0.187
330,44.3692,-0.1819
331,43.9511,-0.1763
332,43.5718,-0.1702
333,43.1776,-0.1635
334,42.7944,-0.1565
335,42.3807,-0.149
336,41.9618,-0.1411
337,41.5761,-0.1328
338,41.1755,-0.1242
339,40.77,-0.1154
340,40.371,-0.1063
341,39.9657,-0.097
342,39.5621,-0.0875
343,39.1667,-0.078
344,38.762,-0.0683
345,38.3574,-0.0586
346,37.9469,-0.049
347,37.5487,-0.0394
348,37.1416,-0.03
349,36.7439,-0.0207
350,36.3448,-0.0116
351,35.9362,-0.0028
352,35.5401,0.0057
353,35.1503,0.0139
354,34.7526,0.0217
355,34.3407,0.029
356,33.9317,0.0358
357,33.5119,0.0421
358,33.1146,0.0478
359,32.7118,0.053
360,32.2942,0.0574
361,31.8759,0.0612
362,31.4765,0.0643
363,31.0778,0.0667
364,30.6582,0.0682
365,30.2401,-0.141
366,30.069,0.1405
367,30.0681,0.5386
368,30.0664,0.9358
369,30.0639,1.3212
370,30.0604,1.6997
371,30.0561,2.1044
372,30.0509,2.5106
373,30.0449,2.8859
374,30.0379,3.286
375,30.0301,3.6684
376,30.0215,4.0619
377,30.012,4.4565
378,30.0017,4.82
379,29.9906,5.2385
380,29.9787,5.6375
381,29.9661,6.0327
382,29.9528,6.4189
383,29.9388,6.8266
384,29.9242,7.253
385,29.909,7.6376
386,29.8932,8.0381
387,29.8769,8.436
388,29.8602,8.8625
389,29.8431,9.2813
390,29.8257,9.6585
391,29.808,10.0495
392,29.79,10.4589
393,29.7719,10.8682
394,29.7537,11.2399
395,29.7354,11.64
396,29.7172,12.0303
397,29.699,12.4117
398,29.681,12.8044
399,29.6633,13.2069
400,29.6458,13.6246
401,29.6287,14.0276
402,29.612,14.43
403,29.5958,14.8233
404,29.5802,15.233
405,29.5651,15.6228
406,29.5508,16.0119
407,29.5372,16.4122
408,29.5244,16.8176
409,29.5125,17.233
410,29.5015,17.6402
411,29.4915,18.0277
412,29.4824,18.431
413,29.4745,18.8339
414,29.4676,19.2202
415,29.462,19.6218
416,29.4575,20.0295
417,29.4542,20.4189
418,29.4522,20.826
419,29.4515,21.2198
420,29.4521,21.6246
421,29.454,22.0337
422,29.4573,22.4658
423,29.4619,22.8661
424,29.4678,23.2826
425,29.4752,23.6752
426,29.4839,24.0907
427,29.4939,24.4732
428,29.5053,24.8603
429,29.518,25.2472
430,29.532,25.6584
431,29.5473,26.0478
432,29.5639,26.4193
433,29.5756,27.1682
434,30.213,27.3994
435,30.6242,27.3793
436,31.0078,27.3582
437,31.4175,27.3359
438,31.8155,27.3127
439,32.2364,27.2886
440,32.6309,27.2636
441,33.0204,27.2377
442,33.4257,27.2111
443,33.8185,27.1839
444,34.2032,27.156
445,34.6242,27.1276
446,35.0262,27.0988
447,35.4324,27.0696
448,35.8482,27.0401
449,36.2774,27.0103
450,36.6821,26.9804
451,37.0991,26.9505
452,37.5131,26.9206
453,37.8995,26.8908
454,38.3031,26.8613
455,38.6808,26.832
456,39.0808,26.803
457,39.5004,26.7745
458,39.9015,26.7466
459,40.2667,26.7192
460,40.6853,26.6925
461,41.0738,26.6666
462,41.4858,26.6415
463,41.9003,26.6174
464,42.3163,26.5941
465,42.7059,26.572
