i,x,y
0,0.0,56.0
1,0.3882,55.8357
2,0.7936,55.8262
3,1.1914,55.8169
4,1.5749,55.8079
5,1.9925,55.7991
6,2.3713,55.7906
7,2.7665,55.7825
8,3.1615,55.7746
9,3.5458,55.7672
10,3.9313,55.7601
11,4.3237,55.7535
12,4.7464,55.7472
13,5.1596,55.7415
14,5.5671,55.7362
15,5.9788,55.7313
16,6.3725,55.727
17,6.7643,55.7233
18,7.1667,55.72
19,7.5602,55.7173
20,7.9434,55.7152
21,8.331,55.7137
22,8.7336,55.7127
23,9.1438,55.7124
24,9.5415,55.7126
25,9.926,55.7135
26,10.3314,55.715
27,10.7349,55.717
28,11.1121,55.7197
29,11.5184,55.7231
30,11.9056,55.727
31,12.3077,55.7315
32,12.7004,55.7367
33,13.1034,55.7424
34,13.4949,55.7487
35,13.8981,55.7555
36,14.281,55.7629
37,14.6978,55.7709
38,15.106,55.7794
39,15.5355,55.7883
40,15.9209,55.7978
41,16.3344,55.8076
42,16.748,55.818
43,17.1557,55.8287
44,17.5604,55.8398
45,17.9521,55.8512
46,18.3722,55.8629
47,18.8016,55.875
48,19.1975,55.8872
49,19.6023,55.8997
50,19.9959,55.9124
51,20.4035,55.9252
52,20.789,55.9381
53,21.1944,55.9511
54,21.5969,55.9641
55,22.0024,55.9771
56,22.3851,55.9901
57,22.7843,56.0029
58,23.2036,56.0157
59,23.5949,56.0283
60,24.012,56.0407
61,24.4111,56.0528
62,24.8103,56.0647
63,25.2005,56.0763
64,25.6062,56.0875
65,25.998,56.0983
66,26.418,56.1087
67,26.8045,56.1187
68,27.204,56.1282
69,27.6138,56.1372
70,28.0138,56.1456
71,28.4271,56.1535
72,28.8179,56.1607
73,29.2312,56.1674
74,29.6325,56.1734
75,30.0461,56.1787
76,30.4616,56.1834
77,30.8654,56.1873
78,31.2699,56.1906
79,31.6543,56.1931
80,32.0507,56.1949
81,32.4504,56.196
82,32.8489,56.1963
83,33.2238,56.1959
84,33.6123,56.1947
85,34.0275,56.1928
86,34.4368,56.1902
87,34.8377,56.1868
88,35.2329,56.1827
89,35.6406,56.178
90,36.0497,56.1725
91,36.4393,56.1664
92,36.8332,56.1596
93,37.2231,56.1522
94,37.6511,56.1442
95,38.0546,56.1356
96,38.4345,56.1265
97,38.8351,56.1169
98,39.2217,56.1068
99,39.6278,56.0962
100,40.0093,56.0853
101,40.4143,56.074
102,40.7878,56.0624
103,41.1864,56.0504
104,41.5952,56.0383
105,41.9841,56.0259
106,42.3673,56.0134
107,42.7698,56.0008
108,43.163,55.9881
109,43.5778,55.9754
110,43.9621,55.9628
111,44.3558,55.9502
112,44.7611,55.9378
113,45.1604,55.9256
114,45.5555,55.9135
115,45.9637,55.9018
116,46.377,55.8904
117,46.7626,55.8793
118,47.1477,55.8687
119,47.5674,55.8585
120,47.9581,55.8488
121,48.3568,55.8396
122,48.7401,55.831
123,49.126,55.8231
124,49.5154,55.8158
125,49.9124,55.8092
126,50.3152,55.8033
127,50.7125,55.7981
128,51.1186,55.7938
129,51.5322,55.7902
130,51.9224,55.7875
131,52.3299,55.7856
132,52.7075,55.7846
133,53.098,55.7844
134,53.5136,55.7852
135,53.9181,55.7868
136,54.3444,55.7894
137,54.741,55.7928
138,55.1335,55.7972
139,55.5366,55.8025
140,55.9375,55.8086
141,56.3465,55.8157
142,56.7528,55.8236
143,57.1354,55.8324
144,57.5548,55.842
145,57.9444,55.8525
146,58.3326,55.8637
147,58.7167,55.8757
148,59.1151,55.8885
149,59.523,55.9019
150,59.8888,55.9924
151,59.9308,55.6717
152,59.9461,55.267
153,59.962,54.879
154,59.9784,54.4889
155,59.9952,54.0785
156,60.0124,53.6901
157,60.03,53.2869
158,60.0479,52.9009
159,60.0661,52.5107
160,60.0844,52.1075
161,60.1029,51.6986
162,60.1214,51.2902
163,60.14,50.884
164,60.1585,50.4912
165,60.1769,50.1041
166,60.1952,49.6881
167,60.2132,49.2726
168,60.231,48.8683
169,60.2484,48.462
170,60.2654,48.0698
171,60.282,47.6757
172,60.2981,47.2541
173,60.3136,46.8596
174,60.3285,46.4401
175,60.3427,46.044
176,60.3562,45.661
177,60.3689,45.2443
178,60.3808,44.8469
179,60.3919,44.444
180,60.402,44.044
181,60.4112,43.6308
182,60.4194,43.2529
183,60.4265,42.8578
184,60.4327,42.4654
185,60.4377,42.077
186,60.4416,41.6877
187,60.4444,41.2839
188,60.4461,40.873
189,60.4465,40.4758
190,60.4458,40.0835
191,60.4439,39.6758
192,60.4408,39.2823
193,60.4365,38.8837
194,60.431,38.4562
195,60.4243,38.0565
196,60.4165,37.6329
197,60.4074,37.2161
198,60.3972,36.8244
199,60.3858,36.4191
200,60.3734,36.0292
201,60.3598,35.658
202,60.3452,35.2461
203,60.3296,34.8614
204,60.3129,34.4567
205,60.2953,34.0676
206,60.2768,33.6699
207,60.2574,33.265
208,60.2372,32.8654
209,60.2163,32.4294
210,60.1946,32.0345
211,60.1722,31.626
212,60.1492,31.2294
213,60.1257,30.8218
214,60.1017,30.4389
215,60.0773,30.0304
216,60.0525,29.6206
217,60.0274,29.2219
218,60.0021,28.8105
219,59.9766,28.3934
220,59.951,27.9874
221,59.9254,27.5864
222,59.8998,27.1916
223,59.8743,26.7864
224,59.849,26.3824
225,59.8239,25.9493
226,59.7992,25.5501
227,59.7748,25.1298
228,59.7508,24.7386
229,59.7274,24.3349
230,59.7045,23.9389
231,59.6823,23.558
232,59.6607,23.1527
233,59.6399,22.7516
234,59.6199,22.3629
235,59.6008,21.9582
236,59.5825,21.5483
237,59.5652,21.1455
238,59.5489,20.7541
239,59.5336,20.3529
240,59.5194,19.9545
241,59.5064,19.5659
242,59.4944,19.1627
243,59.4837,18.7463
244,59.4742,18.3338
245,59.4659,17.9361
246,59.4588,17.5313
247,59.453,17.1306
248,59.4485,16.7158
249,59.4453,16.3275
250,59.4434,15.923
251,59.4428,15.5226
252,59.4434,15.131
253,59.4454,14.7203
254,59.4486,14.3235
255,59.4531,13.9235
256,59.4588,13.5373
257,59.4658,13.1167
258,59.474,12.7327
259,59.4834,12.3256
260,59.4939,11.9411
261,59.5055,11.5281
262,59.5183,11.1208
263,59.532,10.7253
264,59.5468,10.2922
265,59.5625,9.8915
266,59.5792,9.4926
267,59.5967,9.0919
268,59.615,8.6785
269,59.6341,8.2952
270,59.6539,7.8941
271,59.6743,7.4972
272,59.6954,7.1049
273,59.7169,6.7302
274,59.739,6.3351
275,59.7614,5.9512
276,59.7842,5.5515
277,59.8073,5.1355
278,59.8306,4.7177
279,59.8541,4.3113
280,59.8777,3.9001
281,59.9013,3.5204
282,59.9249,3.1112
283,59.9484,2.6997
284,59.9718,2.2847
285,59.9949,1.877
286,60.0178,1.4792
287,60.0404,1.0619
288,60.0626,0.6687
289,60.0843,0.2581
290,59.9724,-0.1769
291,59.4632,-0.1263
292,59.0764,-0.1465
293,58.6728,-0.166
294,58.2629,-0.1848
295,57.8648,-0.203
296,57.4775,-0.2204
297,57.0934,-0.237
298,56.6945,-0.2527
299,56.2946,-0.2677
300,55.898,-0.2817
301,55.5042,-0.2948
302,55.0932,-0.307
303,54.6828,-0.3183
304,54.2822,-0.3286
305,53.8858,-0.3379
306,53.4909,-0.3463
307,53.0841,-0.3536
308,52.6949,-0.36
309,52.2886,-0.3654
310,51.884,-0.3698
311,51.475,-0.3732
312,51.0831,-0.3756
313,50.6826,-0.377
314,50.3,-0.3775
315,49.9165,-0.3771
316,49.5209,-0.3758
317,49.1228,-0.3736
318,48.7364,-0.3705
319,48.3463,-0.3665
320,47.9471,-0.3618
321,47.5627,-0.3562
322,47.1563,-0.35
323,46.7446,-0.343
324,46.3465,-0.3353
325,45.9421,-0.327
326,45.5625,-0.3181
327,45.1471,-0.3086
328,44.7515,-0.2986
329,44.3259,-0.2882
330,43.9058,-0.2773
331,43.4819,-0.266
332,43.0904,-0.2544
333,42.6992,-0.2425
334,42.3032,-0.2303
335,41.8985,-0.2179
336,41.4869,-0.2054
337,41.0987,-0.1927
338,40.7047,-0.18
339,40.3123,-0.1672
340,39.9041,-0.1544
