i,x,y
0,0.0,56.0
1,0.4149,55.7349
2,0.7911,55.7106
3,1.1933,55.6858
4,1.6056,55.6604
5,2.0264,55.6346
6,2.3725,55.6084
7,2.7914,55.5819
8,3.1527,55.5552
9,3.518,55.5282
10,3.9481,55.5011
11,4.3323,55.474
12,4.7227,55.4468
13,5.1362,55.4197
14,5.5428,55.3928
15,5.959,55.366
16,6.3549,55.3395
17,6.7931,55.3134
18,7.2053,55.2876
19,7.5868,55.2624
20,7.9676,55.2376
21,8.44,55.2135
22,8.8429,55.1901
23,9.2525,55.1674
24,9.6366,55.1455
25,10.0164,55.1244
26,10.3749,55.1043
27,10.7945,55.0852
28,11.1238,55.0671
29,11.5521,55.0502
30,11.9002,55.0344
31,12.2618,55.0198
32,12.6196,55.0065
33,12.9978,54.9945
34,13.3448,54.9838
35,13.7869,54.9746
36,14.1881,54.9668
37,14.6164,54.9605
38,15.0327,54.9557
39,15.4178,54.9525
40,15.8287,54.9509
41,16.2091,54.9509
42,16.6572,54.9525
43,17.1341,54.9558
44,17.4612,54.9607
45,17.8472,54.9674
46,18.3106,54.9757
47,18.6963,54.9858
48,19.1178,54.9975
49,19.5722,55.011
50,20.0056,55.0262
51,20.3566,55.0431
52,20.7841,55.0618
53,21.1728,55.0821
54,21.5691,55.104
55,21.9858,55.1277
56,22.3259,55.1529
57,22.7392,55.1798
58,23.1843,55.2082
59,23.6141,55.2382
60,23.9516,55.2697
61,24.3619,55.3027
62,24.7812,55.3371
63,25.1249,55.3729
64,25.5382,55.41
65,25.941,55.4485
66,26.363,55.4881
67,26.761,55.529
68,27.1265,55.5709
69,27.5315,55.614
70,28.0156,55.658
71,28.4481,55.703
72,28.8034,55.7489
73,29.1296,55.7956
74,29.5836,55.843
75,29.9753,55.8911
76,30.3882,55.9398
77,30.7805,55.9891
78,31.1652,56.0387
79,31.6091,56.0888
80,32.0168,56.1392
81,32.4278,56.1897
82,32.7481,56.2405
83,33.1058,56.2913
84,33.5344,56.3421
85,33.9547,56.3928
86,34.3154,56.4433
87,34.6671,56.4936
88,35.095,56.5435
89,35.5134,56.5931
90,35.8903,56.6422
91,36.3623,56.6907
92,36.7862,56.7387
93,37.2229,56.7859
94,37.6398,56.8323
95,38.0435,56.8779
96,38.4327,56.9225
97,38.7672,56.9662
98,39.1344,57.0088
99,39.5206,57.0504
100,39.9001,57.0907
101,40.2988,57.1297
102,40.7274,57.1675
103,41.1564,57.2039
104,41.5446,57.2389
105,41.9562,57.2724
106,42.3259,57.3044
107,42.7575,57.3348
108,43.1895,57.3637
109,43.6558,57.3908
110,44.0661,57.4162
111,44.4656,57.44
112,44.8461,57.4619
113,45.2248,57.482
114,45.6432,57.5004
115,45.9969,57.5168
116,46.4135,57.5314
117,46.771,57.544
118,47.1626,57.5548
119,47.6439,57.5636
120,48.0496,57.5705
121,48.4162,57.5754
122,48.8522,57.5784
123,49.2829,57.5794
124,49.7565,57.5784
125,50.169,57.5755
126,50.6246,57.5707
127,51.0473,57.5639
128,51.4579,57.5552
129,51.7719,57.5446
130,52.1951,57.5321
131,52.6938,57.5177
132,53.0966,57.5015
133,53.5257,57.4835
134,53.9667,57.4636
135,54.3078,57.442
136,54.6964,57.4187
137,55.1069,57.3937
138,55.4376,57.367
139,55.8123,57.3387
140,56.2518,57.3089
141,56.6545,57.2775
142,57.0672,57.2447
143,57.4608,57.2104
144,57.8583,57.1747
145,58.2415,57.1377
146,58.6146,57.0994
147,59.0381,57.0599
148,59.4226,57.0192
149,59.7523,56.9774
150,60.8032,56.5185
151,60.8907,55.4078
152,60.846,55.0016
153,60.8003,54.5937
154,60.7538,54.1574
155,60.7066,53.7672
156,60.6587,53.4161
157,60.6102,53.0278
158,60.5611,52.6254
159,60.5115,52.2162
160,60.4615,51.8223
161,60.4111,51.4752
162,60.3604,51.066
163,60.3095,50.681
164,60.2583,50.3013
165,60.2071,49.9328
166,60.1558,49.5518
167,60.1045,49.1379
168,60.0533,48.7491
169,60.0022,48.3731
170,59.9513,47.9937
171,59.9006,47.6158
