i,x,y
0,0.0,56.0
1,0.4054,56.1036
2,0.8015,56.1037
3,1.1958,56.1037
4,1.5943,56.1036
5,1.9857,56.1034
6,2.3981,56.1032
7,2.7741,56.1028
8,3.1812,56.1022
9,3.5804,56.1016
10,3.9787,56.1008
11,4.3781,56.0998
12,4.787,56.0987
13,5.1787,56.0975
14,5.5747,56.096
15,5.9715,56.0944
16,6.3829,56.0925
17,6.783,56.0905
18,7.1817,56.0883
19,7.5905,56.0859
20,7.9968,56.0832
21,8.3983,56.0803
22,8.7953,56.0773
23,9.1951,56.074
24,9.602,56.0704
25,10.0163,56.0667
26,10.4057,56.0627
27,10.801,56.0585
28,11.2,56.0541
29,11.6002,56.0494
30,12.0181,56.0446
31,12.3999,56.0395
32,12.7963,56.0342
33,13.1883,56.0287
34,13.5991,56.0229
35,13.9865,56.017
36,14.3925,56.0109
37,14.7851,56.0046
38,15.1848,55.9981
39,15.5851,55.9914
40,15.9948,55.9846
41,16.3918,55.9776
42,16.7867,55.9704
43,17.1946,55.9632
44,17.5904,55.9557
45,17.9968,55.9482
46,18.3845,55.9406
47,18.7686,55.9329
48,19.1638,55.9251
49,19.5686,55.9173
50,19.9701,55.9093
51,20.3736,55.9014
52,20.7743,55.8934
53,21.1774,55.8855
54,21.5661,55.8775
55,21.9613,55.8696
56,22.3769,55.8616
57,22.779,55.8538
58,23.1719,55.846
59,23.5687,55.8383
60,23.9742,55.8307
61,24.3769,55.8232
62,24.7765,55.8158
63,25.1729,55.8086
64,25.5624,55.8015
65,25.9794,55.7946
66,26.3787,55.7879
67,26.7745,55.7814
68,27.1711,55.7751
69,27.5717,55.7691
70,27.9717,55.7633
71,28.3728,55.7577
72,28.7651,55.7525
73,29.1784,55.7475
74,29.572,55.7428
75,29.9672,55.7384
76,30.3671,55.7343
77,30.7603,55.7306
78,31.1532,55.7272
79,31.5784,55.7241
80,31.9721,55.7214
81,32.37,55.7191
82,32.7562,55.7171
83,33.173,55.7156
84,33.5686,55.7144
85,33.9845,55.7135
86,34.3739,55.7131
87,34.7675,55.7131
88,35.1766,55.7134
89,35.5828,55.7142
90,35.9697,55.7153
91,36.3601,55.7168
92,36.7564,55.7188
93,37.1658,55.7211
94,37.5748,55.7238
95,37.9873,55.7269
96,38.3705,55.7304
97,38.7746,55.7343
98,39.171,55.7385
99,39.574,55.7431
100,39.9675,55.7481
101,40.3836,55.7534
102,40.7759,55.759
103,41.1581,55.765
104,41.5545,55.7712
105,41.9694,55.7778
106,42.365,55.7847
107,42.7544,55.7919
108,43.1537,55.7993
109,43.5569,55.807
110,43.9567,55.8149
111,44.3571,55.823
112,44.7535,55.8313
113,45.155,55.8399
114,45.5571,55.8486
115,45.9534,55.8574
116,46.3569,55.8664
117,46.7601,55.8755
118,47.1681,55.8848
119,47.564,55.8941
120,47.969,55.9034
121,48.3613,55.9128
122,48.7705,55.9223
123,49.1746,55.9317
124,49.5754,55.9412
125,49.9674,55.9506
126,50.3771,55.96
127,50.7833,55.9693
128,51.1828,55.9785
129,51.5826,55.9876
130,51.9754,55.9966
131,52.3701,56.0055
132,52.7731,56.0142
133,53.1729,56.0227
134,53.5767,56.031
135,53.9826,56.0392
136,54.3752,56.0471
137,54.7897,56.0547
