i,x,y
0,0.0,56.0
1,0.377,55.6907
2,0.7734,55.6716
3,1.1406,55.6533
4,1.5653,55.6359
5,1.9754,55.6195
6,2.4003,55.6041
7,2.7853,55.5897
8,3.1792,55.5763
9,3.6063,55.564
10,4.0214,55.5528
11,4.4227,55.5427
12,4.8277,55.5337
13,5.2446,55.526
14,5.6527,55.5194
15,6.0506,55.5139
16,6.4539,55.5097
17,6.8864,55.5067
18,7.2891,55.5049
19,7.6756,55.5043
20,8.0837,55.5049
21,8.4713,55.5067
22,8.8518,55.5097
23,9.2178,55.5139
24,9.6226,55.5192
25,10.0299,55.5257
26,10.416,55.5333
27,10.7796,55.542
28,11.1769,55.5518
29,11.571,55.5626
30,12.001,55.5744
31,12.4184,55.5872
32,12.8065,55.601
33,13.2139,55.6157
34,13.5947,55.6312
35,14.0015,55.6476
36,14.4354,55.6648
37,14.8251,55.6827
38,15.2192,55.7013
39,15.6076,55.7205
40,16.0065,55.7404
41,16.3963,55.7608
42,16.8139,55.7816
43,17.2138,55.803
44,17.6002,55.8247
45,17.9886,55.8467
46,18.377,55.869
47,18.767,55.8916
48,19.1457,55.9143
49,19.5542,55.9371
50,19.9604,55.96
51,20.3452,55.9828
52,20.7534,56.0056
53,21.1647,56.0283
54,21.5719,56.0509
55,22.0083,56.0732
56,22.4155,56.0953
57,22.8214,56.117
58,23.2133,56.1383
59,23.6073,56.1593
60,24.002,56.1797
61,24.4203,56.1997
62,24.8168,56.219
63,25.198,56.2378
64,25.603,56.2559
65,26.0093,56.2734
66,26.4068,56.2901
67,26.8201,56.306
68,27.2573,56.3212
69,27.6738,56.3355
70,28.0775,56.3489
71,28.4762,56.3615
72,28.8716,56.3731
73,29.2906,56.3839
74,29.6856,56.3936
75,30.078,56.4024
76,30.4816,56.4102
77,30.8834,56.417
78,31.2515,56.4228
79,31.6564,56.4276
80,32.0719,56.4313
81,32.5013,56.434
82,32.8998,56.4357
83,33.2907,56.4364
84,33.7235,56.436
85,34.1196,56.4346
86,34.5368,56.4322
87,34.9496,56.4288
88,35.3252,56.4245
89,35.7208,56.4191
90,36.1407,56.4128
91,36.5411,56.4056
92,36.9378,56.3975
93,37.3426,56.3885
94,37.7257,56.3787
95,38.1578,56.368
96,38.5396,56.3565
97,38.959,56.3443
98,39.3495,56.3313
99,39.7595,56.3176
100,40.2065,56.3033
101,40.6149,56.2884
102,41.0237,56.2728
103,41.4285,56.2568
104,41.8478,56.2402
105,42.2601,56.2232
106,42.6795,56.2057
107,43.0998,56.1879
108,43.4962,56.1698
109,43.9105,56.1513
110,44.3282,56.1326
111,44.7246,56.1138
112,45.1257,56.0947
113,45.5034,56.0756
114,45.8848,56.0564
115,46.2948,56.0372
116,46.7119,56.018
117,47.0748,55.9988
118,47.5014,55.9798
119,47.9183,55.961
120,48.2974,55.9423
121,48.7212,55.9239
122,49.1191,55.9058
123,49.5493,55.888
124,49.9341,55.8705
125,50.3303,55.8534
126,50.7107,55.8368
127,51.149,55.8206
128,51.5545,55.805
129,51.9546,55.7898
130,52.4023,55.7753
131,52.7895,55.7613
132,53.1699,55.7479
133,53.5675,55.7352
134,53.9541,55.7231
135,54.3404,55.7118
136,54.7452,55.7011
137,55.1422,55.6912
138,55.5341,55.682
139,55.9459,55.6736
140,56.3498,55.6659
141,56.7498,55.659
142,57.1417,55.653
143,57.5212,55.6477
144,57.9296,55.6433
145,58.3392,55.6396
146,58.7176,55.6368
147,59.1085,55.6348
148,59.4944,55.6335
149,59.892,55.6331
150,59.9414,55.5404
151,59.6348,55.3102
152,59.6367,54.9053
153,59.6395,54.5418
154,59.643,54.1324
155,59.6473,53.7265
156,59.6524,53.3033
157,59.6581,52.8813
158,59.6645,52.4719
159,59.6717,52.0779
160,59.6795,51.7024
161,59.6879,51.3169
162,59.697,50.9543
163,59.7066,50.5499
164,59.7168,50.162
165,59.7276,49.7603
166,59.7388,49.3667
167,59.7506,48.9529
168,59.7628,48.5522
169,59.7754,48.1311
170,59.7885,47.7396
171,59.8019,47.3173
172,59.8156,46.9236
173,59.8297,46.5281
174,59.844,46.1174
175,59.8585,45.7341
176,59.8733,45.3483
177,59.8883,44.9394
178,59.9033,44.5483
179,59.9185,44.1747
180,59.9338,43.7725
181,59.9491,43.3696
182,59.9645,42.9662
183,59.9798,42.578
184,59.9951,42.176
185,60.0103,41.785
186,60.0253,41.3901
187,60.0403,40.9684
188,60.055,40.5677
189,60.0696,40.1668
190,60.0839,39.786
191,60.098,39.3741
192,60.1118,38.9689
193,60.1253,38.5667
194,60.1385,38.1797
195,60.1513,37.7798
196,60.1637,37.3886
197,60.1758,36.9921
198,60.1874,36.6035
199,60.1985,36.1794
200,60.2093,35.7869
201,60.2195,35.4099
202,60.2292,35.0142
203,60.2384,34.6368
204,60.2471,34.245
205,60.2553,33.843
206,60.2629,33.473
207,60.2699,33.0516
208,60.2764,32.64
209,60.2823,32.2506
210,60.2876,31.8368
211,60.2923,31.4284
212,60.2964,31.0014
213,60.2999,30.6042
214,60.3028,30.1896
215,60.305,29.749
216,60.3067,29.345
217,60.3078,28.9531
218,60.3083,28.549
219,60.3081,28.1415
220,60.3074,27.7413
221,60.306,27.3423
222,60.3041,26.9502
223,60.3016,26.5097
224,60.2985,26.104
225,60.2949,25.7258
226,60.2907,25.3281
227,60.2859,24.9302
228,60.2807,24.4961
229,60.2749,24.0855
230,60.2686,23.6784
231,60.2618,23.2823
232,60.2545,22.8895
233,60.2468,22.4902
234,60.2386,22.1266
235,60.23,21.6967
236,60.221,21.2758
237,60.2116,20.871
238,60.2018,20.4596
239,60.1916,20.0313
240,60.1812,19.6308
241,60.1704,19.257
242,60.1593,18.8799
243,60.1479,18.4661
244,60.1363,18.0651
245,60.1245,17.6569
246,60.1125,17.2424
247,60.1002,16.8464
248,60.0878,16.4251
249,60.0753,16.0334
250,60.0627,15.6579
251,60.0499,15.2646
252,60.0371,14.88
253,60.0242,14.4886
254,60.0113,14.081
255,59.9984,13.6773
256,59.9855,13.2877
257,59.9727,12.906
