i,x,y
0,0.0,56.0
1,0.4205,55.7766
2,0.8508,55.7659
3,1.2462,55.7561
4,1.6386,55.747
5,2.0246,55.7387
6,2.4209,55.7312
7,2.8217,55.7245
8,3.2271,55.7186
9,3.6098,55.7134
10,4.0127,55.7089
11,4.3967,55.7052
12,4.7848,55.7022
13,5.1921,55.6998
14,5.6013,55.6982
15,5.9973,55.6971
16,6.402,55.6967
17,6.7935,55.6969
18,7.1931,55.6976
19,7.5884,55.6988
20,7.9979,55.7005
21,8.3909,55.7026
22,8.7847,55.7051
23,9.1977,55.708
24,9.5924,55.7113
25,10.005,55.7148
26,10.4044,55.7186
27,10.8077,55.7225
28,11.2047,55.7267
29,11.6263,55.731
30,12.0257,55.7353
31,12.4223,55.7397
32,12.8152,55.7441
33,13.2349,55.7485
34,13.6346,55.7528
35,14.0546,55.757
36,14.4651,55.7611
37,14.8379,55.765
38,15.2229,55.7686
39,15.6342,55.7721
40,16.0257,55.7753
41,16.467,55.7781
42,16.8883,55.7807
43,17.2835,55.7829
44,17.7092,55.7848
45,18.1184,55.7862
46,18.5193,55.7873
47,18.9462,55.7879
48,19.3524,55.7881
49,19.784,55.7879
50,20.1622,55.7873
51,20.5599,55.7862
52,20.943,55.7846
53,21.3384,55.7826
54,21.7126,55.7802
55,22.0927,55.7773
56,22.4793,55.774
57,22.8691,55.7703
58,23.2707,55.7662
59,23.6738,55.7617
60,24.0786,55.7569
61,24.4873,55.7517
62,24.8626,55.7462
63,25.2549,55.7404
64,25.6304,55.7343
65,26.0514,55.7281
66,26.4322,55.7216
67,26.8181,55.7149
68,27.1905,55.7082
69,27.6014,55.7013
70,27.9814,55.6944
71,28.4025,55.6874
72,28.8232,55.6805
73,29.2409,55.6737
74,29.6292,55.667
75,30.0235,55.6604
76,30.455,55.654
77,30.8642,55.6479
78,31.2282,55.6421
79,31.6305,55.6365
80,32.0081,55.6314
81,32.4106,55.6267
82,32.8313,55.6224
83,33.2131,55.6186
84,33.6034,55.6153
85,33.9986,55.6126
86,34.3791,55.6106
87,34.7714,55.6092
88,35.178,55.6084
89,35.5992,55.6084
90,36.0119,55.6091
91,36.4055,55.6106
92,36.7669,55.6129
93,37.1858,55.616
94,37.5883,55.6199
95,37.9882,55.6247
96,38.3774,55.6304
97,38.7765,55.637
98,39.1679,55.6445
99,39.5669,55.6529
100,39.9899,55.6622
101,40.3743,55.6724
102,40.7714,55.6835
103,41.1729,55.6956
104,41.5824,55.7086
105,41.9506,55.7224
106,42.3619,55.7372
107,42.785,55.7528
108,43.2075,55.7692
109,43.6147,55.7865
