t,x,y,z
0.052,1.026,24.032,2.280
0.104,1.027,24.032,2.279
0.155,1.032,24.035,2.281
0.208,1.039,24.037,2.282
0.261,1.064,24.046,2.283
0.316,1.082,24.053,2.283
0.368,1.130,24.072,2.279
0.419,1.160,24.084,2.277
0.470,1.232,24.112,2.270
0.522,1.272,24.129,2.266
0.573,1.364,24.166,2.257
0.625,1.414,24.187,2.253
0.677,1.466,24.209,2.249
0.728,1.578,24.255,2.240
0.779,1.637,24.280,2.236
0.831,1.759,24.331,2.228
0.882,1.823,24.358,2.224
0.933,1.953,24.413,2.217
0.988,2.019,24.441,2.214
1.040,2.086,24.469,2.211
1.093,2.221,24.526,2.205
1.146,2.290,24.554,2.202
1.199,2.427,24.611,2.196
1.251,2.496,24.638,2.193
1.305,2.635,24.693,2.188
1.359,2.705,24.719,2.185
1.411,2.776,24.745,2.183
1.464,2.918,24.795,2.178
1.518,2.990,24.819,2.177
1.571,3.062,24.842,2.175
1.623,3.208,24.887,2.172
1.676,3.281,24.909,2.171
1.728,3.428,24.950,2.168
1.780,3.501,24.970,2.167
1.832,3.575,24.989,2.166
1.884,3.724,25.026,2.165
1.937,3.799,25.043,2.164
1.990,3.948,25.075,2.162
2.043,4.024,25.089,2.162
2.094,4.175,25.116,2.161
2.146,4.250,25.127,2.161
2.199,4.326,25.138,2.160
2.251,4.479,25.156,2.159
2.302,4.555,25.164,2.159
2.354,4.709,25.176,2.158
2.406,4.786,25.181,2.158
2.458,4.941,25.189,2.157
2.511,5.019,25.191,2.157
2.562,5.096,25.193,2.157
2.614,5.252,25.193,2.156
2.666,5.331,25.192,2.156
2.722,5.488,25.187,2.156
2.773,5.566,25.183,2.156
2.824,5.724,25.172,2.156
2.876,5.803,25.165,2.156
2.929,5.882,25.157,2.156
2.980,6.041,25.139,2.157
3.035,6.121,25.128,2.157
3.087,6.280,25.105,2.157
3.143,6.360,25.093,2.157
3.196,6.519,25.066,2.157
3.249,6.599,25.051,2.157
3.301,6.759,25.020,2.157
3.354,6.838,25.004,2.156
3.405,6.918,24.987,2.156
3.456,7.078,24.952,2.156
3.508,7.158,24.933,2.156
3.560,7.318,24.895,2.155
3.612,7.397,24.875,2.155
3.667,7.477,24.855,2.155
3.723,7.637,24.813,2.155
3.776,7.796,24.771,2.155
3.828,7.876,24.749,2.155
3.879,7.955,24.726,2.155
3.931,8.114,24.682,2.155
3.983,8.194,24.659,2.155
4.035,8.273,24.636,2.155
4.088,8.432,24.590,2.155
4.140,8.511,24.567,2.155
4.191,8.591,24.544,2.155
4.243,8.750,24.499,2.155
4.295,8.829,24.476,2.155
4.347,8.908,24.453,2.155
4.400,9.067,24.407,2.156
4.452,9.146,24.385,2.156
4.503,9.304,24.340,2.157
4.556,9.384,24.318,2.157
4.609,9.463,24.296,2.157
4.663,9.621,24.254,2.157
4.715,9.701,24.233,2.157
4.771,9.860,24.193,2.158
4.823,9.939,24.173,2.158
4.876,10.098,24.136,2.159
4.929,10.178,24.118,2.159
4.982,10.258,24.101,2.160
5.035,10.417,24.067,2.160
5.089,10.497,24.051,2.161
5.142,10.657,24.020,2.162
5.194,10.737,24.006,2.162
5.247,10.898,23.978,2.163
5.299,10.978,23.965,2.164
5.351,11.139,23.939,2.165
5.403,11.219,23.927,2.165
5.455,11.300,23.916,2.166
5.507,11.461,23.894,2.166
5.560,11.542,23.884,2.167
5.611,11.703,23.865,2.168
5.665,11.784,23.856,2.168
5.718,11.945,23.839,2.169
5.769,12.026,23.832,2.169
5.821,12.187,23.818,2.170
5.874,12.268,23.811,2.170
5.925,12.349,23.806,2.170
5.978,12.510,23.796,2.171
6.030,12.591,23.792,2.171
6.081,12.752,23.786,2.171
6.133,12.833,23.785,2.172
6.185,12.995,23.782,2.172
6.236,13.076,23.782,2.172
6.288,13.156,23.783,2.173
6.340,13.318,23.785,2.173
6.391,13.399,23.787,2.174
6.442,13.560,23.793,2.174
6.495,13.641,23.797,2.174
6.546,13.802,23.807,2.175
6.598,13.882,23.813,2.175
6.650,14.042,23.828,2.175
6.701,14.123,23.836,2.175
6.753,14.282,23.855,2.175
6.807,14.362,23.866,2.175
6.860,14.442,23.877,2.176
6.911,14.601,23.901,2.176
6.963,14.680,23.914,2.177
7.014,14.839,23.942,2.177
7.067,14.918,23.957,2.178
7.120,15.075,23.989,2.178
7.171,15.154,24.006,2.178
7.222,15.232,24.024,2.178
7.273,15.389,24.061,2.179
7.324,15.467,24.081,2.179
7.376,15.622,24.122,2.179
7.428,15.700,24.144,2.179
7.479,15.777,24.166,2.179
7.531,15.777,24.166,2.179
7.583,16.008,24.236,2.179
7.634,16.162,24.285,2.180
7.685,16.238,24.311,2.180
7.737,16.314,24.337,2.180
7.789,16.467,24.389,2.180
7.841,16.543,24.415,2.180
7.893,16.694,24.468,2.180
7.946,16.771,24.495,2.179
8.000,16.923,24.548,2.179
8.054,16.999,24.575,2.179
8.106,17.075,24.601,2.178
8.158,17.227,24.654,2.178
8.210,17.304,24.680,2.178
8.261,17.456,24.732,2.178
8.313,17.533,24.758,2.178
8.365,17.686,24.808,2.178
8.418,17.763,24.833,2.178
8.469,17.841,24.857,2.178
8.522,17.995,24.903,2.178
8.574,18.073,24.925,2.178
8.628,18.151,24.947,2.178
8.682,18.307,24.989,2.178
8.733,18.385,25.008,2.178
8.785,18.463,25.027,2.178
8.837,18.620,25.063,2.178
8.888,18.699,25.081,2.178
8.941,18.857,25.113,2.178
8.993,18.936,25.128,2.178
9.045,19.094,25.156,2.177
9.096,19.174,25.169,2.177
9.149,19.254,25.181,2.177
9.200,19.413,25.204,2.177
9.253,19.493,25.214,2.177
9.306,19.574,25.224,2.177
9.358,19.735,25.241,2.177
9.410,19.815,25.248,2.177
9.463,19.977,25.262,2.177
9.515,20.057,25.267,2.177
9.568,20.219,25.277,2.177
9.621,20.300,25.281,2.176
9.672,20.462,25.288,2.176
9.724,20.543,25.290,2.176
9.776,20.624,25.292,2.176
9.827,20.785,25.296,2.176
9.879,20.866,25.297,2.176
9.930,21.028,25.298,2.175
9.981,21.109,25.298,2.175
10.033,21.271,25.298,2.175
10.084,21.352,25.297,2.174
10.136,21.352,25.297,2.174
10.188,21.594,25.294,2.173
10.240,21.675,25.293,2.173
10.291,21.836,25.290,2.173
10.342,21.917,25.288,2.172
10.394,22.078,25.286,2.172
10.445,22.159,25.284,2.172
10.498,22.320,25.282,2.171
10.551,22.400,25.281,2.171
10.602,22.481,25.281,2.171
10.654,22.642,25.280,2.171
10.706,22.723,25.280,2.171
10.759,22.885,25.281,2.171
10.812,22.966,25.282,2.171
10.864,23.127,25.284,2.170
10.916,23.208,25.286,2.169
10.968,23.370,25.288,2.169
11.020,23.451,25.290,2.169
11.071,23.613,25.293,2.169
11.123,23.694,25.294,2.169
11.178,23.856,25.296,2.169
11.229,23.856,25.296,2.169
11.281,23.856,25.296,2.169
11.334,24.179,25.298,2.170
11.386,24.260,25.298,2.170
11.439,24.422,25.297,2.170
11.492,24.502,25.297,2.169
11.545,24.583,25.296,2.169
11.597,24.743,25.295,2.169
11.650,24.823,25.294,2.169
11.701,24.904,25.293,2.169
11.752,25.064,25.290,2.169
11.804,25.145,25.288,2.169
11.857,25.306,25.284,2.170
11.912,25.386,25.282,2.170
11.966,25.467,25.279,2.170
12.018,25.629,25.274,2.170
12.070,25.710,25.271,2.170
12.121,25.871,25.265,2.170
12.172,25.952,25.262,2.170
12.226,26.114,25.255,2.170
12.279,26.195,25.252,2.170
12.330,26.276,25.249,2.170
12.382,26.356,25.246,2.170
12.434,26.518,25.240,2.170
12.486,26.599,25.237,2.170
12.540,26.680,25.234,2.170
12.592,26.842,25.229,2.170
12.643,26.923,25.226,2.170
12.694,27.085,25.222,2.170
12.750,27.167,25.220,2.170
12.802,27.248,25.218,2.171
12.853,27.410,25.216,2.171
12.909,27.491,25.215,2.171
12.961,27.572,25.215,2.171
13.013,27.735,25.215,2.171
13.065,27.816,25.216,2.171
13.117,27.978,25.220,2.171
13.171,28.059,25.223,2.170
13.223,28.140,25.227,2.170
13.275,28.302,25.236,2.170
13.328,28.383,25.241,2.170
13.380,28.544,25.254,2.169
