i,x,y
0,2.000,24.061
1,3.188,24.810
2,4.572,25.072
3,5.978,24.948
4,7.347,24.606
5,8.713,24.257
6,10.100,23.993
7,11.508,23.907
8,12.920,23.842
9,14.323,23.982
10,15.691,24.334
11,17.013,24.830
12,18.393,25.129
13,19.805,25.174
14,21.218,25.141
15,22.629,25.167
16,24.030,25.327
17,25.439,25.248
18,26.846,25.165
19,28.241,25.206
20,29.620,25.514
21,31.030,25.574
22,32.413,25.286
23,33.792,24.998
24,35.206,24.984
25,36.616,25.093
26,38.016,25.288
27,39.421,25.445
28,40.817,25.233
29,42.226,25.222
30,43.618,24.977
31,44.989,24.630
32,46.393,24.458
33,47.096,24.383
