i,x,y
0,2.000,23.975
1,3.082,24.402
2,4.222,24.584
3,5.413,24.637
4,6.598,24.496
5,7.558,24.013
6,8.349,23.384
7,9.644,22.640
8,10.633,22.454
9,11.652,22.382
10,12.693,22.368
11,13.802,22.569
12,15.029,22.994
13,16.323,23.262
14,17.655,23.330
15,18.903,23.141
16,19.756,22.578
17,21.189,22.134
18,22.172,21.927
19,23.169,21.786
20,24.183,21.834
21,25.197,22.102
22,26.233,22.543
23,27.200,23.269
24,28.169,24.212
25,29.167,24.833
26,30.094,25.403
27,31.073,25.871
28,32.069,26.365
29,33.119,26.861
30,34.271,27.355
31,35.427,27.536
32,36.515,27.993
33,37.542,28.522
34,38.646,29.114
35,39.928,29.514
36,41.271,29.810
37,42.305,29.416
38,43.184,28.817
39,44.036,28.210
40,44.778,27.500
41,45.391,26.667
42,45.958,25.730
43,46.551,24.740
44,46.848,24.205
