t,x,y,z,yaw
0.031,1.000,24.000,0.002,-0.0000
0.066,1.000,24.000,0.002,-0.0000
0.100,1.000,24.000,0.002,-0.0000
0.135,1.000,24.000,0.002,-0.0000
0.170,1.000,24.000,0.002,-0.0000
0.206,1.000,24.000,0.002,-0.0000
0.242,1.000,24.000,0.002,-0.0000
0.283,1.000,24.000,0.002,-0.0000
0.322,1.000,24.000,0.002,-0.0000
0.361,1.000,24.000,0.002,-0.0000
0.399,1.000,24.000,0.002,-0.0000
0.434,1.000,24.000,0.002,-0.0000
0.469,1.000,24.000,0.002,-0.0000
0.504,1.000,24.000,0.002,-0.0000
0.540,1.000,24.000,0.002,-0.0000
0.575,1.000,24.000,0.002,-0.0000
0.610,1.000,24.000,0.002,-0.0000
0.645,1.000,24.000,0.002,-0.0000
0.689,1.000,24.000,0.002,-0.0000
0.736,1.000,24.000,0.002,-0.0000
0.777,1.000,24.000,0.002,-0.0000
0.813,1.000,24.000,0.002,-0.0000
0.862,1.000,24.000,0.002,-0.0000
0.906,1.000,24.000,0.002,-0.0000
0.946,1.000,24.000,0.002,-0.0000
0.981,1.000,24.000,0.002,-0.0000
1.016,1.000,24.000,0.002,-0.0000
1.051,1.000,24.000,0.002,-0.0000
1.086,1.000,24.000,0.002,-0.0000
1.123,1.000,24.000,0.002,-0.0000
1.158,1.000,24.000,0.002,-0.0000
1.193,1.000,24.000,0.002,-0.0000
1.228,1.000,24.000,0.002,-0.0000
1.264,1.000,24.000,0.002,-0.0000
1.299,1.000,24.000,0.002,-0.0000
1.334,1.000,24.000,0.002,-0.0000
1.369,1.000,24.000,0.002,-0.0000
1.405,1.000,24.000,0.002,-0.0000
1.439,1.000,24.000,0.002,-0.0000
1.474,1.000,24.000,0.002,-0.0000
1.509,1.000,24.000,0.002,-0.0000
1.544,1.000,24.000,0.002,-0.0000
1.579,1.000,24.000,0.002,-0.0000
1.614,1.000,24.000,0.002,-0.0000
1.649,1.000,24.000,0.002,-0.0000
1.684,1.000,24.000,0.002,-0.0000
1.719,1.000,24.000,0.002,-0.0000
1.754,1.000,24.000,0.002,-0.0000
1.789,1.000,24.000,0.002,-0.0000
1.824,1.000,24.000,0.002,-0.0000
1.859,1.000,24.000,0.002,-0.0000
1.894,1.000,24.000,0.002,-0.0000
1.929,1.000,24.000,0.002,-0.0000
1.964,1.000,24.000,0.002,-0.0000
2.000,1.000,24.000,0.002,-0.0000
2.036,1.000,24.000,0.002,-0.0000
2.070,1.000,24.000,0.002,-0.0000
2.106,1.000,24.000,0.002,-0.0000
2.142,1.000,24.000,0.002,-0.0000
2.177,1.000,24.000,0.002,-0.0000
2.213,1.000,24.000,0.002,-0.0000
2.249,1.000,24.000,0.002,-0.0000
2.284,1.000,24.000,0.002,-0.0000
2.318,1.000,24.000,0.002,-0.0000
2.354,1.000,24.000,0.002,-0.0000
2.389,1.000,24.000,0.002,-0.0000
2.424,1.000,24.000,0.002,-0.0000
2.459,1.000,24.000,0.002,-0.0000
2.494,1.000,24.000,0.002,-0.0000
2.529,1.000,24.000,0.002,-0.0000
2.564,1.000,24.000,0.002,-0.0000
2.599,1.000,24.000,0.002,-0.0000
2.635,1.000,24.000,0.002,-0.0000
2.669,1.000,24.000,0.002,-0.0000
2.704,1.000,24.000,0.002,-0.0000
2.740,1.000,24.000,0.002,-0.0000
2.775,1.000,24.000,0.002,-0.0000
2.810,1.000,24.000,0.002,-0.0000
2.845,1.000,24.000,0.002,-0.0000
2.880,1.000,24.000,0.002,-0.0000
2.914,1.000,24.000,0.002,-0.0000
2.949,1.000,24.000,0.002,-0.0000
2.985,1.000,24.000,0.002,-0.0000
3.019,1.000,24.000,0.002,-0.0000
3.054,1.000,24.000,0.002,-0.0000
3.090,1.000,24.000,0.002,-0.0000
3.124,1.000,24.000,0.002,-0.0000
3.159,1.000,24.000,0.002,-0.0000
3.194,1.000,24.000,0.002,-0.0000
3.229,1.000,24.000,0.002,-0.0000
3.264,1.000,24.000,0.002,-0.0000
3.299,1.000,24.000,0.002,-0.0000
3.334,1.000,24.000,0.002,-0.0000
3.369,1.000,24.000,0.002,-0.0000
3.404,1.000,24.000,0.002,-0.0000
3.439,1.000,24.000,0.002,-0.0000
3.475,1.000,24.000,0.002,-0.0000
3.509,1.000,24.000,0.002,-0.0000
3.545,1.000,24.000,0.002,-0.0000
3.580,1.000,24.000,0.002,-0.0000
3.615,1.000,24.000,0.002,-0.0000
3.650,1.000,24.000,0.002,-0.0000
3.685,1.000,24.000,0.002,-0.0000
3.720,1.000,24.000,0.002,-0.0000
3.755,1.000,24.000,0.002,-0.0000
3.790,1.000,24.000,0.002,-0.0000
3.826,1.000,24.000,0.002,-0.0000
3.860,1.000,24.000,0.002,-0.0000
3.896,1.000,24.000,0.002,-0.0000
3.930,1.000,24.000,0.002,-0.0000
3.965,1.000,24.000,0.002,-0.0000
4.000,1.000,24.000,0.002,-0.0000
4.035,1.000,24.000,0.002,-0.0000
4.071,1.000,24.000,0.002,-0.0000
4.105,1.000,24.000,0.002,-0.0000
4.141,1.000,24.000,0.002,-0.0000
4.176,1.000,24.000,0.002,-0.0000
4.211,1.000,24.000,0.002,-0.0000
4.246,1.000,24.000,0.002,-0.0000
4.281,1.000,24.000,0.002,-0.0000
4.316,1.000,24.000,0.002,-0.0000
4.351,1.000,24.000,0.002,-0.0000
4.386,1.000,24.000,0.002,-0.0000
4.421,1.000,24.000,0.002,-0.0000
4.456,1.000,24.000,0.002,-0.0000
4.491,1.000,24.000,0.002,-0.0000
4.526,1.000,24.000,0.002,-0.0000
4.560,1.000,24.000,0.002,-0.0000
4.595,1.000,24.000,0.002,-0.0000
4.630,1.000,24.000,0.002,-0.0000
4.665,1.000,24.000,0.002,-0.0000
4.700,1.000,24.000,0.002,-0.0000
4.735,1.000,24.000,0.002,-0.0000
4.770,1.000,24.000,0.002,-0.0000
4.804,1.000,24.000,0.002,-0.0000
4.839,1.000,24.000,0.002,-0.0000
4.874,1.000,24.000,0.002,-0.0000
4.909,1.000,24.000,0.002,-0.0000
4.944,1.000,24.000,0.002,-0.0000
4.978,1.000,24.000,0.002,-0.0000
5.014,1.000,24.000,0.002,-0.0000
5.049,1.000,24.000,0.002,-0.0000
5.084,1.000,24.000,0.002,-0.0000
5.119,1.000,24.000,0.002,-0.0000
5.154,1.000,24.000,0.002,-0.0000
5.189,1.000,24.000,0.002,-0.0000
5.224,1.000,24.000,0.002,-0.0000
5.259,1.000,24.000,0.002,-0.0000
5.294,1.000,24.000,0.002,-0.0000
5.329,1.000,24.000,0.002,-0.0000
5.364,1.000,24.000,0.002,-0.0000
5.399,1.000,24.000,0.002,-0.0000
5.434,1.000,24.000,0.002,-0.0000
5.469,1.000,24.000,0.002,-0.0000
5.504,1.000,24.000,0.002,-0.0000
5.540,1.000,24.000,0.002,-0.0000
5.576,1.000,24.000,0.002,-0.0000
5.611,1.000,24.000,0.002,-0.0000
5.647,1.000,24.000,0.002,-0.0000
5.684,1.000,24.000,0.002,-0.0000
5.719,1.000,24.000,0.002,-0.0000
5.755,1.000,24.000,0.002,-0.0000
5.790,1.000,24.000,0.002,-0.0000
5.825,1.000,24.000,0.002,-0.0000
5.860,1.000,24.000,0.002,-0.0000
5.896,1.000,24.000,0.002,-0.0000
5.931,1.000,24.000,0.002,-0.0000
5.966,1.000,24.000,0.002,-0.0000
6.000,1.000,24.000,0.002,-0.0000
6.036,1.000,24.000,0.002,-0.0000
6.070,1.000,24.000,0.002,-0.0000
6.106,1.000,24.000,0.002,-0.0000
6.141,1.000,24.000,0.002,-0.0000
6.176,1.000,24.000,0.002,-0.0000
6.211,1.000,24.000,0.002,-0.0000
6.246,1.000,24.000,0.002,-0.0000
6.281,1.000,24.000,0.002,-0.0000
6.317,1.000,24.000,0.002,-0.0000
6.352,1.000,24.000,0.002,-0.0000
6.388,1.000,24.000,0.002,-0.0000
6.423,1.000,24.000,0.002,-0.0000
6.458,1.000,24.000,0.002,-0.0000
6.493,1.000,24.000,0.002,-0.0000
6.529,1.000,24.000,0.002,-0.0000
6.564,1.000,24.000,0.002,-0.0000
6.599,1.000,24.000,0.002,-0.0000
6.635,1.000,24.000,0.003,-0.0000
6.670,1.000,24.000,0.003,-0.0001
6.705,1.000,24.000,0.004,-0.0002
6.739,1.000,24.000,0.005,-0.0010
6.775,1.000,24.000,0.007,-0.0013
6.810,1.001,23.999,0.011,0.0016
6.845,1.001,23.999,0.018,-0.0130
6.880,1.002,23.998,0.030,-0.0096
6.915,1.004,23.996,0.049,0.0108
6.950,1.006,23.995,0.073,0.0178
6.985,1.008,23.993,0.102,0.0066
7.019,1.011,23.991,0.133,-0.0034
7.054,1.013,23.989,0.168,0.0067
7.089,1.016,23.986,0.204,0.0242
7.124,1.020,23.984,0.243,0.0241
7.159,1.023,23.981,0.284,0.0100
7.194,1.026,23.978,0.326,0.0079
7.229,1.030,23.976,0.371,0.0237
7.264,1.034,23.973,0.417,0.0350
7.298,1.037,23.970,0.465,0.0291
7.333,1.041,23.967,0.515,0.0152
7.369,1.045,23.964,0.567,0.0192
7.404,1.049,23.961,0.621,0.0363
7.439,1.052,23.957,0.677,0.0405
7.474,1.056,23.954,0.734,0.0283
7.509,1.060,23.951,0.792,0.0185
7.544,1.064,23.948,0.850,0.0261
7.578,1.067,23.945,0.907,0.0389
7.613,1.071,23.942,0.962,0.0364
7.648,1.074,23.940,1.017,0.0227
7.683,1.078,23.937,1.069,0.0134
7.718,1.081,23.934,1.120,0.0191
